Date,Symbol,Series,Mkt Cap (₹ Crore),AVOL(20),ADR(20),Price_1D,Change_1M,Change_3M,Change_6M,Change_9M,Change_12M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (CNX500),RS_score
03-09-2025,NSE:KCK,SM,260.77,2.74,7.23,41.45,-3.14,7.12,78.62,-41.35,2.82,-3.61,7.24,67.8,-41.76,6.56,1.2929554465531912,98
03-09-2025,NSE:MARUTI,EQ,35000,5.12,1.69,14895,17.41,18.34,16.88,25.65,16.39,16.94,18.46,6.06,25.24,20.13,1.107444222583118,93
03-09-2025,NSE:SRD,EQ,496.57,3.66,4.49,87.51,8.17,33.73,31.20,17.72,-27.99,7.7,33.85,20.38,17.31,-24.25,1.1072370943709047,89
03-09-2025,NSE:AGARWALTUF,SM,262.47,1.49,5.83,149.5,16.52,8.09,35.12,9.70,9.70,16.05,8.21,24.3,9.29,13.44,1.0910609275105791,85
03-09-2025,NSE:ULTRACEMCO,EQ,29000,2.56,1.57,12716,4.74,13.24,17.84,11.91,11.75,4.27,13.36,7.02,11.5,15.49,1.0568964359573196,80
03-09-2025,NSE:BAJFINANCE,EQ,45000,63.81,2.06,891.8,1.82,-0.77,2.38,26.26,20.79,1.35,-0.65,-8.44,25.85,24.53,1.0452448424414609,76
03-09-2025,NSE:HINDUNILVR,EQ,60000,16.13,2.01,2674.5,4.52,11.59,16.06,6.67,-4.14,4.05,11.71,5.24,6.26,-0.4,1.0333172760181943,72
03-09-2025,NSE:BHARTIARTL,EQ,65000,92.13,1.42,1881.4,-0.16,0.32,12.28,13.51,16.77,-0.63,0.44,1.46,13.1,20.51,1.0322447884095116,67
03-09-2025,NSE:ASIANPAINT,EQ,32000,13.09,1.82,2554.1,4.82,11.95,13.33,2.92,-21.99,4.35,12.07,2.51,2.51,-18.25,1.0169978939694615,63
03-09-2025,NSE:ICICIBANK,EQ,90000,77.06,1.09,1391.1,-5.79,-2.87,12.12,6.54,12.16,-6.26,-2.75,1.3,6.13,15.9,1.0094701351439535,59
03-09-2025,NSE:HDFCBANK,EQ,120000,154.11,1.25,942.85,-6.71,-2.94,9.81,4.75,13.11,-7.18,-2.82,-1.01,4.34,16.85,1.0050166447896776,54
03-09-2025,NSE:SBIN,EQ,65000,68.9,1.14,809.8,1.95,0.41,13.08,-3.60,-0.58,1.48,0.53,2.26,-4.01,3.16,1.0039497562088497,50
03-09-2025,NSE:KOTAKBANK,EQ,50000,32.38,1.55,1942.9,-2.55,-5.32,-0.24,9.14,8.53,-3.02,-5.2,-11.06,8.73,12.27,0.9974815285692151,46
03-09-2025,NSE:RELIANCE,EQ,200000,99.9,1.65,1368,-1.88,-4.06,11.76,5.54,-11.18,-2.35,-3.94,0.94,5.13,-7.44,0.9934277492589844,41
03-09-2025,NSE:LT,EQ,45000,14.09,1.5,3572.3,-0.42,-1.52,10.16,-4.27,-3.11,-0.89,-1.4,-0.66,-4.68,0.63,0.993009516437257,37
03-09-2025,NSE:ITC,EQ,60000,139.31,1.24,412,-1.08,-1.21,2.52,-9.23,-15.72,-1.55,-1.09,-8.3,-9.64,-11.98,0.9733740260917203,33
03-09-2025,NSE:TECHM,EQ,22000,15.77,2.09,1501.9,4.20,-3.65,-5.75,-14.01,-9.68,3.73,-3.53,-16.57,-14.42,-5.94,0.9705018008315085,28
03-09-2025,NSE:WIPRO,EQ,25000,79.87,1.84,249.17,2.58,0.93,-18.19,-15.95,-8.10,2.11,1.05,-29.01,-16.36,-4.36,0.9649479459140053,24
03-09-2025,NSE:AXISBANK,EQ,45000,52.93,1.4,1046.3,-1.54,-11.92,2.83,-8.60,-12.34,-2.01,-11.8,-7.99,-9.01,-8.6,0.9637833267018352,20
