Date,Symbol,Security Name,Mkt Cap (Millions),AVOL(20),ADR(20),Price_1D,Change_1W,Change_1M,Change_3M,Change_6M,Change_9M,Change_12M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (NDX),RS_score
07-09-2025,NASDAQ:GOOGL,Alphabet Inc. - Class A,2843013,36043163,,235,9.94,16.56,28.42,26.66,27.03,33.04,15.13,19.52,11.44,16.51,13.20,1.110592,98
07-09-2025,NASDAQ:NFLX,"Netflix, Inc. - Common Stock",528532,2660935,,1243.82,0.99,5.25,-0.54,27.13,27.82,45.71,3.82,-9.44,11.91,17.30,25.87,1.072857,94
07-09-2025,NASDAQ:NVDA,NVIDIA Corporation - Common Stock,4058586,178632701,,167.02,-7.87,-7.42,16.18,33.80,17.00,35.34,-8.85,7.28,18.58,6.48,15.50,1.057144,90
07-09-2025,NASDAQ:TSLA,"Tesla, Inc. - Common Stock",1131617,77462030,,350.84,1.39,8.82,18.85,24.91,-1.78,39.97,7.39,9.95,9.69,-12.30,20.13,1.05666,86
07-09-2025,NASDAQ:AMD,"Advanced Micro Devices, Inc. - Common Stock",245277,51969503,,151.14,-11.54,-7.93,23.46,34.60,6.01,9.40,-9.36,14.56,19.38,-4.51,-10.44,1.028525,82
07-09-2025,NASDAQ:INTC,Intel Corporation - Common Stock,107193,130480013,,24.49,-1.80,16.66,18.37,15.27,2.29,17.93,15.23,9.47,0.05,-8.23,-1.91,1.027153,78
07-09-2025,NASDAQ:META,"Meta Platforms, Inc. - Class A",1890126,9873649,,752.45,0.18,-2.60,9.01,16.55,21.21,31.99,-4.03,0.11,1.33,10.69,12.15,1.025339,74
07-09-2025,NYSE:JPM,JPMorgan Chase & Co. - Common Stock,809472,6929315,,294.38,-2.27,1.03,11.02,16.25,16.35,25.16,-0.40,2.12,1.03,5.83,5.32,1.016526,70
07-09-2025,NASDAQ:AMZN,"Amazon.com, Inc. - Common Stock",2477779,34741387,,232.33,0.31,4.31,10.51,13.61,9.31,24.14,2.88,1.61,-1.61,-1.21,4.30,1.007903,66
07-09-2025,NASDAQ:NDX,NASDAQ 100,,,,23652.4429,-0.22,1.43,8.90,15.22,10.52,19.84,,,,,,1,
07-09-2025,NYSE:JNJ,Johnson & Johnson - Common Stock,429720,8043668,,178.43,1.67,4.39,13.88,7.06,13.24,6.32,2.96,4.98,-8.16,2.72,-13.52,0.992796,62
07-09-2025,NASDAQ:MSFT,Microsoft Corporation - Common Stock,3679417,21297730,,495,-2.96,-6.05,5.52,19.82,12.93,17.28,-7.48,-3.38,4.60,2.41,-2.56,0.992339,58
07-09-2025,NASDAQ:AAPL,Apple Inc. - Common Stock,3557093,50432087,,239.69,2.97,11.03,16.30,1.82,0.04,7.06,9.60,7.40,-13.40,-10.48,-12.78,0.989237,54
07-09-2025,NYSE:HD,"Home Depot, Inc. - Common Stock",417017,3826341,,418.95,2.74,7.67,11.86,8.88,-1.91,12.94,6.24,2.96,-6.34,-12.43,-6.90,0.987396,50
07-09-2025,CBOEFTSE:RUI,RUSSELL 1000,,,,3551.17,-0.25,2.26,8.38,11.67,6.39,15.05,,,,,,0.987297,
07-09-2025,NASDAQ:VTHR,VAN RUSSELL 3000,,,,286.3811,-0.21,2.56,8.57,11.69,5.87,14.66,,,,,,0.98709,
07-09-2025,SP:SPX,S&P 500,,,,6481.51,-0.31,2.11,8.37,11.46,6.70,14.70,,,,,,0.986826,
07-09-2025,NYSE:DIS,Walt Disney Company - Common Stock,211994,6628276,,117.91,0.23,2.32,4.56,10.58,0.64,24.41,0.89,-4.34,-4.64,-9.88,4.57,0.986305,46
07-09-2025,NYSE:MA,Mastercard Incorporated - Class A,528142,2374459,,584.22,-1.07,2.58,-0.21,5.89,9.05,17.48,1.15,-9.11,-9.33,-1.47,-2.36,0.975943,42
07-09-2025,NYSE:V,Visa Inc. - Class A,661248,5332628,,343.22,-1.93,1.01,-6.86,-0.27,7.74,18.85,-0.42,-15.76,-15.49,-2.78,-0.99,0.96145,38
07-09-2025,NYSE:XOM,Exxon Mobil Corporation - Common Stock,465674,14933377,,109.23,-3.77,2.49,6.77,1.47,-7.89,-5.71,1.06,-2.13,-13.75,-18.41,-25.55,0.947618,34
07-09-2025,NYSE:KO,Coca-Cola Company - Common Stock,292477,15251656,,67.96,-0.59,-2.28,-4.34,-3.68,6.34,-7.43,-3.71,-13.24,-18.90,-4.18,-27.27,0.934878,30
07-09-2025,NYSE:KO,Coca-Cola Company - Common Stock,292477,15251656,,67.96,-0.59,-2.28,-4.34,-3.68,6.34,-7.43,-3.71,-13.24,-18.90,-4.18,-27.27,0.934878,26
07-09-2025,NYSE:KO,Coca-Cola Company - Common Stock,292477,15251656,,67.96,-0.59,-2.28,-4.34,-3.68,6.34,-7.43,-3.71,-13.24,-18.90,-4.18,-27.27,0.934878,22
07-09-2025,NYSE:KO,Coca-Cola Company - Common Stock,292477,15251656,,67.96,-0.59,-2.28,-4.34,-3.68,6.34,-7.43,-3.71,-13.24,-18.90,-4.18,-27.27,0.934878,18
07-09-2025,NYSE:KO,Coca-Cola Company - Common Stock,292477,15251656,,67.96,-0.59,-2.28,-4.34,-3.68,6.34,-7.43,-3.71,-13.24,-18.90,-4.18,-27.27,0.934878,14
07-09-2025,NYSE:KO,Coca-Cola Company - Common Stock,292477,15251656,,67.96,-0.59,-2.28,-4.34,-3.68,6.34,-7.43,-3.71,-13.24,-18.90,-4.18,-27.27,0.934878,10
07-09-2025,NYSE:PG,Procter & Gamble Company - Common Stock,374826,6435581,,160.02,2.73,4.47,-1.74,-9.15,-12.30,-9.06,3.04,-10.64,-24.37,-22.82,-28.90,0.926307,6
07-09-2025,NYSE:UNH,UnitedHealth Group Incorporated - Common Stock,285640,17737368,,315.39,4.15,22.07,6.20,-54.64,-92.94,-89.82,20.64,-2.70,-69.86,-103.46,-109.66,0.883358,2
