Date,Symbol,Series,Mkt Cap (₹ Crore),AVOL(20),ADR(20),Price_1D,Change_1W,Change_1M,Change_3M,Change_6M,Change_9M,Change_12M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (CNX500),RS_score
08-09-2025,NSE:KCK,SM,260.77,2.94,7.5,40.45,-9.02,-5.93,1.61,76.59,-36.91,-0.87,-6.86,3.59,63.65,-35.94,3.11,1.2470167021676388,98
08-09-2025,NSE:MARUTI,EQ,35000,6,1.94,15258,2.43,17.92,17.18,23.87,27.06,18.75,16.99,19.16,10.93,28.03,22.73,1.121381708355003,93
08-09-2025,NSE:AGARWALTUF,SM,262.47,1.62,5.91,147.2,-0.95,16.24,7.64,30.71,8.29,8.29,15.31,9.62,17.77,9.26,12.27,1.079345684928283,89
08-09-2025,NSE:BAJFINANCE,EQ,45000,74.36,2.14,944.3,5.82,7.16,-1.74,9.08,28.62,22.12,6.23,0.24,-3.86,29.59,26.1,1.064073836671386,85
08-09-2025,NSE:ULTRACEMCO,EQ,29000,2.57,1.69,12664,-1.28,3.46,11.09,18.11,7.08,9.50,2.53,13.07,5.17,8.05,13.48,1.0455497340851485,80
08-09-2025,NSE:BHARTIARTL,EQ,65000,90.56,1.39,1887.7,-0.68,-2.22,1.20,16.55,16.08,17.33,-3.15,3.18,3.61,17.05,21.31,1.040259831624546,76
08-09-2025,NSE:HINDUNILVR,EQ,60000,17.29,2.09,2623.9,-0.98,3.37,8.79,17.78,6.07,-6.49,2.44,10.77,4.84,7.04,-2.51,1.0281361223401504,72
08-09-2025,NSE:SRD,EQ,496.57,3.6,5.06,77.93,-9.07,-1.66,23.10,18.97,1.98,-43.72,-2.59,25.08,6.03,2.95,-39.74,1.0266731320924645,67
08-09-2025,NSE:ICICIBANK,EQ,90000,75.34,1.11,1402.7,-0.59,-2.92,-2.29,13.71,6.18,11.05,-3.85,-0.31,0.77,7.15,15.03,1.0144762846555762,63
08-09-2025,NSE:HDFCBANK,EQ,120000,153.48,1.3,966,1.59,-2.76,-2.43,11.49,3.72,15.25,-3.69,-0.45,-1.45,4.69,19.23,1.0137605672548053,59
08-09-2025,NSE:ASIANPAINT,EQ,32000,12.63,1.75,2530.8,-1.56,1.56,11.18,15.75,2.82,-24.66,0.63,13.16,2.81,3.79,-20.68,1.0136252236738346,54
08-09-2025,NSE:RELIANCE,EQ,200000,101.99,1.62,1378.5,1.78,-1.04,-5.10,15.71,5.05,-9.48,-1.97,-3.12,2.77,6.02,-5.5,0.9990790177580015,50
08-09-2025,NSE:KOTAKBANK,EQ,50000,26.37,1.58,1950.1,-0.95,-2.68,-9.65,2.17,9.88,8.53,-3.61,-7.67,-10.77,10.85,12.51,0.9962413112581453,46
08-09-2025,NSE:SBIN,EQ,65000,66.17,1.1,808.8,0.34,0.45,-1.39,11.47,-6.29,-1.98,-0.48,0.59,-1.47,-5.32,2,0.9955373730011787,41
08-09-2025,NSE:LT,EQ,45000,14.42,1.55,3529.6,-1.95,-2.80,-4.23,8.97,-7.37,-4.55,-3.73,-2.25,-3.97,-6.4,-0.57,0.9829610226298454,37
08-09-2025,NSE:ITC,EQ,60000,151.97,1.43,407.55,0.42,-1.09,-3.80,3.12,-8.19,-17.98,-2.02,-1.82,-9.82,-7.22,-14,0.9710162322158901,33
08-09-2025,NSE:SUNPHARMA,EQ,33000,26.65,1.82,1581,1.12,-0.90,-7.17,0.92,-13.86,-14.58,-1.83,-5.19,-12.02,-12.89,-10.6,0.9633798271057825,28
08-09-2025,NSE:AXISBANK,EQ,45000,53.32,1.35,1055.5,-0.57,-1.47,-15.58,5.09,-9.85,-12.89,-2.4,-13.6,-7.85,-8.88,-8.91,0.9618826437002478,24
08-09-2025,NSE:TECHM,EQ,22000,15.46,2.06,1460.7,-3.07,0.12,-8.11,-1.89,-20.46,-12.56,-0.81,-6.13,-14.83,-19.49,-8.58,0.9582112814077103,20
08-09-2025,NSE:WIPRO,EQ,25000,79.01,1.9,242.52,-3.23,1.06,-3.62,-15.45,-21.23,-10.52,0.13,-1.64,-28.39,-20.26,-6.54,0.9551127260652755,15
08-09-2025,NSE:INFY,EQ,70000,76.66,1.91,1432.9,-4.64,-0.27,-9.77,-17.82,-31.85,-35.48,-1.2,-7.79,-30.76,-30.88,-31.5,0.9270692248335206,11
08-09-2025,NSE:HCLTECH,EQ,34000,32.55,1.98,1403,-4.66,-4.29,-17.48,-9.44,-35.26,-27.62,-5.22,-15.5,-22.38,-34.29,-23.64,0.9222432616825705,7
08-09-2025,NSE:TCS,EQ,145000,27.68,1.54,3019,-3.10,-0.44,-13.35,-16.99,-44.23,-49.47,-1.37,-11.37,-29.93,-43.26,-45.49,0.9130200813803128,2
08-09-2025,NSE:NIFTY,IN,,2919.55,0.76,24773.15,0.60,0.80,-1.33,10.86,1.23,-2.05,-0.13,0.65,-2.08,2.2,1.93,,
08-09-2025,NSE:NIFTYJR,IN,,0,1.03,67366.05,1.03,1.76,-2.19,13.95,-7.24,-11.95,0.83,-0.21,1.01,-6.27,-7.97,,
08-09-2025,NSE:BANKNIFTY,IN,,910.76,0.9,54186.9,0.34,-2.26,-4.90,10.97,1.70,4.61,-3.19,-2.92,-1.97,2.67,8.59,,
08-09-2025,NSE:CNXMIDCAP,IN,,0,1.13,57361.15,0.93,1.07,-4.03,16.31,-1.31,-3.38,0.14,-2.05,3.37,-0.34,0.6,,
08-09-2025,NSE:CNX500,IN,,0,0.8,22878.65,0.72,0.93,-1.98,12.94,-0.97,-3.98,0,0,0,0,0,,
08-09-2025,NSE:CNXSMALLCAP,IN,,0,1.12,17684.35,1.05,0.12,-6.72,16.52,-8.42,-9.29,-0.81,-4.74,3.58,-7.45,-5.31,,
08-09-2025,NSE:NIFTYMIDSML400,IN,,0,1.02,19710.85,0.84,0.82,-3.20,16.79,-3.22,-4.77,-0.11,-1.22,3.85,-2.25,-0.79,,
08-09-2025,NSE:NIFTY_TOTAL_MKT,IN,,0,0.8,12880.5,0.75,0.94,-1.95,13.10,-1.25,-4.03,0.01,0.03,0.16,-0.28,-0.05,,
08-09-2025,NSE:NIFTY_MICROCAP250,IN,,0,1.13,23664.95,1.58,1.36,-1.39,17.07,-9.01,-5.77,0.43,0.59,4.13,-8.04,-1.79,,
