Date,Symbol,Security Name,Mkt Cap (Millions),AVOL(20),ADR(20),CMP,Change_1W,Change_10D,Change_1M,Change_3M,Change_6M,Change_9M,Change_12M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (NDX),RS_score,NC_1M,NC_3M,NC_6M,NC_9M,NC_12M,NRS_1M,NRS_3M,NRS_6M,NRS_9M,NRS_12M,NRS_score
10-09-2025,NASDAQ:GOOGL,Alphabet Inc. - Class A,2894202,36556066,2.24,239.17,3.56,13.39,15.96,25.33,31.41,27.82,36.90,14.61,17.33,12.66,17.66,14.14,1.111766,98,15.96,11.14,8.15,-5.24,12.58,14.61,4.40,-3.54,5.33,-1.44,83
10-09-2025,NASDAQ:NVDA,NVIDIA Corporation - Common Stock,4309119,185668725,2.66,177.33,3.78,-2.50,-2.67,18.82,38.67,18.20,42.01,-4.02,10.82,19.92,8.04,19.25,1.084451,93,-2.67,20.93,24.45,-33.38,29.11,-4.02,14.19,12.76,-22.81,15.09,93
10-09-2025,NASDAQ:NFLX,"Netflix, Inc. - Common Stock",530185,2574972,2.16,1247.71,1.73,1.73,2.36,3.53,28.26,26.44,46.64,1.01,-4.47,9.51,16.28,23.88,1.069771,88,2.36,1.21,25.63,-2.54,27.47,1.01,-5.53,13.94,8.03,13.45,88
10-09-2025,NASDAQ:AMD,"Advanced Micro Devices, Inc. - Common Stock",258909,49232666,3.25,159.54,-1.62,-4.44,-7.99,22.75,39.35,11.40,15.79,-9.34,14.75,20.60,1.24,-6.97,1.042157,83,-7.99,28.47,21.49,-46.09,4.96,-9.34,21.73,9.80,-35.52,-9.06,78
10-09-2025,NASDAQ:INTC,Intel Corporation - Common Stock,115682,118951025,4.32,24.77,3.11,1.70,16.63,10.86,20.15,16.03,23.74,15.28,2.86,1.40,5.87,0.98,1.035232,78,16.63,-6.92,10.42,-5.16,9.18,15.28,-13.66,-1.27,5.41,-4.84,63
10-09-2025,NASDAQ:TSLA,"Tesla, Inc. - Common Stock",1121779,73658798,3.42,347.79,3.94,-1.12,2.52,6.24,33.70,-6.24,39.41,1.17,-1.76,14.95,-16.40,16.65,1.032771,73,2.52,3.82,29.29,-60.24,42.97,1.17,-2.92,17.60,-49.67,28.95,98
10-09-2025,NYSE:JPM,JPMorgan Chase & Co. - Common Stock,826411,7084682,1.77,300.54,0.34,0.66,3.65,10.63,23.76,18.32,29.31,2.30,2.63,5.01,8.16,6.55,1.030817,68,3.65,7.24,14.69,-7.13,13.45,2.30,0.50,3.00,3.44,-0.57,68
10-09-2025,NASDAQ:META,"Meta Platforms, Inc. - Class A",1888946,10226281,1.88,751.98,1.99,-0.28,-1.85,6.59,19.45,19.02,33.47,-3.20,-1.41,0.70,8.86,10.71,1.019914,63,-1.85,8.29,13.77,-0.53,17.84,-3.20,1.55,2.08,10.04,3.82,73
10-09-2025,NASDAQ:MSFT,Microsoft Corporation - Common Stock,3719334,21216683,1.45,500.37,-1.00,-0.33,-4.28,5.89,23.97,11.54,19.72,-5.63,-2.11,5.22,1.38,-3.04,0.995619,57,-4.28,9.75,19.21,-16.34,9.24,-5.63,3.01,7.52,-5.77,-4.78,48
10-09-2025,NASDAQ:AMZN,"Amazon.com, Inc. - Common Stock",2456449,35742246,1.88,230.33,1.88,0.70,3.92,5.52,14.65,4.25,25.59,2.57,-2.48,-4.10,-5.91,2.83,0.992789,53,3.92,1.67,9.66,-12.19,22.29,2.57,-5.07,-2.03,-1.62,8.27,57
10-09-2025,NYSE:HD,"Home Depot, Inc. - Common Stock",411324,3941929,1.66,413.23,1.34,1.38,6.22,10.97,10.91,-3.22,12.87,4.87,2.97,-7.84,-13.38,-9.89,0.979312,48,6.22,5.06,-0.07,-15.86,15.59,4.87,-1.68,-11.76,-5.29,1.57,43
10-09-2025,NYSE:JNJ,Johnson & Johnson - Common Stock,423362,7964609,1.21,175.79,-1.26,-0.40,1.12,11.00,5.65,14.94,6.49,-0.23,3.00,-13.10,4.78,-16.27,0.979256,43,1.12,9.99,-6.01,9.85,-9.94,-0.23,3.25,-17.70,20.42,-23.96,28
10-09-2025,NYSE:DIS,Walt Disney Company - Common Stock,208183,6332318,1.68,115.79,-1.37,-1.61,2.80,-2.54,15.45,-0.61,24.05,1.45,-10.54,-3.30,-10.77,1.29,0.976462,38,2.80,-5.49,17.54,-19.00,24.52,1.45,-12.23,5.85,-8.43,10.50,53
10-09-2025,NYSE:MA,Mastercard Incorporated - Class A,523766,2331016,1.37,579.38,-2.40,-2.11,1.00,-1.75,9.25,9.43,17.82,-0.35,-9.75,-9.50,-0.73,-4.94,0.97053,33,1.00,-2.78,10.81,0.20,9.27,-0.35,-9.52,-0.88,10.77,-4.75,38
10-09-2025,NYSE:V,Visa Inc. - Class A,651422,5254697,1.43,338.12,-3.77,-3.86,0.66,-9.64,1.77,8.59,17.38,-0.69,-17.64,-16.98,-1.57,-5.38,0.953637,28,0.66,-10.36,10.40,6.94,9.61,-0.69,-17.10,-1.29,17.51,-4.41,33
10-09-2025,NYSE:XOM,Exxon Mobil Corporation - Common Stock,479615,15137176,1.58,112.5,0.52,0.90,5.93,4.69,2.97,-2.03,-0.12,4.58,-3.31,-15.78,-12.19,-22.88,0.953141,23,5.93,-1.31,-1.81,-5.15,1.86,4.58,-8.05,-13.50,5.42,-12.16,18
10-09-2025,NASDAQ:AAPL,Apple Inc. - Common Stock,3365652,48803178,1.7,226.79,-5.15,-1.11,-0.17,10.64,2.62,-7.17,2.63,-1.52,2.64,-16.13,-17.33,-20.13,0.95156,18,-0.17,10.79,-8.97,-10.05,9.14,-1.52,4.05,-20.66,0.52,-4.88,23
10-09-2025,NYSE:KO,Coca-Cola Company - Common Stock,291875,16283015,1.34,67.82,-1.73,-1.34,-4.32,-6.68,-4.75,7.23,-4.90,-5.67,-14.68,-23.50,-2.93,-27.66,0.926341,13,-4.32,-2.26,1.81,11.43,-13.06,-5.67,-9.00,-9.88,22.00,-27.08,13
10-09-2025,NYSE:UNH,UnitedHealth Group Incorporated - Common Stock,314070,20161311,3.1,346.78,11.22,13.37,27.22,12.40,-40.16,-66.96,-72.12,25.87,4.40,-58.91,-77.12,-94.88,0.91368,8,27.22,-20.37,-59.99,-19.12,-3.09,25.87,-27.11,-71.68,-8.55,-17.11,3
10-09-2025,NYSE:PG,Procter & Gamble Company - Common Stock,368572,6349952,1.34,157.35,-0.52,0.88,1.51,-3.49,-10.02,-11.87,-11.59,0.16,-11.49,-28.77,-22.03,-34.35,0.91348,3,1.51,-5.07,-6.31,-1.68,0.25,0.16,-11.81,-18.00,8.89,-13.77,8
10-09-2025,NASDAQ:NDX,NASDAQ 100,,,,23849.2703,1.82,1.36,1.35,8.00,18.75,10.16,22.76,,,,,,1,,1.35,6.74,11.69,-10.57,14.02,,,,,,
10-09-2025,SP:SPX,S&P 500,,,,6532.03,1.28,1.01,2.43,7.55,14.70,7.00,17.20,,,,,,0.986647,,2.43,5.25,7.73,-9.03,10.97,,,,,,
10-09-2025,CBOEFTSE:RUI,RUSSELL 1000,,,,3577.6,1.34,1.10,2.65,7.60,14.89,6.62,17.54,,,,,,0.987207,,2.65,5.08,7.90,-9.71,11.69,,,,,,
10-09-2025,NASDAQ:VTHR,VAN RUSSELL 3000,,,,288.6665,1.44,1.20,3.02,7.68,15.02,6.38,17.27,,,,,,0.987408,,3.02,4.80,7.95,-10.17,11.64,,,,,,
