Date,Symbol,Series,Mkt Cap (₹ Crores),AVOL(20),ADR(20),Price_1D,Change_1W,Change_1M,Change_3M,Change_6M,Change_9M,Change_12M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (CNX500),RS_score
11-09-2025,NSE:BGRENERGY,BE,1239.88,6.67,5.22,229.5,12.91,45.55,53.18,63.99,77.15,78.76,43.52,52.94,52.48,77.97,80.38,1.9514084208534328,99
11-09-2025,NSE:NACLIND,BE,5595.46,2.45,5.29,246,-9.39,-18.33,27.20,71.28,78.35,76.65,-20.36,26.96,59.77,79.17,78.27,1.7852915856443572,99
11-09-2025,NSE:UNITEDPOLY,BE,732.84,1.3,0.2,35.63,9.35,-18.02,45.66,64.96,60.05,75.97,-20.05,45.42,53.45,60.87,77.59,1.597109232110426,99
11-09-2025,NSE:IZMO,BE,1003.78,6.32,7.96,824.55,13.39,51.29,59.98,65.01,35.40,51.89,49.26,59.74,53.5,36.22,53.51,1.5907551495072674,99
11-09-2025,NSE:APOLLO,EQ,8738.55,279.36,7.16,297.9,-5.07,37.47,37.81,59.26,66.22,65.46,35.44,37.57,47.75,67.04,67.08,1.5723643086953503,99
11-09-2025,NSE:CUPID,EQ,4573.34,40.42,4.52,201.38,11.10,18.00,52.39,67.37,59.48,57.70,15.97,52.15,55.86,60.3,59.32,1.5570744571162052,99
11-09-2025,NSE:MEGASOFT,BE,984.09,1.98,5.5,162.17,14.45,29.21,38.40,62.30,56.13,65.68,27.18,38.16,50.79,56.95,67.3,1.5108501608678897,99
11-09-2025,NSE:GABRIEL,EQ,16510.43,6.09,4.66,1243.5,1.71,18.52,50.07,58.37,60.62,58.22,16.49,49.83,46.86,61.44,59.84,1.4971258591485166,99
11-09-2025,NSE:QPOWER,EQ,6080.91,9.1,5.51,966.25,10.85,18.60,48.61,62.63,55.50,55.50,16.57,48.37,51.12,56.32,57.12,1.477795794913832,99
11-09-2025,NSE:STALLION,EQ,1170.05,29.61,7.91,187.77,3.80,39.00,57.71,61.49,36.09,36.09,36.97,57.47,49.98,36.91,37.71,1.4639050588193008,99
11-09-2025,NSE:KCK,SM,279.85,2.97,7.13,39.4,-0.89,-5.20,-0.89,75.36,71.83,-2.41,-7.23,-1.13,63.85,72.65,-0.79,1.4634821659114188,99
11-09-2025,NSE:IXIGO,EQ,10536.99,37.97,5.39,321.8,11.26,25.88,43.83,58.34,56.08,51.22,23.85,43.59,46.83,56.9,52.84,1.4364336316192152,99
11-09-2025,NSE:SMLISUZU,EQ,6112.82,1.33,5.03,3663.9,-3.83,-5.37,48.78,65.54,56.61,44.28,-7.4,48.54,54.03,57.43,45.9,1.4351226437579185,99
11-09-2025,NSE:KRISHANA,EQ,3558.8,1.77,4.04,579.1,0.43,7.31,14.70,65.11,64.08,56.55,5.28,14.46,53.6,64.9,58.17,1.4307278382738224,99
11-09-2025,NSE:KARNIKA,SM,251.71,1.19,6.88,175,-14.11,16.12,24.74,30.76,65.26,70.49,14.09,24.5,19.25,66.08,72.11,1.429820558936406,99
11-09-2025,NSE:BHARATSE,EQ,932.58,2.42,6.65,167.49,2.53,33.29,40.06,52.24,52.24,52.24,31.26,39.82,40.73,53.06,53.86,1.401997230308331,99
11-09-2025,NSE:TFCILTD,EQ,2782.49,16.01,3.73,362,5.93,22.61,39.09,58.72,51.76,51.68,20.58,38.85,47.21,52.58,53.3,1.3979805986525848,99
11-09-2025,NSE:AXISCADES,BE,5312.21,1.01,5.47,1522.2,9.69,18.64,25.27,46.20,62.13,62.61,16.61,25.03,34.69,62.95,64.23,1.3979013705083043,99
11-09-2025,NSE:JSLL,EQ,8800.49,4.29,5.78,756.85,-2.95,29.17,43.20,53.30,38.28,60.37,27.14,42.96,41.79,39.1,61.99,1.3976176006575252,99
11-09-2025,NSE:FORCEMOT,EQ,25349.02,1.24,5.62,18021,-0.36,-2.88,28.72,57.49,62.48,57.21,-4.91,28.48,45.98,63.3,58.83,1.3939637330915309,98
11-09-2025,NSE:ZOTA,EQ,3635.12,1.01,4.77,1513.3,12.37,20.47,34.44,44.86,57.53,55.44,18.44,34.2,33.35,58.35,57.06,1.363973355804777,98
11-09-2025,NSE:GARUDA,EQ,2019.01,25.76,6.9,212.64,2.49,19.30,41.29,49.32,51.17,50.62,17.27,41.05,37.81,51.99,52.24,1.3547689409616377,98
11-09-2025,NSE:PROSTARM,EQ,1109.79,16.64,5.73,226.42,16.78,8.01,50.38,47.00,47.00,47.00,5.98,50.14,35.49,47.82,48.62,1.342870445622296,98
