Date,Symbol,Security Name,Mkt Cap (Millions),AVOL(20),ADR(20),CMP,Change_1W,Change_10D,Change_1M,Change_3M,Change_6M,Change_9M,Change_12M,Off_12M_peak,Off_6M_peak,Off_3M_peak,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (NDX),RS_score,NC_1M,NC_3M,NC_6M,NC_9M,NC_12M,NRS_1M,NRS_3M,NRS_6M,NRS_9M,NRS_12M,Total_NRS (NDX),NRS_score
14-09-2025,NASDAQ:SBET,"SharpLink Gaming, Inc. - Common Stock",3123,33788790,8.53,17.7,15.62,-4.29,-32.88,-83.79,75.55,40.86,54.57,-77.65,-77.65,-52.65,-33.89,-92.83,55.35,29.85,32.72,1.248587,98,-32.88,-38.31,86.70,-141.90,23.18,-33.89,-46.43,74.43,-130.38,11.00,1.438756,98
14-09-2025,NASDAQ:GOOGL,Alphabet Inc. - Class A,2915385,36745946,2.2,240.8,2.41,12.11,16.13,27.03,32.41,27.17,38.26,0,0,0,15.12,17.99,12.21,16.16,16.41,1.11596,93,16.13,13.00,7.36,-7.75,15.23,15.12,4.88,-4.91,3.77,3.05,1.030169,83
14-09-2025,NASDAQ:TSLA,"Tesla, Inc. - Common Stock",1277084,80112440,3.78,395.94,11.39,12.62,14.28,19.40,39.21,1.55,42.88,-17.49,0,0,13.27,10.36,19.01,-9.46,21.03,1.091242,88,14.28,5.97,24.58,-61.95,41.98,13.27,-2.15,12.31,-50.43,29.80,1.050842,93
14-09-2025,NASDAQ:NVDA,NVIDIA Corporation - Common Stock,4321026,184000956,2.6,177.82,6.07,-1.32,-2.12,18.46,35.00,21.94,39.21,-2.92,-2.92,-2.92,-3.13,9.42,14.80,10.93,17.36,1.073192,83,-2.12,20.15,20.29,-20.10,22.12,-3.13,12.03,8.02,-8.58,9.94,1.031165,88
14-09-2025,NYSE:JPM,JPMorgan Chase & Co. - Common Stock,843927,7087001,1.71,306.91,4.08,1.90,5.34,12.60,26.63,20.56,33.02,0,0,0,4.33,3.56,6.43,9.55,11.17,1.045716,79,5.34,7.67,16.05,-8.27,15.69,4.33,-0.45,3.78,3.25,3.51,1.015132,69
14-09-2025,NASDAQ:NFLX,"Netflix, Inc. - Common Stock",504999,2714983,2.25,1188.44,-4.66,-3.62,-1.35,-2.24,25.10,23.12,43.32,-11.25,-11.25,-11.25,-2.36,-11.28,4.90,12.11,21.47,1.038324,74,-1.35,-0.88,26.74,-2.64,26.27,-2.36,-9.00,14.47,8.88,14.09,1.027047,79
14-09-2025,NASDAQ:AMD,"Advanced Micro Devices, Inc. - Common Stock",257334,45054493,3.23,158.57,4.69,-6.31,-16.30,25.27,38.13,17.47,9.92,-14.02,-14.02,-14.02,-17.31,16.23,17.93,6.46,-11.93,1.035416,69,-16.30,35.74,17.21,-33.39,-9.15,-17.31,27.62,4.94,-21.87,-21.33,1.015693,74
14-09-2025,NASDAQ:META,"Meta Platforms, Inc. - Class A",1898014,10188476,1.82,755.59,0.42,0.59,-3.24,8.24,21.83,18.80,33.19,-4.36,-4.36,-4.36,-4.25,-0.80,1.63,7.79,11.34,1.020241,64,-3.24,11.12,14.81,-3.88,17.73,-4.25,3.00,2.54,7.64,5.55,1.013557,64
14-09-2025,NASDAQ:INTC,Intel Corporation - Common Stock,112460,110657671,3.77,24.08,-1.70,-3.53,7.72,13.75,1.58,13.58,21.18,-12.08,-7.1,-4.86,6.71,4.71,-18.62,2.57,-0.67,0.998176,60,7.72,6.53,-14.11,12.19,8.79,6.71,-1.59,-26.38,23.71,-3.39,1.001797,60
14-09-2025,NASDAQ:MSFT,Microsoft Corporation - Common Stock,3790172,21347596,1.41,509.9,2.92,0.05,-2.09,6.09,25.72,12.53,18.77,-4.81,-4.81,-4.81,-3.10,-2.95,5.52,1.52,-3.08,0.998175,55,-2.09,8.01,20.90,-17.75,7.13,-3.10,-0.11,8.63,-6.23,-5.05,0.998152,45
14-09-2025,NYSE:HD,"Home Depot, Inc. - Common Stock",420740,4018570,1.68,422.69,0.88,3.61,3.67,14.08,17.85,-1.54,12.26,-2.01,-0.17,-0.17,2.66,5.04,-2.35,-12.55,-9.59,0.986681,50,3.67,10.81,4.38,-23.59,13.59,2.66,2.69,-7.89,-12.07,1.41,0.993273,40
