Date,Symbol,Security Name,Mkt Cap (Millions),AVOL(20),ADR(20),CMP,Change_1W,Change_10D,Change_1M,Change_3M,Change_6M,Change_9M,Change_12M,Below_3M,Below_6M,Below_12M,Above_3M,Above_6M,Above_12M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (NDX),RS_score,NC_1M,NC_3M,NC_6M,NC_9M,NC_12M,NRS_1M,NRS_3M,NRS_6M,NRS_9M,NRS_12M,Total_NRS (NDX),NRS_score
15-09-2025,NASDAQ:QMMM,QMMM Holdings Limited - Class A Ordinary Shares,1277,3992714,217.32,74.22,89.75,94.35,96.39,98.63,97.98,98.88,90.11,-64.14,-64.14,-64.14,7814.27,11283.44,12626.34,95.38,89.59,77.78,87.87,68.26,24.325273,99,96.39,61.94,-47.06,44.67,-784.44,95.38,53.82,-59.33,56.19,-796.62,4.402248,99
15-09-2025,NYSE:ZEPP,"Zepp Health Corporation American depositary shares, each representing sixteen Class A ordinary shares",727,536043,13.61,50.61,1.24,25.00,31.32,95.28,94.09,93.89,93.74,-5.7,-5.7,-5.7,2124.62,2226.9,2226.9,30.31,86.24,73.89,82.88,71.89,6.969605,99,31.32,93.12,-25.10,-3.34,-2.55,30.31,85.00,-37.37,8.18,-14.73,2.65884,99
15-09-2025,NASDAQ:ABVX,Abivax SA - American Depositary Shares,6269,1195535,4.28,84.01,-4.79,2.82,16.81,91.64,92.95,89.88,86.00,-6.66,-6.66,-6.66,1307.2,1524.95,1524.95,15.80,82.60,72.75,78.87,64.15,4.485089,99,16.81,89.96,15.67,-43.58,-38.35,15.80,81.84,3.40,-32.06,-50.53,2.060258,99
15-09-2025,NASDAQ:OPEN,Opendoor Technologies Inc  - Common Stock,6988,433169329,21.01,9.07,26.68,52.92,73.32,93.37,87.76,75.96,78.39,-13.78,-13.78,-13.78,1670.79,1670.79,1670.79,72.31,84.33,67.56,64.95,56.54,4.008636,99,73.32,75.15,-84.57,-96.40,10.09,72.31,67.03,-96.84,-84.88,-2.09,1.605269,99
15-09-2025,AMEX:BMNR,"BitMine Immersion Technologies, Inc. Common Stock",9214,46819179,9.62,55.09,23.69,17.28,-11.87,89.82,87.79,93.13,80.03,-59.19,-59.19,-59.19,1191.68,1191.68,2654.5,-12.88,80.78,67.59,82.12,58.18,3.938504,99,-11.87,90.90,-19.87,43.70,-190.54,-12.88,82.78,-32.14,55.22,-202.72,2.182622,99
15-09-2025,NASDAQ:QUBT,Quantum Computing Inc. - Common Stock,2692,16001081,6.62,17.01,11.17,5.35,5.88,-2.94,67.72,56.08,96.49,-19.84,-19.84,-33.76,16.91,209.84,2748.29,4.87,-11.98,47.52,45.07,74.64,3.147897,99,5.88,-9.37,68.65,-36.07,92.01,4.87,-17.49,56.38,-24.55,79.83,1.977373,99
15-09-2025,NASDAQ:RGTI,"Rigetti Computing, Inc.  - Common stock",6227,40931207,7.76,19.09,20.90,13.15,9.69,36.62,54.16,76.58,96.16,0,0,-4.55,76.92,154.53,2502.24,8.68,27.58,33.96,65.57,74.31,3.139538,99,9.69,29.81,27.69,48.91,83.59,8.68,21.69,15.42,60.43,71.41,1.526239,99
15-09-2025,NASDAQ:ONDS,Ondas Holdings Inc. - Common Stock,2048,48257860,12.86,6.56,14.18,13.11,46.34,73.93,89.68,87.60,85.69,0,0,0,358.74,869.41,877.65,45.33,64.89,69.48,76.59,63.84,3.082074,99,46.34,51.42,60.43,-20.17,-15.47,45.33,43.30,48.16,-8.65,-27.65,1.315064,99
15-09-2025,NYSE:QBTS,D-Wave Quantum Inc. Common Shares,6266,31423560,5.93,17.76,13.46,10.36,-5.01,10.59,61.09,73.82,94.73,-12.51,-12.51,-12.51,26.68,185.53,1888.58,-6.02,1.55,40.89,62.81,72.88,2.567348,99,-5.01,14.85,56.49,32.71,79.87,-6.02,6.73,44.22,44.23,67.69,1.432431,99
15-09-2025,NASDAQ:TDUP,ThredUp Inc. - Class A Common Stock,1330,2224336,5.31,10.405,-11.48,-7.64,-1.01,28.50,78.76,82.99,91.87,-13.87,-13.87,-13.87,54.84,370.81,1869.9,-2.02,19.46,58.56,71.98,70.02,2.480127,99,-1.01,29.21,70.30,19.91,52.23,-2.02,21.09,58.03,31.43,40.05,1.326781,99
15-09-2025,NASDAQ:PRCH,"Porch Group, Inc. - Common Stock",1841,2196758,5.37,17.44,-4.36,7.74,7.97,35.44,68.00,70.47,93.06,-8.4,-8.4,-8.4,67.05,274.25,1377.97,6.96,26.40,47.80,59.46,71.21,2.323084,99,7.97,29.84,50.44,7.71,76.50,6.96,21.72,38.17,19.23,64.32,1.369114,99
15-09-2025,NYSE:OKLO,Oklo Inc. Class A common stock,14123,13459143,7.12,82.71,15.62,5.83,6.40,22.04,71.04,75.71,92.64,-1.64,-1.64,-1.64,61.13,317.73,1258.13,5.39,13.00,50.84,64.70,70.79,2.3181,99,6.40,16.71,62.86,16.12,69.69,5.39,8.59,50.59,27.64,57.51,1.336301,99
15-09-2025,NASDAQ:MVST,"Microvast Holdings, Inc. - Common Stock",1087,4958766,6.88,3.28,21.95,14.63,11.89,-28.05,56.40,64.63,93.92,-29.16,-29.16,-29.16,29.64,185.22,1942.34,10.88,-37.09,36.20,53.62,72.07,2.267328,99,11.89,-45.33,65.95,18.88,82.80,10.88,-53.45,53.68,30.40,70.62,1.490216,99
15-09-2025,NYSE:AMPX,"Amprius Technologies, Inc. Common Stock",1047,6225927,8.21,8.13,12.55,9.23,5.66,51.54,77.98,72.82,90.22,-6.12,-6.12,-6.12,135.65,354.19,922.13,4.65,42.50,57.78,61.81,68.37,2.225784,99,5.66,48.63,54.57,-23.46,64.01,4.65,40.51,42.30,-11.94,51.83,1.31365,99
15-09-2025,NASDAQ:CELC,Celcuity Inc. - Common Stock,2336,916003,5.94,54.91,-1.41,0.56,4.63,77.13,81.73,76.65,70.99,-12.19,-12.19,-12.19,379.56,568.82,568.82,3.62,68.09,61.53,65.64,49.14,2.144795,99,4.63,76.02,20.14,-27.82,-24.26,3.62,67.90,7.87,-16.30,-36.44,1.355524,99
15-09-2025,NASDAQ:NKTR,Nektar Therapeutics - Common Stock,932,1132361,8.41,48.68,17.46,39.73,47.17,82.00,74.87,68.88,61.79,0,0,0,472.03,561.77,561.77,46.16,72.96,54.67,57.87,39.94,2.11394,99,47.17,65.94,-39.62,-23.87,-22.77,46.16,57.82,-51.89,-12.35,-34.95,1.26521,99
15-09-2025,NASDAQ:IREN,IREN Limited - Ordinary Shares,10070,32472327,10.08,33.96,23.00,32.16,47.79,70.05,80.12,57.27,77.83,0,0,0,247.59,540.75,540.75,46.78,61.01,59.92,46.26,55.98,2.004509,99,47.79,42.64,33.63,-114.96,48.10,46.78,34.52,21.36,-103.44,35.92,1.242217,99
15-09-2025,NASDAQ:SATS,EchoStar Corporation - Common stock,20698,9020345,6.27,74.89,10.21,23.96,62.06,75.86,64.76,68.31,71.29,-10.39,-10.39,-10.39,344.71,368.36,368.36,61.05,66.82,44.56,57.30,49.44,1.997976,99,62.06,36.38,-46.00,10.08,9.40,61.05,28.26,-58.27,21.60,-2.78,1.234021,98
15-09-2025,NASDAQ:NEGG,"Newegg Commerce, Inc. - Common Shares",844,2097079,24.06,43.98,-0.32,-12.57,-108.94,76.31,82.58,71.12,66.79,-65.66,-65.66,-65.66,369.87,1156.57,1156.57,-109.95,67.27,62.38,60.11,44.94,1.984453,99,-108.94,88.66,26.49,-65.80,-14.99,-109.95,80.54,14.22,-54.28,-27.17,1.851211,99
15-09-2025,NASDAQ:AEVA,"Aeva Technologies, Inc. - Common Stock",911,2623232,8.87,16.03,12.98,-3.74,13.85,-47.66,83.84,70.18,84.97,-57.58,-57.58,-57.58,29.12,518.92,565.15,12.84,-56.70,63.64,59.17,63.12,1.932864,99,13.85,-71.40,89.06,-84.56,49.58,12.84,-79.52,76.79,-73.04,37.40,1.670566,99
15-09-2025,NASDAQ:QSG,QuantaSing Group Limited - American Depositary Shares,599,735498,8.24,11.7,34.19,25.81,37.35,1.62,76.50,74.36,85.47,-13.27,-13.27,-13.27,65.49,346.56,618.98,36.34,-7.42,56.30,63.35,63.62,1.926015,99,37.35,-57.03,76.11,-9.09,43.33,36.34,-65.15,63.84,2.43,31.15,1.323619,99
15-09-2025,NASDAQ:TMC,TMC the metals company Inc. - Common Stock,2207,7802355,7.18,5.52,7.25,4.71,1.45,13.04,68.66,84.53,82.61,-31.85,-31.85,-31.85,27.19,240.74,661.38,0.44,4.00,48.46,73.52,60.76,1.917132,99,1.45,11.76,63.96,50.65,-12.45,0.44,3.64,51.69,62.17,-24.63,1.223586,98
15-09-2025,NASDAQ:ABTC,American Bitcoin Corp. - Class A Common Stock,1248,7443122,20.57,7.89,6.21,-9.00,13.18,34.73,87.71,62.70,71.48,-15.25,-15.25,-15.25,97.23,1069.76,1069.76,12.17,25.69,67.51,51.69,49.63,1.915594,99,13.18,24.82,81.17,-203.56,23.55,12.17,16.70,68.90,-192.04,11.37,1.366557,99
15-09-2025,NYSE:BE,Bloom Energy Corporation Class A Common Stock,15683,11249800,6.9,67.26,15.15,18.53,34.46,66.92,64.42,60.48,84.91,-0.04,-0.04,-0.04,215.18,312.13,644.03,33.45,57.88,44.22,49.47,63.06,1.904154,99,34.46,49.52,-7.55,-11.07,61.81,33.45,41.40,-19.82,0.45,49.63,1.262205,99
15-09-2025,NASDAQ:RKLB,Rocket Lab Corporation - Common Stock,26070,21676374,7.93,53.34,14.06,10.18,19.39,50.51,67.06,56.43,88.47,0,0,0,109.92,225.84,767.32,18.38,41.47,46.86,45.42,66.62,1.896308,99,19.39,38.60,33.45,-32.27,73.54,18.38,30.48,21.18,-20.75,61.36,1.305861,99
15-09-2025,AMEX:UAMY,United States Antimony Corporation Common Stock,651,5690809,9.23,4.93,8.52,7.30,18.66,38.74,67.55,67.14,87.65,-0.2,-0.2,-0.2,150.25,208.12,851.55,17.65,29.70,47.35,56.13,65.80,1.873922,99,18.66,24.69,47.02,-1.25,62.40,17.65,16.57,34.75,10.27,50.22,1.238611,98
