Date,Symbol,Series,Mkt Cap (₹ Crores),AVOL(20),ADR(20),CMP,Change_1d,Change_1W,Change_10D,Change_1M,Change_3M,Change_6M,Change_9M,Change_12M,Below_3M,Below_6M,Below_12M,Above_3M,Above_6M,Above_12M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (CNX500),RS_score,NRS_1M,NRS_3M,NRS_6M,NRS_9M,NRS_12M,Total_NRS (CNX500),NRS_score
16-09-2025,NSE:BGRENERGY,BE,1239.88,6.91,4.47,257.2,,12.12,26.45,56.31,60.51,67.34,75.28,81.79,,,,165.68,247.19,638.44,53.36,58.85,54.05,74.8,82.48,2.096166,99,53.36,10.93,5.48,39.08,27.52,1.245453,99
16-09-2025,NSE:APOLLO,EQ,8738.55,319.29,7.84,343.8,,20.54,14.86,44.76,41.53,67.30,71.50,70.33,,,,102.31,217.89,276.89,41.81,39.87,54.01,71.02,71.02,1.73414,99,41.81,-4.53,32.26,27.59,-2.89,1.171237,99
16-09-2025,NSE:IZMO,BE,1003.78,6.25,7.64,913,,9.46,26.65,57.77,63.40,69.38,35.09,55.27,,,,173.23,249.01,277.66,54.82,61.74,56.09,34.61,55.96,1.693263,99,54.82,14.66,4.52,-97.21,32.27,1.192844,99
16-09-2025,NSE:NACLIND,BE,5595.46,2.37,5.21,231.65,,-12.02,-22.19,-15.58,23.50,65.65,74.92,75.04,-28.35,-28.35,-28.35,31.53,150.76,364.69,-18.53,21.84,52.36,74.44,75.73,1.644101,99,-18.53,35.14,43.28,41.77,1.66,1.185008,99
16-09-2025,NSE:UNITEDPOLY,BE,732.84,1.42,0.28,37.8,,9.37,17.86,-1.46,49.50,63.88,60.04,77.35,-10.11,-10.11,-10.11,105.88,167.5,338.97,-4.41,47.84,50.59,59.56,78.04,1.631721,99,-4.41,51.55,16.67,4.13,44.49,1.205948,99
16-09-2025,NSE:CUPID,EQ,4573.34,40.8,4.9,204.76,,4.00,11.59,17.99,54.94,68.88,60.41,58.67,-1.28,-1.28,-1.28,127.13,256.1,256.1,15.04,53.28,55.59,59.93,59.36,1.583036,99,15.04,46.39,19.1,-12.42,-3.22,1.14522,99
16-09-2025,NSE:GABRIEL,EQ,16510.43,5.4,4.19,1317.2,,4.43,3.96,18.36,54.71,59.57,61.37,61.16,,,,122.42,158.48,231.58,15.41,53.05,46.28,60.89,61.85,1.535672,99,15.41,45.86,-1.1,19.23,0.63,1.140631,99
16-09-2025,NSE:DPEL,SM,337.03,1.33,4.62,241.65,,35.57,43.51,46.29,39.54,61.10,47.51,64.00,-3.11,-3.11,-3.11,95.43,141.65,255.89,43.34,37.88,47.81,47.03,64.69,1.510378,99,43.34,-11.23,23.84,-20.18,32.6,1.151934,99
16-09-2025,NSE:SMLISUZU,EQ,6112.82,1.17,4.94,3802.6,,3.23,-3.54,-13.70,50.60,70.35,59.04,50.18,-19.04,-19.04,-19.04,116.39,244.5,260.16,-16.65,48.94,57.06,58.56,50.87,1.493569,99,-16.65,57.89,28.15,-23.36,-20.47,1.166376,99
16-09-2025,NSE:STALLION,EQ,1170.05,26.85,7.38,205.46,,5.64,20.87,35.22,62.13,59.38,41.59,41.59,-1.02,-1.02,-1.02,177.65,220.98,232.62,32.27,60.47,46.09,41.11,42.28,1.488133,99,32.27,42.87,-19.08,-29.03,1.18,1.122256,99
16-09-2025,NSE:FORCEMOT,EQ,25349.02,1.21,5.4,19734,,7.99,1.20,0.31,28.97,63.68,66.75,63.37,-9.88,-9.88,-9.88,43.99,178.48,217.8,-2.64,27.31,50.39,66.27,64.06,1.481728,99,-2.64,30.08,37.05,23.21,-8.96,1.133623,99
16-09-2025,NSE:AXISCADES,BE,5312.21,1.26,5.32,1682.5,,12.34,20.49,28.04,24.04,49.24,66.30,68.12,,,,42.8,123,291.1,25.09,22.38,35.95,65.82,68.81,1.477134,99,25.09,-4.23,21.36,48.37,6.59,1.132149,99
16-09-2025,NSE:MEGASOFT,BE,984.09,2.1,5.44,148.68,,-3.33,10.42,24.04,36.10,61.08,52.37,64.04,-8.32,-8.32,-8.32,74.04,203.06,203.06,21.09,34.44,47.79,51.89,64.73,1.449436,99,21.09,17.2,27.27,-7.59,25.68,1.125675,99
