Date,Symbol,Series,Mkt Cap (₹ Crore),AVOL(20),ADR(20),CMP,Change_1D,Change_1W,Change_10D,Change_1M,Change_3M,Change_6M,Change_9M,Change_12M,Mom_10d,Below_3M,Below_6M,Below_12M,Above_3M,Above_6M,Above_12M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (CNX500),RS_score,NRS_1M,NRS_3M,NRS_6M,NRS_9M,NRS_12M,Total_NRS (CNX500),NRS_score
18-09-2025,NSE:KCK,SM,260.77,3.39,7.32,35.5,-3.79,-10.99,-11.97,-16.48,-35.07,73.24,66.79,-20.56,NA,-27.99,-27.99,-44.53,0,412.27,412.27,-18.4,-38.28,59.5,66.08,-18.82,1.326152,98,-18.4,-17.27,69.32,-9.01,-260.55,1.246045,98
18-09-2025,NSE:MARUTI,EQ,35000,5.52,1.77,15817,0.10,4.56,7.3,9.91,19.04,26.95,28.7,22.13,NA,0,0,0,28.57,39.61,47.32,7.99,15.83,13.21,27.99,23.87,1.109912,93,7.99,8.82,-1.09,17.49,-6.74,1.031592,93
18-09-2025,NSE:BAJFINANCE,EQ,45000,76.12,1.94,996.5,-1.09,2.63,6.2,9.45,9.63,13.9,27.66,23.75,NA,-1.32,-1.32,-1.32,16.82,16.82,54.12,7.53,6.42,0.16,26.95,25.49,1.075934,89,7.53,-1.11,-6.15,31.09,-2.94,1.028885,89
18-09-2025,NSE:BHARTIARTL,EQ,65000,40.61,1.35,1941.1,-0.01,1.45,3.13,1.62,3.3,15.56,14.35,15.8,NA,-4.56,-4.56,-4.56,4.91,19.28,27.27,-0.3,0.09,1.82,13.64,17.54,1.030691,84,-0.3,0.4,1.8,13.67,4.16,1.01546,84
18-09-2025,NSE:ULTRACEMCO,EQ,29000,2.01,1.57,12626,-0.75,1.85,-0.2,-1.88,9.55,16.47,5.41,7.19,NA,-1.93,-1.93,-1.93,10.28,18.02,24.66,-3.8,6.34,2.73,4.7,8.93,1.018719,80,-3.8,9.91,-3.23,1.87,4.35,1.010426,75
18-09-2025,NSE:SBIN,EQ,65000,65.74,1.17,854.35,-0.33,3.59,5.26,2.8,8.11,15.36,-0.77,7.43,NA,-0.33,-0.33,-1.52,8.12,15.97,24.03,0.88,4.9,1.62,-1.48,9.17,1.015673,75,0.88,4.15,-2.98,-3.96,10.61,1.009438,66
18-09-2025,NSE:HINDUNILVR,EQ,60000,15.58,1.77,2586.8,0.67,-1.36,-3.08,-0.7,11.31,16.06,8.53,-13.38,NA,-3.93,-3.93,-14.59,14.3,17.58,19.91,-2.62,8.1,2.32,7.82,-11.64,1.011041,70,-2.62,10.61,-5.51,6.12,-21.48,0.997811,48
18-09-2025,NSE:HDFCBANK,EQ,120000,164.1,1.23,976.9,1.08,0.93,1.6,-1.91,0.95,12.46,4.53,14.73,NA,-3.55,-3.55,-3.55,3.43,12.79,20.77,-3.83,-2.26,-1.28,3.82,16.47,1.008381,66,-3.83,1.49,0.75,6.05,13.15,1.012952,80
18-09-2025,NSE:ICICIBANK,EQ,90000,78.2,1.04,1421.7,0.18,1.41,1.14,-1.03,0.73,10.74,5.32,12.05,NA,-4.49,-4.49,-4.49,1.97,10.42,18.86,-2.95,-2.48,-3,4.61,13.79,1.005392,61,-2.95,0.43,-0.79,9.02,9.58,1.009967,70
18-09-2025,NSE:CNXMIDCAP,IN,,,,59073.2,0.38,1.74,3.58,2.38,3.24,17.96,-0.63,-1.63,,-1.13,-1.13,-2.92,,,,0.46,0.03,4.22,-1.34,0.11,1.004686,,0.46,-0.43,4.35,-7.56,1.48,1.001452,
18-09-2025,NSE:NIFTYMIDSML400,IN,,,,20322.2,0.22,1.95,3.43,2.24,3.94,18.16,-1.74,-3,,-1.41,-1.41,-3.83,,,,0.32,0.73,4.42,-2.45,-1.26,1.003768,,0.32,0.43,3.93,-9.21,1.23,1.000742,
18-09-2025,NSE:BANKNIFTY,IN,,,,55727.45,0.42,1.9,2.96,-0.25,0.27,13.23,3.85,6.8,,-3.01,-3.01,-3.01,,,,-2.17,-2.94,-0.51,3.14,8.54,1.002427,,-2.17,-0.8,2.13,4.29,5.54,1.005733,
18-09-2025,NSE:KOTAKBANK,EQ,50000,32.28,1.39,2054.6,0.21,4.01,5.11,1.2,-4.47,2.99,12.18,11.4,NA,-7.84,-9.44,-9.44,5.77,5.77,21.73,-0.72,-7.68,-10.75,11.47,13.14,1.000768,57,-0.72,-7.05,-3.73,24.57,1.59,1.008442,61
18-09-2025,NSE:CNX500,IN,,,,23518.9,0.31,1.77,2.97,1.92,3.21,13.74,0.71,-1.74,,-0.43,-0.43,-3.99,,,,0,0,0,0,0,1,,0,0,0,0,0,1,
18-09-2025,NSE:NIFTY_TOTAL_MKT,IN,,,,13237.7,0.29,1.76,2.96,1.92,3.25,13.92,0.39,-1.86,,-0.4,-0.4,-4.06,,,,0,0.04,0.18,-0.32,-0.12,0.999891,,0,0.04,0.16,-0.62,0.22,0.999965,
18-09-2025,NSE:NIFTY,IN,,,,25423.6,0.37,1.64,2.71,1.74,2.48,11.47,2.97,0.26,,-0.84,-0.84,-3.02,,,,-0.18,-0.73,-2.27,2.26,2,0.999736,,-0.18,-0.56,-1.66,5.51,-0.32,1.00084,
18-09-2025,NSE:CNXSMALLCAP,IN,,,,18476.95,0.29,3.26,4.63,3.05,2.51,18.99,-5.7,-5.57,,-3.46,-3.46,-6,,,,1.13,-0.7,5.25,-6.41,-3.83,0.99912,,1.13,-1.86,6.03,-15.38,2.6,0.999191,
18-09-2025,NSE:RELIANCE,EQ,200000,94.56,1.33,1415,0.08,2.24,3.94,-0.36,-1.29,12.45,10.37,-4.07,NA,-8.21,-8.21,-8.21,4.51,21.39,21.78,-2.28,-4.5,-1.29,9.66,-2.33,0.997754,52,-2.28,-2.24,2.7,12.72,-13.64,0.998194,52
18-09-2025,NSE:NIFTY_MICROCAP250,IN,,,,24173.2,-0.24,1.61,2.52,1.86,4.14,18.53,-8.45,-5.2,,-2.34,-2.34,-8.48,,,,-0.06,0.93,4.79,-9.16,-3.46,0.99733,,-0.06,1.01,4.15,-18.02,5.47,0.999845,
18-09-2025,NSE:LT,EQ,45000,13.87,1.37,3686,0.01,3.97,2.53,1.98,1.76,13.91,-5.2,1.98,NA,-0.21,-0.21,-6.62,7.71,20.69,20.69,0.06,-1.45,0.17,-5.91,3.72,0.996286,48,0.06,-1.53,1.49,-7.1,9.3,1.002684,57
18-09-2025,NSE:NIFTYJR,IN,,,,69334.3,0.27,1.96,3.15,2.06,5.03,14.32,-5.51,-8.79,,0,0,-10.9,,,,0.14,1.82,0.58,-6.22,-7.05,0.993494,,0.14,1.72,-1.09,-8.04,-0.64,0.995821,
18-09-2025,NSE:ASIANPAINT,EQ,32000,11.43,1.61,2478.7,-0.60,-3.11,-3.63,-4.06,8.5,10.46,3.08,-35.48,NA,-4.2,-4.2,-25.69,9.48,12.22,16.26,-5.98,5.29,-3.28,2.37,-33.74,0.980606,43,-5.98,10.76,-8.73,6.87,-37.32,0.984709,16
18-09-2025,NSE:AXISBANK,EQ,45000,53.54,1.42,1133,0.62,4.02,7.29,4.4,-7.46,8.72,-1.58,-7.45,NA,-8.15,-8.15,-11.28,8.4,8.4,19.5,2.48,-10.67,-5.02,-2.29,-5.71,0.979408,39,2.48,-13.71,4.19,3.81,-3.31,0.993001,43
18-09-2025,NSE:SRD,EQ,496.57,2.87,5.61,71.9,-0.61,-2.88,-13.64,-8.16,4.1,16.73,-24.41,NA,NA,-17.81,-17.81,NA,1.11,33.35,NA,-10.08,0.89,2.99,-25.12,0,0.976913,34,-10.08,10.03,2.3,-34.31,102.47,0.989401,30
18-09-2025,NSE:TECHM,EQ,22000,14.16,1.77,1550.7,0.23,1.9,3.24,3.48,-8.6,7.13,-14.5,-6.79,NA,-9.05,-9.77,-13.68,7.78,21.84,21.84,1.56,-11.81,-6.61,-15.21,-5.05,0.966281,30,1.56,-13.82,3.61,-8.19,9.2,0.992813,39
18-09-2025,NSE:SUNPHARMA,EQ,33000,26.7,1.59,1648.6,1.75,2.36,4.02,1.33,0.06,-3.38,-9.78,-12.44,NA,-4.91,-10.48,-15.4,5.46,5.46,5.46,-0.59,-3.15,-17.12,-10.49,-10.7,0.963662,25,-0.59,-2.6,-14.31,8.91,0.04,0.98882,25
18-09-2025,NSE:ITC,EQ,60000,131.79,1.37,411.55,0.55,-0.85,-1.06,0.6,-1.08,0.87,-7.82,-17.86,NA,-3.07,-7.08,-16.6,3.33,3.33,4.23,-1.32,-4.29,-12.87,-8.53,-16.12,0.963327,20,-1.32,-3,-8.93,6.33,-6.84,0.985475,20
18-09-2025,NSE:WIPRO,EQ,25000,83.73,1.77,256.93,1.09,1.18,4.65,3.88,-3.37,-1.14,-20.34,-7.15,NA,-4.86,-5.61,-19.73,7.48,9.73,9.73,1.96,-6.58,-14.88,-21.05,-5.41,0.961096,16,1.96,-8.85,-8.71,-3.89,13.43,0.991989,34
18-09-2025,NSE:INFY,EQ,70000,76.15,1.7,1540.6,1.20,2.01,5.04,6.53,-5.05,-3.21,-28.52,-26.19,NA,-6.1,-6.1,-22.96,8.26,10.3,10.3,4.61,-8.26,-16.95,-29.23,-24.45,0.946212,11,4.61,-13.7,-9.12,-9.43,4.29,0.979193,7
18-09-2025,NSE:HCLTECH,EQ,34000,26.46,1.76,1493.8,0.83,1.75,3.38,1.18,-14.73,-3.44,-30.83,-21.35,NA,-14.14,-14.14,-25.13,6.47,8.71,8.71,-0.74,-17.94,-17.18,-31.54,-19.61,0.930233,7,-0.74,-17.42,-1.02,-11.39,9.72,0.979773,11
