Date,Symbol,Security Name,Mkt Cap (Millions),AVOL(20),ADR(20),CMP,Change_1D,Change_1W,Change_10D,Change_1M,Change_3M,Change_6M,Change_9M,Change_12M,Momo_1M,HighMomo_10D,6EMA_10D,10EMA_21D,21EMA_50D,50SMA_65D,Below_3M,Below_6M,Below_12M,Above_3M,Above_6M,Above_12M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (NDX),RS_score,NC_1M,NC_3M,NC_6M,NC_9M,NC_12M,NRS_1M,NRS_3M,NRS_6M,NRS_9M,NRS_12M,Total_NRS (NDX),NRS_score
21-09-2025,NASDAQ:QMMM,QMMM Holdings Limited - Class A Ordinary Shares,1425,2498840,221.84,82.84,-6.94,10.41,90.81,96.11,98.71,98.41,99.10,93.46,0,0,-1,-1,-1,-1,-59.98,-59.98,-59.98,7642.06,12605.52,14104.39,90.52,86.53,78.32,88.83,72.37,27.664485,99,96.11,66.77,-23.36,43.73,-629.67,90.52,59.79,-32.37,56.02,-641.73,13.840821,99
21-09-2025,NASDAQ:RGC,Regencell Bioscience Holdings Limited - Ordinary Shares,7734,298261,7.74,15.64,3.23,6.01,15.22,21.16,-143.03,92.43,99.16,98.84,0,0,-1,-1,-1,-1,-58.85,-79.95,-79.95,50.97,2425.8,16501.11,15.57,-155.21,72.34,88.89,77.75,17.390469,99,21.16,-208.27,96.88,88.89,-38.00,15.57,-215.25,87.87,101.18,-50.06,0.81088,1
21-09-2025,NASDAQ:DFDV,DeFi Development Corp. - Common Stock,433,2998931,9.92,16.93,-4.62,-3.90,11.64,-3.87,-46.96,96.34,95.95,96.42,0,0,-1,-1,-1,-1,-44.24,-60.16,-60.16,25.78,2862.75,3023.03,-9.46,-59.14,76.25,85.68,75.33,6.825241,99,-3.87,-41.48,97.51,-10.65,11.68,-9.46,-48.46,88.5,1.64,-0.38,0.854774,1
21-09-2025,NYSE:ZEPP,"Zepp Health Corporation American depositary shares, each representing sixteen Class A ordinary shares",690,442564,11.6,48,3.45,-5.44,-4.12,18.40,94.94,92.44,93.65,93.10,0,0,-1,-1,4,-1,-10.56,-10.56,-10.56,1875.31,2106.9,2106.9,12.81,82.76,72.35,83.38,72.01,6.262953,99,18.40,93.80,-49.38,15.98,-8.52,12.81,86.82,-58.39,28.27,-20.58,3.345805,99
21-09-2025,AMEX:BMNR,"BitMine Immersion Technologies, Inc. Common Stock",10634,49972360,9.2,61.29,2.22,10.12,31.41,15.06,92.48,89.23,94.04,82.05,0,0,-1,-1,-1,-1,-54.6,-54.6,-54.6,1337.05,1337.05,2964.5,9.47,80.3,69.14,83.77,60.96,4.651496,99,15.06,91.14,-43.17,44.70,-201.36,9.47,84.16,-52.18,56.99,-213.42,2.659339,99
21-09-2025,NASDAQ:ABVX,Abivax SA - American Depositary Shares,6252,1068959,4.51,82.3,-1.21,-2.08,-6.96,12.65,92.75,91.42,90.40,86.21,0,0,-1,-1,5,-1,-8.56,-8.56,-8.56,1278.56,1491.88,1491.88,7.06,80.57,71.33,80.13,65.12,4.496333,99,12.65,91.70,-18.26,-11.90,-43.67,7.06,84.72,-27.27,0.39,-55.73,2.626662,99
21-09-2025,NASDAQ:OPEN,Opendoor Technologies Inc  - Common Stock,7043,445484932,19.9,9.57,-3.72,5.22,30.51,66.35,94.41,87.57,79.94,75.34,0,0,2,1,-1,-1,-9.03,-9.03,-9.03,1768.41,1768.41,1768.41,60.76,82.23,67.48,69.67,54.25,4.228718,99,66.35,83.40,-122.64,-61.34,-22.92,60.76,76.42,-131.65,-49.05,-34.98,3.473253,99
21-09-2025,NASDAQ:RGTI,"Rigetti Computing, Inc.  - Common stock",9245,53423994,8.64,28.52,15.28,33.06,47.05,48.25,61.22,68.48,70.44,97.05,0,0,-1,-1,-1,11,0,0,0,164.32,280.27,3753.01,42.66,49.04,48.39,60.17,75.96,3.884342,99,48.25,25.07,18.72,6.23,90.03,42.66,18.09,9.71,18.52,77.97,1.202189,97
21-09-2025,NASDAQ:SUPX,Super X AI Technology Limited - Ordinary Shares,1486,282740,20.92,55.25,11.75,-7.15,10.39,40.63,82.15,86.02,92.22,91.48,0,0,-1,-1,-1,-1,-18.75,-18.75,-18.75,460.91,615.35,1599.9,35.04,69.97,65.93,81.95,70.39,3.752727,99,40.63,69.94,21.67,44.33,-9.53,35.04,62.96,12.66,56.62,-21.59,1.581034,99
21-09-2025,NASDAQ:QUBT,Quantum Computing Inc. - Common Stock,3720,23732139,8.07,23.27,26.81,26.90,35.07,37.17,18.87,68.24,52.39,97.01,0,26.81,-1,-1,-1,-1,0,0,-9.38,59.93,296.42,3513.35,31.58,6.69,48.15,42.12,75.92,3.550401,99,37.17,-29.14,60.86,-49.93,93.73,31.58,-36.12,51.85,-37.64,81.67,1.004513,49
