Date,Symbol,Series,Mkt Cap (₹ Crores),AVOL(20),ADR(20),CMP,Change_1D,Change_1W,Change_10D,Change_1M,Change_3M,Change_6M,Change_9M,Change_12M,Momo_1M,HighMomo_10D,6EMA_10D,10EMA_21D,21EMA_50D,50SMA_65D,Below_3M,Below_6M,Below_12M,Above_3M,Above_6M,Above_12M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (CNX500),RS_score,NRS_1M,NRS_3M,NRS_6M,NRS_9M,NRS_12M,Total_NRS (CNX500),NRS_score
21-09-2025,NSE:MVKAGRO,ST,683.42,1.19,1.26,441.2,1.99,9.39,16.14,31.1,68.9,89.53,90.56,88.15,0,0,0,0,-1,-1,0,0,0,215.37,868.61,1263.83,29.64,67,77.48,88.9,90.2,3.423014,99,29.64,54.43,55.98,21.65,-21.79,1.374278,99
21-09-2025,NSE:POLYSIL,ST,500.96,1.54,1.05,222.6,1.99,9.37,17.88,33.76,70.69,91.15,87.87,85.4,0,0,0,0,-1,-1,0,0,0,234.49,1010.22,1414.29,32.3,68.79,79.1,86.21,87.45,3.285601,99,32.3,55.31,59.46,-25.26,-16.59,1.3864,99
21-09-2025,NSE:BGRENERGY,BE,1908.53,5.47,4.9,264.48,5.00,11.79,20.68,43.46,62.27,69.35,72.18,82.4,0,0,-1,0,-1,-1,-0.25,-0.25,-0.25,173.19,257.02,659.35,42,60.37,57.3,70.52,84.45,2.045296,99,42,32.83,8.42,21.02,40.5,1.230384,99
21-09-2025,NSE:IZMO,BE,1573.96,6.22,6.99,1056.85,5.00,21.64,29.05,61.39,67.11,74.93,41.4,55.28,159,0,0,0,-1,-1,0,0,0,195.29,303.99,337.17,59.93,65.21,62.88,39.74,57.33,1.839907,99,59.93,14.37,13.41,-121.92,27.47,1.220322,99
21-09-2025,NSE:APOLLO,EQ,11453.5,326.13,7.92,343.9,0.06,6.27,11.4,41.02,43.43,65.73,71.91,67.57,72.83,0,-1,0,-1,-1,0,0,0,102.37,217.98,277,39.56,41.53,53.68,70.25,69.62,1.703296,99,39.56,3.64,29.07,29.83,-11.66,1.157784,99
21-09-2025,NSE:CUPID,EQ,5758.62,38.48,4.99,214.59,3.62,7.58,18.35,22.26,56.7,70.69,62.57,60.39,0,0,-1,-1,0,-1,0,0,0,131.81,273.2,273.2,20.8,54.8,58.64,60.91,62.44,1.644383,99,20.8,43.86,21.96,-15.91,-2.03,1.153242,99
21-09-2025,NSE:UNITEDPOLY,BE,920.36,1.56,0.28,40.1,1.98,9.38,17.86,10.02,54.21,63,60.04,74.43,0,0,0,-1,0,-1,-4.64,-4.64,-4.64,114.32,182.02,297.74,8.56,52.31,50.95,58.38,76.48,1.634196,99,8.56,48.67,8.84,3.81,39.78,1.190423,99
21-09-2025,NSE:NACLIND,BE,4769.74,2.29,5.19,236.55,1.24,-6.72,-11.65,-8.86,24.89,57.65,75.4,76.29,0,0,-1,-1,-1,-1,-26.83,-26.83,-26.83,32.74,137.74,374.52,-10.32,22.99,45.6,73.74,78.34,1.633418,99,-10.32,30.56,33.27,53.71,7.41,1.179003,99
21-09-2025,NSE:MEGASOFT,EQ,1156.64,2.47,5.47,156.54,4.76,-0.47,8.6,21.59,45.43,65.22,51.04,63.42,0,0,-1,0,-1,-1,-3.47,-3.47,-3.47,74.52,219.08,219.08,20.13,43.53,53.17,49.38,65.47,1.499435,99,20.13,29.96,25.91,-28.95,29.07,1.138237,99
21-09-2025,NSE:DPEL,ST,598.16,1.46,4.73,239.75,-2.14,4.28,39.96,41.98,42.5,57.46,46.61,65.61,57.82,8.67,0,-1,-1,-1,-3.89,-3.89,-3.89,93.89,96.76,253.09,40.52,40.6,45.41,44.95,67.66,1.496209,99,40.52,0.46,15.66,-13.69,39.37,1.145379,99
21-09-2025,NSE:SMLISUZU,EQ,5400.82,1.01,4.86,3742.8,2.37,0.17,-0.6,-12.3,51.3,69.4,59.1,47.17,0,0,-1,-1,-1,-1,-20.31,-20.31,-20.31,112.99,201.33,254.5,-13.76,49.4,57.35,57.44,49.22,1.485739,99,-13.76,56.2,26.81,-21.87,-25.39,1.161731,99
21-09-2025,NSE:GABRIEL,EQ,18961,6.54,4.76,1282.7,2.84,4.01,6.31,7.52,53.75,55.4,59.51,58.32,0,0,-1,-1,0,-1,-2.62,-2.62,-2.62,116.6,147.51,222.89,6.06,51.85,43.35,57.85,60.37,1.473767,99,6.06,49.55,-6.78,21.01,0.84,1.144482,99
21-09-2025,NSE:JSLL,EQ,10165.31,2.67,4.39,816.2,-0.60,3.38,5.62,11.25,47.71,58.77,43.17,66.69,0,0,0,0,-1,-1,-2.6,-2.6,-2.6,93.05,145.59,202.52,9.79,45.81,46.72,41.51,68.74,1.447742,99,9.79,40.64,10.81,-26.04,45.16,1.154783,99
21-09-2025,NSE:AXISCADES,EQ,7194,1.32,5.17,1683.8,0.44,6.23,14.67,30.03,16.71,45.65,64.7,66.75,0,0,0,-1,-1,-1,-0.23,-0.23,-0.23,42.91,123.17,291.4,28.57,14.81,33.6,63.04,68.8,1.439763,99,28.57,-19.48,24.4,46.85,9.61,1.131486,99
21-09-2025,NSE:FORCEMOT,EQ,24501.88,1.32,5.5,18589,-1.86,1.07,4.65,-10.9,23.28,59.85,63.5,62,0,0,-1,-1,-1,6,-15.11,-15.11,-15.11,35.51,134.41,199.36,-12.36,21.38,47.8,61.84,64.05,1.407815,99,-12.36,30.38,37.32,20.89,-0.34,1.128287,98
21-09-2025,NSE:BANCOINDIA,EQ,11867.8,20.29,5.46,835.6,4.16,26.03,27.15,29.3,31.83,59.62,34.09,59.94,36.95,7.87,-1,-1,-1,-1,0,0,0,55.63,161.53,171.08,27.84,29.93,47.57,32.43,61.99,1.374545,99,27.84,3.14,30.41,-51.4,43.01,1.13056,99
21-09-2025,NSE:TFCILTD,EQ,3342.7,82.12,2.92,72.4,-0.49,-0.64,4.41,13.8,35.58,60.91,50.26,50.64,0,0,0,0,-1,-1,-0.63,-0.63,-0.63,57.62,158.85,182.53,12.34,33.68,48.86,48.6,52.69,1.368514,99,12.34,24.83,28.97,-15.45,4.54,1.100216,98
21-09-2025,NSE:STALLION,EQ,1550.81,26.06,7.32,196.64,-0.98,-4.56,3.83,22.07,62.37,61.64,NA,NA,0,0,-1,0,-1,-1,-5.27,-5.27,NA,161.77,207.2,NA,20.61,60.47,49.59,0,0,1.361037,99,20.61,51.27,-12.3,111.8,3.78,1.166962,99
21-09-2025,NSE:KRISHANA,EQ,3386.3,1.49,3.91,546.9,-2.44,-1.16,-3.49,-6.62,6.88,57.14,62.61,54.8,0,0,-1,-1,0,-1,-9.15,-9.15,-9.15,31.09,146.2,202.37,-8.08,4.98,45.09,60.95,56.85,1.333954,98,-8.08,12.23,43.63,24.56,-17.13,1.112215,98
21-09-2025,NSE:POCL,EQ,3965.47,5.39,5.73,1325.4,3.47,4.66,5.13,20.42,46.84,61.62,31.18,20.4,0,0,0,-1,0,-1,0,0,0,88.87,144.09,167.6,18.96,44.94,49.57,29.52,22.45,1.320128,98,18.96,32.77,17.45,-67.51,-11.89,1.078456,96
21-09-2025,NSE:ROSSTECH,EQ,2860.03,2.16,5.35,750.45,0.59,0.61,4.7,8.55,46.51,67.05,31.34,NA,0,0,-1,0,-1,-1,0,0,NA,88.32,189.08,NA,7.09,44.61,55,29.68,0,1.317035,98,7.09,41.07,28.05,-96.59,103.78,1.108843,98
21-09-2025,NSE:KHAICHEM,EQ,1240.49,4.92,5.59,128.79,0.79,-0.3,2.9,16.74,34.05,62.1,40.45,36.56,24.98,0,-1,-1,-1,2,-2.63,-2.63,-2.63,54.65,178.95,178.95,15.28,32.15,50.05,38.79,38.61,1.314346,98,15.28,20.35,32.19,-45.34,-2.75,1.085705,96
21-09-2025,NSE:VIMTALABS,EQ,3674.62,36.09,6.64,825.05,4.36,5.83,-6.32,14.27,42.12,33.06,39.76,61.1,0,0,-1,-1,-1,-1,-5.95,-5.95,-5.95,88.28,93.44,219.91,12.81,40.22,21.01,38.1,63.15,1.309285,98,12.81,32.05,-26,21.81,39.2,1.119379,98
