Date,Symbol,Series,Mkt Cap (₹ Crore),AVOL(20),ADR(20),CMP,Change_1D,Change_1W,Change_10D,Change_1M,Change_3M,Change_6M,Change_9M,Change_12M,Momo_1M,HighMomo_10D,Gap_10D,6EMA_10D,10EMA_20D,21EMA_40D,50SMA_100D,Below_3M,Below_6M,Below_12M,Above_3M,Above_6M,Above_12M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (CNX500),RS_score,NRS_1M,NRS_3M,NRS_6M,NRS_9M,NRS_12M,Total_NRS (CNX500),NRS_score
22-09-2025,NSE:BGRENERGY,BE,1669.39,5.13,5.24,257.31,-2.71,4.8,14.4,36.08,60.15,67.87,69.98,81.54,0,0,-1,-1,-1,-1,-1,-6.19,-6.19,-6.19,156.95,235.79,614.18,35.35,58.84,57.39,68.38,84.39,1.952395,98,35.04,37.06,10.1,16.48,43.04,1.22036,98
22-09-2025,NSE:IZMO,BE,1240.58,3.61,6.7,1109.65,5.00,21.64,29.05,55.87,67.11,75.64,46.65,57.66,126.62,0,-1,3,-1,-1,-1,0,0,0,221.32,339.6,375.7,55.14,65.8,65.16,45.05,60.51,1.838336,94,54.83,24.88,16.65,-109.1,25.16,1.203729,94
22-09-2025,NSE:ADANIPOWER,EQ,276195.4,680.96,4.53,170.25,20.00,24.33,25.54,29.96,36.8,38.8,38.78,21.72,0,12.36,7.07,-1,-1,-1,-1,-4.17,-4.17,-4.17,46.45,63.85,86.39,29.23,35.49,28.32,37.18,24.57,1.240825,90,28.92,9.17,-6.13,9.89,-23.34,1.053608,87
22-09-2025,NSE:GODFRYPHLP,EQ,53241.77,16.99,5.37,3453,-2.04,1.26,-2.88,-7.53,22.96,41.22,45.29,25.3,0,0,-1,-1,-1,-1,12,-9.7,-9.7,-9.7,22.01,63.37,137.56,-8.26,21.65,30.74,43.69,28.15,1.171546,87,-8.57,27.76,14.42,16.85,-32.02,1.054467,90
22-09-2025,NSE:MARUTI,EQ,35000,5.53,1.81,15816,-0.30,3.48,3.53,9.71,19.71,26.56,30.43,22.57,0,0,-1,2,-1,-1,-1,0,0,0,31.52,42.81,50.7,8.98,18.4,16.08,28.83,25.42,1.120449,83,8.67,10.48,-0.76,15.2,-6.78,1.034553,79
22-09-2025,NSE:BAJFINANCE,EQ,45000,73.07,1.97,1006.5,1.42,-0.33,6.18,11.02,9.04,13.25,29.71,26.82,0,0,-1,-1,-1,-1,-1,0,0,0,19.53,19.53,57.69,10.29,7.73,2.77,28.11,29.67,1.090686,79,9.98,-2.81,-4.67,28.9,0.41,1.034659,83
22-09-2025,NSE:BHARTIARTL,EQ,65000,44.23,1.4,1956.2,-0.32,2.64,3.5,1.34,1.02,16.31,18.11,15.05,0,0,-1,-1,-1,-1,-1,-4.61,-4.61,-4.61,4.86,15.03,27.21,0.61,-0.29,5.83,16.51,17.9,1.038349,75,0.3,-0.92,6.16,12.07,0.78,1.016623,75
22-09-2025,NSE:APOLLOHOSP,EQ,113079.44,2.83,1.37,7739,-0.86,-1,-0.61,-2.42,9.45,16.95,6.48,9.45,0,0,-1,-1,-1,-1,-1,-3.25,-3.25,-3.25,8.93,18.16,26.74,-3.15,8.14,6.47,4.88,12.3,1.027646,71,-3.46,11,-1.01,-2.68,7.69,1.014115,71
22-09-2025,NSE:ULTRACEMCO,EQ,29000,2.29,1.59,12650,1.14,1.7,-0.11,-1.74,9.49,13.57,7,7.94,0,0,-1,-1,-1,-1,-1,-3.73,-3.73,-3.73,5.63,12.91,22.37,-2.47,8.18,3.09,5.4,10.79,1.023643,67,-2.78,10.45,-4.79,2.32,5.53,1.012208,63
22-09-2025,NSE:SBIN,EQ,65000,69.52,1.21,855.25,-0.82,3.57,5.43,3.46,7.61,12.88,2,8.46,0,0,-1,-1,-1,-1,-1,-0.88,-0.88,-1.47,7.65,15.16,24.09,2.73,6.3,2.4,0.4,11.31,1.022303,63,2.42,3.71,-3.58,-2.57,11.11,1.011084,60
