Date,Symbol,Security Name,Mkt Cap (Millions),AVOL(20),ADR(20),CMP,Change_1D,Change_1W,Change_10D,Change_1M,Change_3M,Change_6M,Change_9M,Change_12M,Momo_10D,Momo_1M,Momo_3M,Momo_6M,Momo_12M,Gap_10D,6EMA_10D,10EMA_20D,21EMA_40D,50SMA_100D,Below_3M,Below_6M,Below_12M,Above_3M,Above_6M,Above_12M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (NDX),RS_score,NC_1M,NC_3M,NC_6M,NC_9M,NC_12M,NRS_1M,NRS_3M,NRS_6M,NRS_9M,NRS_12M,Total_NRS (NDX),NRS_score
24-09-2025,NASDAQ:QMMM,QMMM Holdings Limited - Class A Ordinary Shares,1635,2253816,217.63,95,-12.84,-11.20,-15.26,95.17,98.69,98.97,99.33,94.31,0,0,0,2,HV2Y,-1,-1,-1,-1,-1,-54.11,-54.11,-54.11,7561.29,14470.55,16189.44,90.77,88.97,81.07,85.62,75.02,33.109706,99,95.17,72.98,20.97,34.59,-743.99,90.77,67.42,11.91,39.69,-750.45,13.27828,99
24-09-2025,NASDAQ:RGC,Regencell Bioscience Holdings Limited - Ordinary Shares,7210,283284,7.58,14.58,-1.15,-7.00,8.71,15.78,-49.04,92.33,99.06,98.87,0,0,0,HV2Y,HV2Y,-1,-1,-1,-1,-1,-36.58,-81.31,-81.31,40.73,2254.61,15375.97,11.38,-58.76,74.43,85.35,79.58,16.590395,99,15.78,-76.95,94.85,87.69,-20.17,11.38,-82.51,85.79,92.79,-26.63,0.828642,1
24-09-2025,NYSE:ZEPP,"Zepp Health Corporation American depositary shares, each representing sixteen Class A ordinary shares",717,394436,10.77,47.23,-5.31,-0.87,-9.68,16.81,94.66,93.18,94.09,93.01,0,0,HV2Y,0,HV2Y,-1,-1,-1,7,-1,-12,-12,-12,1774.21,2071.49,2071.49,12.41,84.94,75.28,80.38,73.72,6.383471,99,16.81,93.59,-27.78,13.35,-18.28,12.41,88.03,-36.84,18.45,-24.74,3.234067,99
24-09-2025,NASDAQ:DFDV,DeFi Development Corp. - Common Stock,392,2700454,8.54,15.34,1.52,-16.75,-4.50,-2.28,-22.95,95.64,95.31,95.44,0,0,0,HV2Y,HV2Y,-1,-1,-1,-1,-1,-49.47,-63.91,-63.91,13.97,2584.5,2729.72,-6.68,-32.67,77.74,81.6,76.15,5.831001,99,-2.28,-20.20,96.46,-7.69,2.81,-6.68,-25.76,87.4,-2.59,-3.65,0.884458,1
24-09-2025,NASDAQ:RGTI,"Rigetti Computing, Inc.  - Common stock",10257,65434151,9.82,31.64,0.57,30.50,48.83,54.27,64.95,68.96,76.39,97.49,2,0,0,HV2Y,HV2Y,-1,2,-1,-1,-1,0,0,0,185.82,321.87,4174.52,49.87,55.23,51.06,62.68,78.2,4.458877,99,54.27,23.36,11.45,23.93,89.37,49.87,17.8,2.39,29.03,82.91,1.268128,98
24-09-2025,NASDAQ:ABVX,Abivax SA - American Depositary Shares,6276,1051033,4.43,82.02,-0.23,-0.32,-8.81,5.78,91.89,91.01,90.49,85.92,0,0,HV2Y,0,0,-1,-1,-1,7,-1,-8.87,-8.87,-8.87,1133.38,1486.46,1486.46,1.38,82.17,73.11,76.78,66.63,4.299395,99,5.78,91.39,-10.83,-5.83,-48.08,1.38,85.83,-19.89,-0.73,-54.54,2.448323,99
24-09-2025,AMEX:BMNR,"BitMine Immersion Technologies, Inc. Common Stock",9008,48297312,8.69,51.92,-4.72,-9.92,12.17,4.47,91.58,87.56,92.30,77.66,0,0,HV2Y,HV2Y,HV2Y,-1,-1,-1,-1,-1,-61.54,-61.54,-61.54,1117.35,1117.35,2496,0.07,81.86,69.66,78.59,58.37,4.009455,99,4.47,91.19,-47.84,38.09,-190.00,0.07,85.63,-56.9,43.19,-196.46,2.489844,99
24-09-2025,NASDAQ:OPEN,Opendoor Technologies Inc  - Common Stock,6057,395636192,17.34,8.23,16.08,-24.06,28.80,44.84,93.78,85.42,79.77,74.73,0,0,HV2Y,0,HV2Y,-1,-1,-1,-1,-1,-21.77,-21.77,-21.77,1506.79,1506.79,1506.79,40.44,84.06,67.52,66.06,55.44,3.798131,99,44.84,88.72,-134.28,-38.75,-24.92,40.44,83.16,-143.34,-33.65,-31.38,3.121137,99
24-09-2025,NASDAQ:SUPX,Super X AI Technology Limited - Ordinary Shares,1477,231746,18.6,54.91,-0.69,6.06,-17.12,-5.99,82.06,84.47,93.13,90.64,0,0,HVQ,2,2,-1,-1,-1,-1,-1,-19.25,-19.25,-19.25,457.46,560.3,1589.43,-10.39,72.34,66.57,79.42,71.35,3.694609,99,-5.99,83.08,13.40,55.80,-36.34,-10.39,77.52,4.34,60.9,-42.8,1.514935,99
24-09-2025,NYSE:QBTS,D-Wave Quantum Inc. Common Shares,9481,49133143,8.33,27.72,0.73,18.69,42.14,45.82,48.85,68.33,77.02,96.65,HVQ,0,0,HV2Y,HV2Y,-1,3,-1,-1,-1,0,0,0,97.72,345.66,3003.8,41.42,39.13,50.43,63.31,77.36,3.61999,99,45.82,5.59,38.08,27.45,85.44,41.42,0.03,29.02,32.55,78.98,1.09172,89
