Date,Symbol,Series,Mkt Cap (₹ Crore),AVOL(20),ADR(20),CMP,Change_1D,Change_1W,Change_10D,Change_1M,Change_3M,Change_6M,Change_9M,Change_12M,Momo_10D,Momo_1M,Momo_3M,Momo_6M,Momo_12M,Gap_10D,6EMA_10D,10EMA_20D,21EMA_40D,50SMA_100D,Below_3M,Below_6M,Below_12M,Above_3M,Above_6M,Above_12M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (CNX500),RS_score,NRS_1M,NRS_3M,NRS_6M,NRS_9M,NRS_12M,Total_NRS (CNX500),NRS_score
24-09-2025,NSE:IZMO,BE,1240.58,2.1,6.16,1223.35,5.00,21.64,35.8,47.17,70.56,77.01,51.73,62.59,0,HV2Y,HV2Y,HV2Y,HV2Y,-1,3,0,-1,-1,0,0,0,241.81,367.64,406.04,46.63,71.07,68.79,48.02,65.51,1.906258,98,46.63,45.34,13.23,-105.1,29.38,1.212933,98
24-09-2025,NSE:BGRENERGY,BE,1669.39,5.27,5.25,232.8,-5.00,-13.9,6.11,22.11,56.34,63.85,63.42,78.78,0,0,HVQ,2,2,-1,-1,4,-1,-1,-12.2,-12.2,-12.2,140.47,214.25,568.39,21.57,56.85,55.63,59.71,81.7,1.765427,94,21.57,45.01,8.52,3.72,48.88,1.206437,94
24-09-2025,NSE:GODFRYPHLP,EQ,53241.77,17.21,5.4,3408,1.79,-4.78,-5.51,-6.44,19.01,38.78,47.93,23.93,0,0,0,0,HV2Y,-1,-1,-1,-1,13,-8.21,-8.21,-8.21,24.01,66.05,141.45,-6.98,19.52,30.56,44.22,26.85,1.170675,90,-6.98,24.97,15.73,19.85,-39.21,1.052984,90
24-09-2025,NSE:MARUTI,EQ,35000,5.62,1.75,16249,0.94,2.76,7.02,11.06,21.43,27.79,32.91,23.99,0,0,HVQ,0,0,-1,2,2,-1,-1,0,0,0,32.08,43.42,51.34,10.52,21.94,19.57,29.2,26.91,1.139512,87,10.52,12.72,-0.58,12,-6.43,1.038902,87
24-09-2025,NSE:ADANIPOWER,EQ,276195.4,789.97,5.17,144.5,-10.99,12.73,12.19,16.17,22.91,27.74,31.09,10.09,HV2Y,HV2Y,HV2Y,HV2Y,HV2Y,7.07,-1,-1,-1,-1,-15.12,-15.12,-15.12,27.43,45.12,65.09,15.63,23.42,19.52,27.38,13.01,1.132399,83,15.63,9.09,-2.41,9.55,-23.59,1.02889,79
24-09-2025,NSE:BAJFINANCE,EQ,45000,77.1,1.93,1029.75,0.41,2.16,6,12.52,9.88,13.41,33.5,26.29,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,20.72,20.72,59.26,11.98,10.39,5.19,29.79,29.21,1.105887,79,11.98,-1.96,-4.76,28.1,-3.96,1.038169,83
24-09-2025,NSE:SBIN,EQ,65000,79.16,1.35,866.2,-0.51,1.04,5.54,5.74,7.64,13.05,6.26,8.8,0,0,0,0,0,-1,3,-1,-1,-1,-0.51,-0.51,-0.51,9.09,16.71,25.75,5.2,8.15,4.83,2.55,11.72,1.034719,75,5.2,3.07,-2.82,-2.9,9.6,1.012627,67
24-09-2025,NSE:BHARTIARTL,EQ,65000,45.74,1.38,1931.1,-0.39,-0.53,2.06,0.02,-1.79,10.63,18.28,13.79,0,0,0,0,0,-1,-1,-1,-1,-1,-5.05,-5.05,-5.05,4.37,14.49,26.62,-0.52,-1.28,2.41,14.57,16.71,1.030407,71,-0.52,-0.75,3.52,13.47,1.38,1.015497,75
24-09-2025,NSE:APOLLOHOSP,EQ,113079.44,2.8,1.36,7643.5,-0.53,-3.2,-3.74,-2.71,7.87,13.5,5.13,8.02,0,0,HVQ,0,0,-1,-1,-1,-1,-1,-3.6,-3.6,-3.6,7.89,17.74,26.28,-3.25,8.38,5.28,1.42,10.94,1.022967,67,-3.25,11.36,-2.57,-4.77,9.93,1.012639,71
24-09-2025,NSE:HINDUNILVR,EQ,60000,14.69,1.81,2549.5,1.08,-0.79,-3.69,-3.22,10.62,11.9,8.46,-14.21,0,0,0,0,0,-1,-1,-1,-1,-1,-5.31,-5.31,-15.82,11.78,14.13,18.18,-3.76,11.13,3.68,4.75,-11.29,1.012287,63,-3.76,14.47,-7.25,1.01,-17.88,0.999785,44
