Date,Symbol,Series,Mkt Cap (₹ Crores),AVOL(20),ADR(20),CMP,Change_1D,Change_1W,Change_10D,Change_1M,Change_3M,Change_6M,Change_9M,Change_12M,Momo_10D,Momo_1M,Momo_3M,Momo_6M,Momo_12M,Gap_10D,6EMA_10D,10EMA_20D,21EMA_40D,50SMA_100D,Below_3M,Below_6M,Below_12M,Above_3M,Above_6M,Above_12M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (CNX500),RS_score,NRS_1M,NRS_3M,NRS_6M,NRS_9M,NRS_12M,Total_NRS (CNX500),NRS_score
25-09-2025,NSE:MVKAGRO,ST,683.42,1.18,1.48,468.15,1.99,9.4,17.88,31.1,68.92,89.49,91.58,89.05,0,0,0,HVY,HV2Y,-1,1,0,-1,-1,0,0,0,215.49,948.3,1376.04,31.23,70.11,81.9,88.53,92.66,3.608053,99,30.56,55.95,57.51,24.83,-23.2,1.385926,99
25-09-2025,NSE:POLYSIL,ST,500.96,1.71,1.32,236.15,1.99,9.38,17.87,33.77,70.7,91.17,88.02,86.45,0,0,0,HV2Y,HV2Y,-1,0,0,-1,-1,0,0,0,234.75,1012.47,1538.44,33.9,71.89,83.58,84.97,90.06,3.359321,99,33.23,56.81,61.19,-30.82,-6.19,1.394173,99
25-09-2025,NSE:IZMO,BE,1573.96,1.28,5.51,1223.35,5.00,21.64,35.8,47.17,70.56,77.01,51.73,62.59,0,HV2Y,HV2Y,0,HV2Y,-1,3,0,-1,-1,0,0,0,258.9,391.02,431.33,47.3,71.75,69.42,48.68,66.2,1.906258,99,46.63,45.34,13.23,-105.1,29.38,1.212933,99
25-09-2025,NSE:UNITEDPOLY,BE,920.36,1.29,0.47,46.41,5.00,16.94,24.71,26.87,58.09,68.23,65.2,75.97,0,0,HVQ,2,HV2Y,-1,0,-1,-1,-1,0,0,0,147.99,226.63,362.6,27,59.28,60.64,62.15,79.58,1.791854,99,26.33,43.75,15.52,-4.63,37.83,1.194448,99
25-09-2025,NSE:BGRENERGY,BE,1908.53,5.42,5.71,232.8,-5.00,-13.9,6.11,22.11,56.34,63.85,63.42,78.78,0,HVQ,HVQ,0,2,-1,-1,4,-1,-1,-13.35,-13.35,-13.35,137.33,210.15,559.66,22.24,57.53,56.26,60.37,82.39,1.765427,99,21.57,45.01,8.52,3.72,48.88,1.206437,99
25-09-2025,NSE:APOLLO,EQ,11453.5,244.92,6.9,341.55,0.98,0.48,17.11,26.59,42.21,63.35,72.43,68.96,0,HV2Y,HV2Y,HV2Y,HV2Y,-1,-1,5,-1,-1,-0.64,-0.64,-0.64,101.07,215.95,274.59,26.72,43.4,55.76,69.38,72.57,1.669129,99,26.05,22.34,27.9,29.7,-5.73,1.151391,99
25-09-2025,NSE:CUPID,EQ,5758.62,39.19,5.21,221.93,0.83,5.97,8.67,22.57,53.3,70.22,64.89,61.91,0,0,HV2Y,HV2Y,0,-1,4,19,-1,-1,-1.65,-1.65,-1.65,103.98,279.58,279.58,22.7,54.49,62.63,61.84,65.52,1.653931,99,22.03,40.75,27.56,-12.99,-1.6,1.150671,99
25-09-2025,NSE:NACLIND,BE,4769.74,2.13,5.33,219.6,-2.25,-10.66,-16.51,-22.79,14.09,53.71,72.42,74.86,0,0,0,HV2Y,HV2Y,-1,-1,-1,-1,-1,-28.72,-28.72,-28.72,10.8,131.61,362.29,-22.66,15.28,46.12,69.37,78.47,1.53784,99,-23.33,31.1,37.43,45.33,15.73,1.173429,99
25-09-2025,NSE:MEGASOFT,EQ,1156.64,2.91,5.4,165.47,-2.64,8.13,2.82,15.78,42.81,67.37,48.49,61.9,0,0,0,2,2,-1,-1,9,-1,-1,-2.52,-2.52,-2.52,69.96,237.71,237.71,15.91,44,59.78,45.44,65.51,1.488248,99,15.24,33.16,34.26,-52.92,32.9,1.144072,99
25-09-2025,NSE:GABRIEL,EQ,18961,6.33,4.69,1285.7,-0.29,-2,1.77,11.7,50.43,54.18,61.96,59.37,0,0,0,HV2Y,HV2Y,-1,-1,-1,2,-1,-4.79,-4.79,-4.79,87.54,141.99,215.7,11.83,51.62,46.59,58.91,62.98,1.485748,99,11.16,44.93,-1.12,21.89,0.08,1.135913,99
