Date,Symbol,Series,Mkt Cap (₹ Crores),AVOL(20),ADR(20),CMP,Change_1D,Change_1W,Change_10D,Change_1M,Change_3M,Change_6M,Change_9M,Change_12M,Momo_10D,Momo_1M,Momo_3M,Momo_6M,Momo_9M,Momo_12M,Gap_10D,6EMA_10D,10EMA_20D,21EMA_40D,50SMA_100D,Below_3M,Below_6M,Below_12M,Above_3M,Above_6M,Above_12M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (CNX500),RS_score,NRS_1M,NRS_3M,NRS_6M,NRS_9M,NRS_12M,Total_NRS (CNX500),NRS_score
26-09-2025,NSE:MVKAGRO,ST,683.42,1.19,1.48,487.05,2.00,9.41,17.92,31.11,68.93,90.14,91.56,89.56,0,0,0,HV2Q,HVQ,HVQ,-1,0,0,-1,-1,0,0,0,215.55,969.26,1405.56,30.35,72.92,84.52,90.19,96.9,3.736364,99,30.35,59.67,59.05,18.87,-14.9,1.405283,99
26-09-2025,NSE:POLYSIL,ST,500.96,1.72,1.4,245.65,1.99,9.38,17.87,33.79,70.71,91.19,87.87,86.99,0,0,0,HV2Y,HV2Y,0,-1,0,0,-1,-1,0,0,0,234.9,1014.06,1571.09,33.03,74.7,85.57,86.5,94.33,3.415031,99,33.03,60.54,60.67,-33.14,1.61,1.403674,99
26-09-2025,NSE:IZMO,BE,1573.96,1.41,5.7,1348.7,5.00,21.64,38.6,47.65,73.44,78.95,58,67.08,0,HV2Y,HV2Y,0,HV2Y,HV2Y,-1,1,0,-1,-1,0,0,0,276.84,415.56,457.89,46.89,77.43,73.33,56.63,74.42,2.066552,99,46.89,54.05,11.5,-95.04,30.45,1.242196,99
26-09-2025,NSE:UNITEDPOLY,BE,920.36,1.77,1,49.63,1.85,19.2,26.78,34.33,60.41,68.66,68.16,74.41,0,0,HV2Q,HV2Q,HV2Y,HV2Y,-1,0,-1,-1,-1,0,0,0,148.9,232.66,371.14,33.57,64.4,63.04,66.79,81.75,1.858015,99,33.57,44.49,11.61,2.91,28.45,1.194477,99
26-09-2025,NSE:BGRENERGY,BE,1908.53,5.35,5.47,225.02,-2.06,-17.54,-3.68,27.28,54.86,61.11,58.28,77.17,0,HV2Q,HV2Q,0,HVQ,HV2Y,-1,-1,-1,4,-1,-15.13,-15.13,-15.13,132.43,203.75,546.05,26.52,58.85,55.49,56.91,84.51,1.716477,99,26.52,42.71,4.61,-2.79,54.1,1.200302,99
26-09-2025,NSE:APOLLO,EQ,11453.5,221.82,6.61,324.65,-4.99,-5.93,0.71,25.31,40.62,63.18,70.72,66.75,0,EEP,EEP,EEP,EEP,0,-1,-1,6,-1,-1,-5.6,-5.6,-5.6,91.04,200.18,255.9,24.55,44.61,57.56,69.35,74.09,1.644105,99,24.55,25.27,28.76,24.97,-4.74,1.148318,99
26-09-2025,NSE:CUPID,EQ,5758.62,38.84,5.32,215.52,-1.26,0.43,7.98,20.2,50.35,69.82,64.46,59.86,0,0,HV2Y,HV2Q,HV2Q,0,-1,-1,20,-1,-1,-2.89,-2.89,-2.89,101.31,274.82,274.82,19.44,54.34,64.2,63.09,67.2,1.63555,99,19.44,42.57,29.97,-13.27,-4.13,1.148752,99
26-09-2025,NSE:NACLIND,BE,4769.74,2.04,5.32,220.7,-4.23,-7.18,-14.39,-23.33,5.76,54.5,72.29,74.81,0,0,0,HV2Y,HV2Y,HV2Y,-1,-1,-1,-1,-1,-31.74,-31.74,-31.74,1.07,121.81,342.73,-24.09,9.75,48.88,70.92,82.15,1.543773,99,-24.09,28.37,42.48,43.6,17.9,1.17907,99
26-09-2025,NSE:INDOTHAI,EQ,2502.25,10.39,6.67,258.52,4.12,18.48,22.81,38.13,30.6,24.23,57.16,73.04,2,HV2Q,0,HVQ,HVQ,HVQ,-1,3,-1,-1,-1,0,0,0,74.75,74.75,263.7,37.37,34.59,18.61,55.79,80.38,1.48392,99,37.37,-7.39,-18.43,47.96,45.89,1.174266,99
26-09-2025,NSE:GABRIEL,EQ,18961,6.26,4.77,1237.7,-1.31,-3.64,0.52,8.39,45.97,53.26,61.17,57.47,0,0,0,EEP,EEP,EEP,-1,-1,-1,16,-1,-6.04,-6.04,-6.04,76.24,138.82,211.57,7.63,49.96,47.64,59.8,64.81,1.46039,99,7.63,45.81,4.24,21.42,-0.7,1.129779,99
26-09-2025,NSE:DPEL,ST,598.16,1.54,5.18,238,-2.02,-0.74,3.57,42.65,43.17,47.86,38.68,63.72,HV2Q,HVQ,0,HVQ,0,0,-1,-1,-1,-1,-1,-4.59,-4.59,-4.59,92.48,94.44,250.52,41.89,47.16,42.24,37.31,71.06,1.458852,99,41.89,5.7,-1,-13.11,49.66,1.147169,99
26-09-2025,NSE:JSLL,EQ,10165.31,2.61,4.35,802.9,-1.73,-1.66,1.77,13.47,47.15,52.1,43.74,63.72,0,EEP,EEP,0,EEP,EEP,-1,-1,7,-1,-1,-4.18,-4.18,-4.18,88.3,110.92,167.57,12.71,51.14,46.48,42.37,71.06,1.429578,99,12.71,43.71,0.11,-12.95,44.34,1.142998,99
26-09-2025,NSE:TFCILTD,EQ,3342.7,82.53,2.39,72.6,-0.21,0.28,-0.36,16.01,34.95,61.47,56.67,51.87,0,0,EEP,EEP,EEP,EEP,-1,-1,6,-1,-1,-0.41,-0.41,-0.41,54.47,118.91,183.31,15.25,38.94,55.85,55.3,59.21,1.429527,99,15.25,27.33,31.54,-7.96,-2.28,1.109603,98
26-09-2025,NSE:MEGASOFT,EQ,1156.64,3.06,5.56,157.58,-4.89,0.66,0.19,10.88,33.84,67.04,40.37,58.97,0,0,0,HVQ,HV2Q,HV2Y,-1,-1,-1,3,-1,-7.28,-7.28,-7.28,61.65,221.2,221.2,10.12,37.83,61.42,39,66.31,1.42785,99,10.12,30.54,40.94,-76.4,40,1.148167,99
26-09-2025,NSE:AXISCADES,EQ,7194,1.55,5.11,1640.4,-1.98,-2.65,3.75,22.01,13.05,44.03,61.72,64.53,0,0,0,EEP,EEP,EEP,-1,-1,-1,-1,26,-7.03,-7.03,-7.03,39.23,117.42,281.31,21.25,17.04,38.41,60.35,71.87,1.403994,99,21.25,-6.7,26.39,36.09,16.18,1.123609,98
26-09-2025,NSE:STALLION,EQ,1550.81,26.73,7.7,202.05,-3.86,2.68,-1.76,26.27,61.15,64.15,NA,NA,0,HV2Y,HVQ,0,0,0,-1,-1,6,-1,-1,-7.05,-7.05,NA,145.15,215.65,NA,25.51,65.14,58.53,0,0,1.401401,99,25.51,52.09,-1.52,104.5,8.82,1.170748,99
26-09-2025,NSE:NETWEB,EQ,18537.15,39.38,7.16,3695.4,2.27,11.26,21.42,39.39,51.03,56.6,27.03,29.2,EEP,EEP,EEP,EEP,EEP,EEP,-1,-1,5,-1,-1,0,0,0,106.18,161.83,175.65,38.63,55.02,50.98,25.66,36.54,1.392541,99,38.63,23.98,2.13,-63.64,11.8,1.095271,97
26-09-2025,NSE:BANCOINDIA,EQ,11867.8,23.48,5.85,829.4,0.03,-0.75,25.48,29.18,28.96,57.56,36.74,59.19,EEP,0,0,EEP,EEP,EEP,-1,-1,-1,-1,-1,-0.74,-0.74,-0.74,54.48,159.59,169.07,28.42,32.95,51.94,35.37,66.53,1.384253,99,28.42,4.47,31.02,-44.56,44.3,1.128965,99
26-09-2025,NSE:BALAJITELE,EQ,1491.27,2.7,6.64,132.6,-1.68,7.07,10.79,28.82,32.75,55.86,37.67,50.23,HVQ,0,0,0,HVQ,HV2Y,-1,4,-1,-1,-1,-3.16,-3.16,-3.16,52.68,130.41,159.49,28.06,36.74,50.24,36.3,57.57,1.354236,98,28.06,10.29,25.13,-36.71,28.97,1.103401,98
26-09-2025,NSE:FORCEMOT,EQ,24501.88,1.17,5.08,17372,-2.18,-7.01,-5.87,-11.59,16.53,49.72,61.68,58.71,0,0,HV2Y,HV2Y,HV2Y,HV2Y,-1,-1,-1,-1,11,-20.66,-20.66,-20.66,21.13,108.17,179.76,-12.35,20.52,44.1,60.31,66.05,1.349214,98,-12.35,29.98,30.52,28.28,1.06,1.115148,98
26-09-2025,NSE:LUMAXTECH,EQ,7584.59,2.44,5.94,1298.5,1.44,13.93,15.8,13.79,11.94,57.21,51.37,55.51,EEP,0,EEP,EEP,EEP,EEP,-1,-1,-1,-1,-1,0,0,0,30.9,173.37,173.37,13.03,15.93,51.59,50,62.85,1.343373,98,13.03,2.63,42.17,-9.14,17.33,1.112748,98
26-09-2025,NSE:KRISHANA,EQ,3386.3,1.28,3.81,530.45,-2.92,-3.1,-4.3,-9.61,3.6,55.87,61.9,54.41,0,0,0,HV2Q,HV2Q,HV2Y,-1,-1,-1,-1,7,-11.88,-11.88,-11.88,27.15,138.79,193.28,-10.37,7.59,50.25,60.53,61.75,1.33957,98,-10.37,16.83,44.98,18.16,-10.84,1.1177,98
26-09-2025,NSE:GMDCLTD,EQ,18189.6,149.76,6.96,589,-2.18,2.88,3.25,29.52,30.09,54.9,44.04,38.34,EEP,0,EEP,EEP,EEP,EEP,-1,-1,-1,-1,-1,-6.12,-6.12,-6.12,56.44,125.9,147.08,28.76,34.08,49.28,42.67,45.68,1.331608,98,28.76,5.59,26.25,-19.58,-1.36,1.083781,96
26-09-2025,NSE:ASHAPURMIN,EQ,5922.62,9.67,4.82,654.5,0.70,5.27,7.14,26.2,34.35,44.1,38.17,53.09,0,HV2Q,HV2Q,0,HV2Y,HVQ,-1,-1,4,-1,-1,-0.14,-0.14,-0.14,54.07,97.88,201.82,25.44,38.34,38.48,36.8,60.43,1.321091,98,25.44,15.83,5.61,-6.12,32.95,1.096867,97
26-09-2025,NSE:COMSYN,EQ,621.26,3.26,2.73,154.47,-1.67,-0.56,-0.09,13.25,11.99,52.09,47.02,58.46,0,HV2Y,0,HVQ,HV2Y,HV2Y,-1,-1,-1,-1,3,-1.67,-1.67,-1.67,23.18,113,180.45,12.49,15.98,46.47,45.65,65.8,1.317825,98,12.49,3.33,36.33,-6.09,30.41,1.109142,98
26-09-2025,NSE:JAYNECOIND,EQ,6758.15,229.71,5.23,68.88,-3.96,-1.02,3.96,14.53,44.51,53.12,41.59,26.25,0,0,HV2Y,HVQ,HV2Y,HVQ,-1,-1,-1,2,-1,-6.69,-6.69,-6.69,95.18,130.06,137.11,13.77,48.5,47.5,40.22,33.59,1.313044,98,13.77,39.86,6.28,-20.09,-17.45,1.078129,96
26-09-2025,NSE:MANGCHEFER,EQ,3650.27,4.48,4.19,314.9,-3.82,2.57,2.78,-10.5,14.39,51.92,50.32,59.5,0,0,EEP,0,EEP,EEP,-1,-1,-1,-1,-1,-13.54,-13.54,-13.54,19.14,106.95,152.45,-11.26,18.38,46.3,48.95,66.84,1.305754,98,-11.26,27.3,34.61,1.16,27.29,1.113284,98
