Date,Symbol,Series,Mkt Cap (₹ Crores),AVOL(50),ADR(20),ATR(20),CMP,Change_1D,Change_1W,Change_10D,Change_15D,Change_1M,Change_3M,Change_6M,Change_9M,Change_12M,Momo_10D,Momo_1M,Momo_3M,Momo_6M,Momo_9M,Momo_12M,Gap_10D,6EMA_10D,10EMA_20D,21EMA_40D,50SMA_100D,Below_1M,Below_3M,Below_6M,Below_12M,Above_3M,Above_6M,Above_12M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (CNX500),RS_score,NRS_1M,NRS_3M,NRS_6M,NRS_9M,NRS_12M,Total_NRS (CNX500),NRS_score
10-10-2025,NSE:MVKAGRO,ST,683.42,135672,0.97,10.23,548,-0.35,3.82,12.86,21.06,29.84,67.04,91.27,92.7,91.19,-1,-1,-1,HV2Q,HVQ,HVQ,-1,0,0,-1,-1,-0.35,-0.35,-0.35,-0.35,197.5,1103.07,1593.97,28.71,67.61,79.03,88.43,90.52,4.039268,99,28.71,54.74,60.76,25.5,-16.99,1.438309,99
10-10-2025,NSE:POLYSIL,ST,500.96,121280,1.16,5.4,278,-1.54,5.76,13.36,21.49,30.23,69.17,90.79,90.22,88.24,-1,-1,-1,HV2Y,HV2Y,-1,-1,0,0,-1,-1,-1.54,-1.54,-1.54,-1.54,218.08,965.13,1791.16,29.1,69.74,78.55,85.95,87.57,3.506031,99,29.1,57.53,57.39,2.84,-16.46,1.396811,99
10-10-2025,NSE:BGRENERGY,BE,1908.53,479769,4.59,15.45,335.58,5.00,21.64,31.53,24.94,34.87,69.37,77.01,66.58,85.71,-1,-1,HV2Q,-1,HVQ,HV2Y,-1,-1,-1,4,-1,0,0,0,0,246.64,353,863.48,33.74,69.94,64.77,62.31,85.04,2.228478,99,33.74,54.7,12.19,-36.26,60.99,1.307121,99
10-10-2025,NSE:AKIKO,ST,284.32,54336,4.16,13.73,258,0.98,2.31,-1.74,-6.1,20.6,68,67.05,68.6,68.84,-1,-1,HVQ,-1,-1,-1,-1,-1,-1,3,-1,-5.93,-5.93,-5.93,-5.93,279.13,279.13,279.41,19.47,68.57,54.81,64.33,68.17,1.801855,99,19.47,61.42,-15.71,13.8,4.5,1.217448,99
10-10-2025,NSE:CUPID,EQ,5758.62,4461913,4.73,9.96,246.26,2.48,12.8,11.37,15.9,17.7,55.49,75.58,68.03,67.51,-1,-1,HV2Y,HV2Q,HV2Q,-1,-1,-1,-1,3,-1,0,0,0,0,107.78,311.12,328.28,16.57,56.06,63.34,63.76,66.84,1.765014,99,16.57,47.64,32.4,-21.86,2.15,1.180695,99
10-10-2025,NSE:INDOTHAI,EQ,2502.25,770127,5.76,15.24,375.9,4.72,18.85,33.95,45.37,51.31,50.21,47.45,60.21,78.4,2,2,-1,-1,HVQ,HV2Y,-1,0,0,-1,-1,0,0,0,0,154.09,154.09,355.64,50.18,50.78,35.21,55.94,77.73,1.711782,99,50.18,-0.54,-18.28,33.37,49.48,1.213067,99
10-10-2025,NSE:UNITEDPOLY,BE,920.36,248109,3.38,2.21,44.34,-4.05,-3.86,-9.9,11.32,21.2,53.16,65.64,63.68,71.95,-1,-1,HV2Q,HV2Q,HV2Y,HV2Y,-1,-1,-1,13,-1,-10.66,-10.66,-10.66,-10.66,122.37,193.56,320.92,20.07,53.73,53.4,59.41,71.28,1.659677,99,20.07,42.28,13.91,3.37,26.53,1.165659,99
10-10-2025,NSE:IZMO,BE,1573.96,343692,4.66,68.3,1038.3,4.96,-5.82,-23.71,3.06,24.36,60.09,74.29,48.73,61.6,-1,-1,HV2Y,-1,HV2Y,HV2Y,-1,-1,-1,3,-1,-23.01,-23.01,-23.01,-23.01,188.9,296.9,329.49,23.23,60.66,62.05,44.46,60.93,1.656137,99,23.23,48.95,22.85,-90.37,28.87,1.179566,99
10-10-2025,NSE:TERASOFT,BE,560.03,18494,2.72,15.56,447.4,-1.99,-9.13,-2.89,4.49,16.73,30.7,53.45,58.65,82.32,-1,HV2Q,-1,-1,HVQ,HV2Y,-1,-1,-1,-1,12,-8.37,-8.37,-8.37,-8.37,58.2,115.51,517.19,15.6,31.27,41.21,54.38,81.65,1.626188,99,15.6,18.5,20.08,20.26,61.02,1.202034,99
10-10-2025,NSE:STALLION,EQ,1550.81,3026931,9.2,22,306.9,-7.48,6.63,31.52,35.29,37.91,69.68,75.78,NA,NA,-1,-1,HVQ,-1,-1,-1,-1,-1,6,-1,-1,-7.48,-7.48,-7.48,NA,224.52,379.46,NA,36.78,70.25,63.54,0,0,1.609543,99,36.78,52.89,7.37,109.09,3.76,1.226802,99
