Date,Symbol,Series,Mkt Cap (₹ Crore),AVOL(50),ADR(20),ATR(20),CMP,Change_1D,Change_1W,Change_10D,Change_15D,Change_1M,Change_3M,Change_6M,Change_9M,Change_12M,Change_20M,Momo_10D,Momo_1M,Momo_3M,Momo_6M,Momo_9M,Momo_12M,Gap_10D,6EMA_10D,10EMA_20D,21EMA_40D,50SMA_100D,Below_1M,Below_3M,Below_6M,Below_12M,Below_20M,NB_1M,NB_3M,NB_6M,NB_9M,NB_12M,NB_20M,Above_3M,Above_6M,Above_12M,Above_20M,NA_1M,NA_3M,NA_6M,NA_9M,NA_12M,NA_20M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (CNX500),RS_score,NC_1M,NC_3M,NC_6M,NC_9M,NC_12M,NC_20M,NRS_1M,NRS_3M,NRS_6M,NRS_9M,NRS_12M,Total_NRS (CNX500),NRS_score
13-10-2025,NSE:BGRENERGY,BE,1669.39,484469,4.47,6.01,352.35,5.00,21.64,36.14,24.94,34.87,71.1,78.54,67.54,86.02,73.61,-1,-1,HV2Q,-1,HVQ,HV2Y,-1,-1,-1,4,-1,0,0,0,0,0,0,0,-29.78,-47.86,0,-56.8,263.96,375.63,911.63,912.5,56.59,137.06,42.61,117.08,228.71,41.52,34.05,71.05,65.93,62.98,86.95,2.298741,98,,,,,,,34.05,56.41,13.17,-42.08,62.71,1.321959,98
13-10-2025,NSE:IZMO,BE,1240.58,348672,4.82,6.47,1045.3,0.67,-10.36,-29.03,-1.1,21.12,59.83,74.97,50.53,62.5,71.59,-1,-1,HV2Y,-1,HV2Y,HV2Y,-1,-1,-1,-1,-1,-22.5,-22.5,-22.5,-22.5,-22.5,-22.5,-0.25,-18.7,-58.73,-18.42,-26.51,190.85,291.79,332.39,332.39,26.22,148.62,73.67,8.21,107.96,57.65,20.3,59.78,62.36,45.97,63.43,1.667464,95,,,,,,,20.3,49.86,25.12,-88.46,29.95,1.186182,92
13-10-2025,NSE:KCK,SM,260.77,302800,8.24,8.54,36.9,-0.40,-7.59,16.26,3.79,-7.05,-20.19,78.43,69.11,-37.45,86.45,HVY,HVY,HVQ,HVQ,HV2Q,HV2Y,10.39,-1,-1,-1,-1,-15.95,-25.15,-25.15,-42.34,-42.34,-15.95,-19.88,-7.51,-87.56,-82.19,0,19.42,432.47,432.47,693.55,19.42,6.76,539.97,2.58,147.83,1002.61,-7.87,-20.24,65.82,64.55,-36.52,1.439394,92,,,,,,,-7.87,-11.5,69.48,-34.01,-339.15,1.292041,95
13-10-2025,NSE:JSLL,EQ,10165.31,285039,3.9,3.85,770.35,0.75,1.6,-4.23,-5.95,1.75,28.05,44.16,41.58,61.05,83.27,-1,-1,EEP,-1,EEP,EEP,-1,-1,-1,17,-1,-8.07,-8.07,-8.07,-8.07,-8.07,-8.07,-5.17,-1.7,-8.89,-4.69,-6.37,45.42,92.34,151.61,499.63,2.33,82.31,81.04,104.82,255.37,136.97,0.93,28,31.55,37.02,61.98,1.277984,89,,,,,,,0.93,27.54,9.83,4.59,39.08,1.105467,89
13-10-2025,NSE:FEDFINA,EQ,5555.45,1246823,3.51,3.47,160.45,2.91,-1.31,7.36,7.76,5.42,28.4,47.69,37.12,29.65,18.01,-1,-1,EEP,HV2Q,HV2Y,HV2Y,-1,-1,-1,4,-1,-1.29,-1.29,-1.29,-1.29,-1.29,-1.29,0,-4.04,-34.94,-26.03,-17.24,35.4,91.01,94.46,94.46,8.6,33.68,39.24,1.72,7.38,0.87,4.6,28.35,35.08,32.56,30.58,1.19912,86,,,,,,,4.6,25.07,14.38,-11,-6.12,1.055621,80
13-10-2025,NSE:SJS,EQ,4662.6,169701,3.3,3.36,1529.5,1.52,-1.05,5.09,3.2,8.85,20.56,45.56,26,38.65,59.56,-1,-1,HVQ,EEP,EEP,EEP,-1,-1,-1,2,-1,-1.04,-1.04,-1.04,-1.04,-1.04,-1.04,-2.99,-6.24,-36.1,-13.13,-10.56,32.78,76.46,87.05,157.02,9.23,21.03,48.6,8.45,102.39,67.78,8.03,20.51,32.95,21.44,39.58,1.175465,83,,,,,,,8.03,13.63,18.91,-26.73,22.86,1.061832,86
13-10-2025,NSE:GODFRYPHLP,EQ,53241.77,1479145,4.1,4.22,3295.8,-1.34,-4.89,0.39,-6.95,-5.28,15.03,30,50.75,30.37,74.27,-1,-1,EEP,EEP,EEP,EEP,-1,-1,-1,-1,-1,-9.56,-11.24,-11.24,-11.24,-11.24,-9.56,-6.55,-8.45,-15.95,-40.87,-16.4,13.76,40.5,133.5,316.38,0.39,30.42,98.41,73.49,122.34,214.36,-6.1,14.98,17.39,46.19,31.3,1.156308,80,,,,,,,-6.1,20.07,5.05,38.86,-35.63,1.055986,83
13-10-2025,NSE:ADANIPOWER,EQ,276195.4,51514073,5.65,6.02,154.43,3.16,1.58,5.3,8.13,19.1,21.78,34.15,34.6,17.04,27.55,-1,HV2Y,-1,-1,EEP,EEP,-1,-1,-1,1,-1,-9.29,-9.29,-9.29,-9.29,-11.7,-9.29,-2.95,-0.31,-31.1,-42.26,-26.75,36.18,50.81,76.43,76.43,22.47,17.8,34.24,16.18,15.38,24.42,18.28,21.73,21.54,30.04,17.97,1.15158,77,,,,,,,18.28,4.09,3.24,9.9,-21.1,1.033736,68
13-10-2025,NSE:MARUTI,EQ,35000,504412,1.65,1.72,16323,0.36,1.99,0.23,2.81,7.52,22.97,29.81,27.57,23.23,34.72,-1,-1,HV2Q,-1,EEP,EEP,-1,-1,11,-1,-1,0,0,0,0,0,0,-1.76,-4.31,-15.1,-12.4,-7.14,32.69,40.73,52.03,56.52,6.93,22.7,10.98,6.71,19.89,27.09,6.7,22.92,17.2,23.01,24.16,1.121288,74,,,,,,,6.7,17.48,-3.69,6.03,-0.25,1.035584,71
13-10-2025,NSE:AGARWALTUF,SM,262.47,109776,5.51,5.69,165.45,0.36,5.2,8.52,12.3,11.94,23.6,33.76,22.61,NA,NA,-1,-1,HVQ,HVQ,HVQ,-1,-1,-1,-1,-1,-1,-1.08,-1.08,-1.08,NA,NA,-1.08,-8.22,-10.32,-22.84,NA,NA,36.74,63.73,NA,NA,19.03,27.08,48.18,28.49,NA,NA,11.12,23.55,21.15,18.05,0,1.106647,71,,,,,,,11.12,14.03,0.72,-7.62,105.76,1.035609,74
