Date,Symbol,Series,Mkt Cap (₹ Crores),AVOL(50),ADR(20),ATR(20),RPS,CMP,Change_1D,Change_1W,Change_10D,Change_15D,Change_1M,Change_3M,Change_6M,Change_9M,Change_12M,Change_20M,Momo_10D,Momo_1M,Momo_3M,Momo_6M,Momo_9M,Momo_12M,Gap_10D,6EMA_10D,10EMA_20D,21EMA_40D,50SMA_100D,Below_1M,Below_3M,Below_6M,Below_12M,Below_20M,NB_1M,NB_3M,NB_6M,NB_9M,NB_12M,NB_20M,Above_3M,Above_6M,Above_12M,Above_20M,NA_1M,NA_3M,NA_6M,NA_9M,NA_12M,NA_20M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (CNX500),RS_score,NC_1M,NC_3M,NC_6M,NC_9M,NC_12M,NC_20M,NRS_1M,NRS_3M,NRS_6M,NRS_9M,NRS_12M,Total_NRS (CNX500),NRS_score
17-10-2025,NSE:MVKAGRO,ST,683.42,119208,1.12,2.19,0,569.85,0.00,3.83,7.51,16.21,25.57,65.03,91.14,93.26,91.27,NA,-1,-1,-1,HV2Q,HVQ,HVQ,-1,-1,1,-1,-1,0,0,0,0,NA,0,0,0,-20.78,-53.71,NA,180.37,975.19,1661.51,NA,31.73,215.24,516.07,56.11,0.92,NA,24.92,64.27,83.02,84.29,91.82,4.097669,99,,,,,,,24.92,52.9,67.24,23.04,-19.1,1.449807,99
17-10-2025,NSE:POLYSIL,ST,500.96,144120,1.36,2.35,0,283.7,-1.66,2.01,7.65,15.1,24.57,66.87,90.08,90.55,88.72,NA,-1,-1,-1,HV2Y,HV2Y,-1,-1,2,0,-1,-1,-1.66,-1.66,-1.66,-1.66,NA,-1.66,0,0,-22.66,-50.6,NA,195.98,888.5,1829.93,NA,29.99,233.85,539.46,91.5,0,NA,23.92,66.11,81.96,81.58,89.27,3.454785,99,,,,,,,23.92,55.96,62.63,3.88,-8.94,1.394845,99
17-10-2025,NSE:BGRENERGY,BE,1908.53,512298,4.3,5.91,0,403.8,5.00,16.89,34.88,43.1,34.34,74.73,80.91,69.34,88.63,72.3,-1,-1,HV2Q,-1,HVQ,HV2Y,-1,0,9,-1,-1,0,0,0,0,0,0,0,-29.63,-46.85,0,-59.71,317.11,399.01,1059.35,1060.34,79.45,173.89,42.9,121.27,255.75,31.98,33.69,73.97,72.79,60.37,89.18,2.543233,99,,,,,,,33.69,61.41,17.04,-61.55,73.36,1.385341,99
17-10-2025,NSE:STALLION,EQ,1550.81,3720195,10.71,10.45,0,393.65,-5.00,22.04,27.21,46.61,48.56,74.29,81.52,NA,NA,NA,HV2Y,HV2Y,HVQ,-1,-1,-1,-1,-1,6,-1,-1,-5,-5,-5,NA,NA,-5,-2.45,-19.67,NA,NA,NA,279.17,514.98,NA,NA,100.19,173.64,63.85,NA,NA,NA,47.91,73.53,73.4,0,0,1.832615,99,,,,,,,47.91,49.91,20.69,99.08,10.46,1.27516,99
17-10-2025,NSE:INDOTHAI,EQ,2502.25,866238,5.54,5.94,0,449.6,-0.63,16.39,32.15,44.78,55.75,54.5,55.93,57.66,80.14,92.09,2,2,HVQ,-1,HVQ,HV2Y,-1,0,0,-1,-1,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-6.16,-3.52,-5.61,0,0,203.91,203.91,393.63,1702.37,118.93,34.48,23.92,694.39,663.14,257.97,55.1,53.74,47.81,48.69,80.69,1.808007,99,,,,,,,55.1,-2.92,-4.3,3.01,63.55,1.243263,99
17-10-2025,NSE:AKIKO,ST,284.32,37152,4.83,5.31,3,240,-2.83,-4.17,-4.65,-13.19,1.23,68.69,65.63,67.48,66.52,NA,-1,-1,HVQ,-1,-1,-1,-1,-1,-1,6,-1,-12.49,-12.49,-12.49,-12.49,NA,-12.49,0,-18.67,-11.62,-16.39,NA,252.68,252.68,252.94,NA,0,248.35,10.51,30.13,23.11,NA,0.58,67.93,57.51,58.51,67.07,1.742509,99,,,,,,,0.58,68.19,-17.2,4.47,7.51,1.26377,99
17-10-2025,NSE:CUPID,EQ,5758.62,3912035,4.19,4.13,1,251.93,-0.76,2.25,14.77,13.36,17.17,46.95,70.29,72.29,68.55,58.73,-1,-1,HV2Y,HV2Q,HV2Q,-1,-1,-1,-1,3,-1,-0.76,-0.76,-0.76,-0.76,-0.76,-0.76,0,0,-29.16,-48.91,-42.02,72.19,244.87,338.14,338.14,21.65,131.48,132.45,30.16,0.14,0,16.52,46.19,62.17,63.32,69.1,1.705057,99,,,,,,,16.52,35.84,36.59,5.79,-3.02,1.160267,99
17-10-2025,NSE:UNITEDPOLY,BE,920.36,188948,4.79,5.91,3,42.67,-2.78,-3.91,-7.92,-14.2,9.66,53.27,61.66,64.38,72.93,76.48,-1,-1,HV2Q,HV2Q,HV2Y,HV2Y,-1,-1,-1,-1,-1,-14.02,-14.02,-14.02,-14.02,-14.02,-14.02,-8.32,-9.45,-8.52,-7.32,-16.64,111.13,177.98,305.07,428.42,8.52,109.97,65.2,96.41,88.24,43.02,9.01,52.51,53.54,55.41,73.48,1.627973,99,,,,,,,9.01,48.16,10.54,6.16,34.48,1.177576,99
17-10-2025,NSE:SUMEETINDS,BE,1462.66,353004,8.11,8.08,0,38.33,3.01,11.37,0.7,12.82,29.65,30.96,57.84,72.87,65.04,40.52,-1,-1,-1,-1,-1,HV2Y,-1,-1,-1,-1,-1,0,0,0,0,0,0,-4.11,-5.9,-22.16,-64.38,-54.11,83.33,242.48,391.41,391.41,43.11,140.92,239.26,107.18,23.81,59.52,29,30.2,49.72,63.9,65.59,1.575404,99,,,,,,,29,1.75,31.51,34.72,-18.39,1.140594,99
17-10-2025,NSE:TERASOFT,BE,560.03,18911,1.88,2.98,2,455.95,1.99,1.88,-7.08,-0.97,4.47,31.98,49.57,57.36,80.16,84.74,-1,-1,-1,-1,HVQ,HV2Y,-1,-1,-1,6,-1,-6.62,-6.62,-6.62,-6.62,-6.62,-6.62,0,0,-13.32,-10.93,-4.3,61.23,119.63,528.98,902.09,6.7,67.49,85.44,239.83,327.25,98.77,3.82,31.22,41.45,48.39,80.71,1.544106,99,,,,,,,3.82,28.68,18.44,14.53,63.94,1.187129,99
17-10-2025,NSE:KAVDEFENCE,BE,219.35,239300,3.64,6.2,1,125.04,-5.01,4.26,-11.96,-7.17,17.69,53.73,65.84,56.07,58.7,86.56,-1,2,HVY,HV2Q,-1,HV2Y,-1,-1,-1,5,-1,-19.39,-19.39,-19.39,-19.39,-19.39,-19.39,0,-13.24,-35.23,-16.7,0,134.6,197.64,258.9,1125.88,15.71,134.92,37.71,59.72,438.53,406.27,17.04,52.97,57.72,47.1,59.25,1.531861,99,,,,,,,17.04,43.68,18.75,-29.53,16.45,1.138665,99
