Date,Symbol,Series,Mkt Cap (₹ Crores),CMP,AVOL(50),₹AVOL(50),ADR(20),ATR(20),DV(50),RPS,Change_1D,Change_1W,Change_10D,Change_15D,Change_1M,Change_3M,Change_6M,Change_9M,Change_12M,Change_20M,Momo_10D,Momo_1M,Momo_3M,Momo_6M,Momo_9M,Momo_12M,Gap_10D,6EMA_10D,10EMA_20D,21EMA_40D,50SMA_100D,Off_10EMA,10_21_EMA,Off_21EMA,21_50SMA,Off_50SMA,50_200SMA,Off_200SMA,RSHigh_1W,RSHigh_1M,RSHigh_3M,RSHighP_1W,RSHighP_1M,RSHighP_3M,Below_1M,Below_3M,Below_6M,Below_12M,Below_20M,NB_1M,NB_3M,NB_6M,NB_9M,NB_12M,NB_20M,Above_3M,Above_6M,Above_12M,Above_20M,NA_1M,NA_3M,NA_6M,NA_9M,NA_12M,NA_20M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (CNX500),RS_score,NC_1M,NC_3M,NC_6M,NC_9M,NC_12M,NC_20M,NRS_1M,NRS_3M,NRS_6M,NRS_9M,NRS_12M,Total_NRS (CNX500),NRS_score
12-11-2025,NSE:MVKAGRO,ST,813.15,653,107010,698.7753,2.07,3.07,1.92,,3.63,19.53,18.07,11.18,16.08,59.36,87.85,94.33,93.11,NA,-1,-1,-1,-1,HV2Q,-1,-1,-1,10,-1,-1,11.79,4.41,16.95,11.41,32,57.41,209.9,0,0,0,0,0,0,0,0,0,0,NA,0,-0.35,0,0,-55.39,NA,141.27,707.17,1918.55,NA,26.21,197.5,720.25,145.29,5.56,NA,13.99,53.51,81.61,85.48,88.26,4.189478,99,21.59,197.5,578.64,52.89,,,13.99,47.75,69.68,50.59,-17.24,1.43841,99
12-11-2025,NSE:BGRENERGY,BE,3153.39,401.05,394873,1583.63817,5.67,6.51,28.12,S,0.02,-2.92,-2.6,-5.72,16.32,68.58,73.19,66.69,89.4,87.15,-1,-1,HV2Q,-1,-1,HVQ,-1,-1,-1,7,-1,-1.18,3.89,2.82,19.58,27.87,49.5,153.2,0,0,0,0,0,0,-14.2,-14.2,-14.2,-14.2,-14.2,-14.2,0,-4.18,-25.83,-7.86,-62.6,256.93,314.27,1029.72,1052.44,13.82,246.64,76.47,208.76,283.91,22.16,14.23,62.73,66.95,57.84,84.55,2.278671,99,13.82,229.58,-4.18,146.14,,,14.23,58.62,14.23,-27.01,72.56,1.380777,99
12-11-2025,NSE:MAHASTEEL,BE,996.5,766.9,60802,466.29054,4.32,4.56,5.41,,4.89,20.84,22.45,26.15,31.84,52.52,66.52,75.62,71.63,86.39,-1,-1,HVY,HVQ,HVQ,-1,-1,-1,3,-1,-1,14.91,8.19,25.16,18.93,54.37,31.88,126.61,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.03,-6.99,-16.76,-3.12,133.38,213.4,314.47,698.02,41.07,59.07,96.78,138.48,94.54,126.4,29.75,46.67,60.28,66.77,66.78,1.780456,99,34.01,45.01,96.78,138.48,,,29.75,26.51,29.06,24.41,-12,1.162966,99
12-11-2025,NSE:AKIKO,ST,287.55,289,29408,84.98912,3.79,4.76,6.11,,3.55,7.73,6.92,12.8,11.59,55.88,73.7,70.24,73.01,NA,-1,-1,-1,HVQ,-1,-1,-1,-1,-1,15,-1,6.48,2.75,9.49,7.58,18.48,48.04,128.01,0,0,0,0,0,0,0,0,0,0,NA,0,-6.84,-0.93,-17.75,-7.87,NA,134.96,324.69,325,NA,20.42,275.46,87.5,19.87,35.65,NA,9.5,50.03,67.46,61.39,68.16,1.778543,99,12.02,209.51,44.48,-3.06,,,9.5,46.27,39.97,-15.94,13.68,1.189911,99
12-11-2025,NSE:TERASOFT,BE,632.66,539.7,24322,131.26583,3.65,4.79,2.44,,5.00,-2.97,1.13,13.83,17.1,46.54,54.1,53.73,85.19,88.89,-1,-1,HV2Q,-1,-1,HVQ,-1,-1,-1,7,-1,3.13,3.88,7.3,10.51,19.9,33.08,79.16,0,0,0,0,0,0,-2.89,-2.89,-2.89,-2.89,-2.89,-2.89,-8.37,-16.62,-6.62,-5.87,-15.4,90.84,113.66,535.02,1086.15,25.58,58.2,72.53,253.87,448.79,75.71,15.01,40.69,47.86,44.88,80.34,1.721432,99,23.08,46.02,17.92,191.87,,,15.01,31.68,13.73,-3.58,72.36,1.258287,99
12-11-2025,NSE:IFBAGRO,EQ,1246.76,1606.9,76631,1231.38354,9.76,9.8,6.57,,6.12,9.38,17.18,35.27,39.46,51.72,70.14,62.64,64.72,70.93,HV2Y,HVQ,-1,HVQ,-1,-1,9.46,-1,-1,1,-1,13.18,9.99,25.75,22.21,61.64,28.26,125.32,0,0,0,0,0,0,0,0,0,0,0,0,-1.45,-15.61,-21.41,-1.67,-7.15,114.25,230.98,258.6,308.67,73.72,39.49,73.13,7.1,52.7,44.19,37.37,45.87,63.9,53.79,59.87,1.657758,99,67.81,39.49,29.59,-9.44,,,37.37,16.42,37.72,-27.89,9.95,1.145585,99
12-11-2025,NSE:CUPID,EQ,6256.09,279.43,3560256,9948.42334,4.97,4.92,4.71,,10.35,13.71,12.29,9.82,11.87,39.98,69.24,72.3,69.08,51.09,-1,-1,-1,HV2Y,HV2Q,-1,-1,-1,-1,9,-1,9.85,3.37,13.67,8.69,24.49,42.07,114.89,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.15,-18.65,-43.37,-36.78,69.22,221.15,385.97,385.97,19.62,107.78,191.65,49.48,13.24,17.08,9.78,34.13,63,63.45,64.23,1.646062,99,12.46,107.78,112.71,-10.31,,,9.78,28.07,48.33,7.18,-7.25,1.151983,99
12-11-2025,NSE:TAKE,BE,332.85,26.16,534136,139.72998,4.46,6.36,14.31,,4.98,8.75,13.99,17.55,38.34,65.6,69.23,54.93,31.23,-7.61,-1,HV2Y,HV2Q,HVQ,-1,HVQ,-1,-1,-1,-1,-1,10.42,8.3,20.41,26.19,63.14,30.34,134.19,0,0,0,0,0,0,0,0,0,0,-8.21,0,0,-25.68,-63.87,-60.96,-40.43,190.67,214.05,291.03,291.03,54.52,79.22,34.53,20.33,2.52,4.84,36.25,59.75,62.99,46.08,26.38,1.607666,99,54.52,58.29,-25.68,-59.24,,,36.25,40.37,10.14,-49.24,-48.21,1.125176,99
12-11-2025,NSE:APRAMEYA,SM,523.6,282.9,25510,72.16779,4.29,4.49,2.72,,3.89,2.74,2.09,9.33,10.87,42.24,54.29,57.21,78.79,NA,-1,-1,HVQ,HVQ,-1,-1,-1,-1,-1,-1,15,2.26,1.38,3.69,3.05,6.95,36.79,69.2,0,0,0,0,0,0,0,-2.45,-2.45,-2.45,NA,0,-13.05,-9.42,0,0,NA,86.12,116.45,405.18,NA,15.26,65.89,81.05,130.89,116.16,NA,8.78,36.39,48.05,48.36,73.94,1.561588,99,15.26,52.82,36.17,,,,8.78,31.37,20.45,3.6,54.81,1.179784,99
12-11-2025,NSE:SUMEETINDS,BE,1777.4,36.41,370682,134.96532,6.77,6.6,9.84,,0.80,9.8,1.76,-4.34,6.7,33.81,63.97,75.83,43.97,44.52,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.55,1.36,3.97,7.7,12.64,36.71,77.98,0,0,0,0,0,0,-6.62,-6.62,-6.62,-6.62,-6.62,-6.62,-10.75,-14.3,-36.8,-69.86,-30.14,74.14,225.32,366.79,366.79,12.83,62.47,208.97,68.21,12.82,142.86,4.61,27.96,57.73,66.98,39.12,1.518152,99,12.83,26.84,180.23,11.19,,,4.61,25.23,45.14,30.15,-127.44,1.125403,99
