Date,Symbol,Series,Mkt Cap (₹ Crore),CMP,AVOL(50),₹AVOL(50),ADR(20),ATR(20),DV(50),RPS,Change_1D,Change_1W,Change_10D,Change_15D,Change_1M,Change_3M,Change_6M,Change_9M,Change_12M,Change_20M,Momo_10D,Momo_1M,Momo_3M,Momo_6M,Momo_9M,Momo_12M,Gap_10D,6EMA_10D,10EMA_20D,21EMA_40D,50SMA_100D,Off_10EMA,10_21_EMA,Off_21EMA,21_50SMA,Off_50SMA,50_200SMA,Off_200SMA,RSHigh_1W,RSHigh_1M,RSHigh_3M,RSHighP_1W,RSHighP_1M,RSHighP_3M,Below_1M,Below_3M,Below_6M,Below_12M,Below_20M,NB_1M,NB_3M,NB_6M,NB_9M,NB_12M,NB_20M,Above_3M,Above_6M,Above_12M,Above_20M,NA_1M,NA_3M,NA_6M,NA_9M,NA_12M,NA_20M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (CNX500),RS_score,NC_1M,NC_3M,NC_6M,NC_9M,NC_12M,NC_20M,NRS_1M,NRS_3M,NRS_6M,NRS_9M,NRS_12M,Total_NRS (CNX500),NRS_score
17-11-2025,NSE:BGRENERGY,BE,1669.39,411.8,371906,1531.50891,5.73,6.52,28.27,2M,1.50,5.38,-6.44,-7.83,11.06,70.82,72.29,69.33,90.04,88.19,-1,-1,HV2Q,-1,-1,HVQ,-1,-1,-1,8,-1,0.74,3.21,4.08,17.29,25.84,50.36,153.49,0,0,0,0,0,0,-11.9,-11.9,-11.9,-11.9,-11.9,-11.9,-1,-4.63,-21.3,-12.9,-56.92,266.5,325.37,1060,1083.33,7.08,278.34,68.29,227.62,262.9,17.9,8.65,65.57,67.77,59.69,84.58,2.357182,99,7.08,265.21,-2.91,170.79,,,8.65,64.28,5.79,-16.03,72.13,1.412584,99
17-11-2025,NSE:IZMO,BE,1240.58,903.25,111926,1010.9716,5.65,6.14,8.29,S,5.00,7.95,9.25,11.13,-4.46,54.62,63.71,53.96,55.99,70.67,-1,-1,HV2Y,HV2Y,-1,HVQ,-1,-1,-1,-1,-1,4.87,-1.85,2.96,-8.06,-4.72,46.8,79.08,0,0,0,0,0,0,-0.04,-33.03,-33.03,-33.03,-33.03,-0.04,-30.04,-3.59,-48.28,-34.39,-25.47,134.28,204.74,273.63,273.63,15.7,162.52,69.53,35.59,67.26,59.88,-6.87,49.37,59.19,44.32,50.53,1.456182,96,0.76,127.4,3.73,-26.63,,,-6.87,53.65,20.78,-32.24,9.03,1.155235,96
17-11-2025,NSE:JSLL,EQ,10165.31,726.45,248803,1807.42939,4.55,4.49,4.15,2L,2.39,-0.34,-2.14,-0.91,-2.19,22.82,38.7,46.48,53.02,76.19,-1,-1,EEP,-1,-1,EEP,-1,-1,-1,-1,-1,-1.92,-1.02,-2.9,-2.99,-5.72,30.39,35.44,0,0,0,0,0,0,-8.51,-13.31,-13.31,-13.31,-13.31,-8.51,-11.41,-3.49,-5.68,-17.65,-2.2,10.11,81.38,137.27,412.92,2.39,40.13,83.13,83.21,174.52,140.95,-4.6,17.57,34.18,36.84,47.56,1.216327,93,-1.87,36.37,50.32,83.21,,,-4.6,21.56,21.34,7.33,16.85,1.075264,90
17-11-2025,NSE:SJS,EQ,4662.6,1743.6,199265,3474.38454,4.1,4.19,5.61,,-0.86,-0.28,7.4,13.51,12.12,31.14,37.41,42.33,30.07,62.82,EEP,EEP,EEP,-1,EEP,-1,4.46,4,-1,10,-1,1.6,3.64,5.44,7.09,13.48,22.62,46.66,0,0,0,0,0,0,-1.18,-1.18,-1.18,-1.18,-1.18,-1.18,-0.86,-7.35,-16.23,-22.83,-3.44,48.21,61.77,113.23,190.04,18.85,33.02,46.83,33.47,67.26,102.83,9.71,25.89,32.89,32.69,24.61,1.189452,90,15.94,23.72,22.39,8.57,,,9.71,18.74,9.86,2.51,-16.64,1.04668,87
17-11-2025,NSE:FEDFINA,EQ,5555.45,148.58,1360104,2020.84252,4.03,4.06,3.55,2L,2.22,7.41,4.65,4.83,-5.67,13.41,39.19,35.76,30.68,14.52,-1,-1,HV2Q,EEP,-1,HV2Y,-1,-1,-1,-1,-1,4.65,-1.1,3.51,-3.02,0.48,21.96,28.76,0,0,0,0,0,0,-2.15,-8.59,-8.59,-8.59,-8.59,-2.15,-3.41,-5.06,-26.41,-27.11,-21.34,10.6,63.36,80.08,80.08,9.41,29.35,55.92,9.5,4.87,1.91,-8.08,8.16,34.67,26.12,25.22,1.119798,87,-1.37,29.35,36.59,-25.15,,,-8.08,15.15,30.53,-11,-3.29,1.039645,84
17-11-2025,NSE:ADANIPOWER,EQ,276195.4,153.28,68689888,105287.86033,3.3,3.31,7.12,2M,-0.41,2.1,-2.98,-9.42,-2.76,23.59,26.21,35.53,23.15,25.12,-1,-1,HV2Y,-1,-1,EEP,-1,-1,-1,-1,-1,-0.46,-0.5,-0.95,3.72,2.88,19.82,28.31,0,0,0,0,0,0,-10.25,-10.25,-10.25,-10.25,-12.36,-10.25,-7.48,-3.93,-18.91,-43.5,-32.65,31.22,44.54,75.12,75.12,2.15,38.9,24.57,29.21,12.9,14.4,-5.17,18.34,21.69,25.89,17.69,1.106356,84,-2.6,30.21,19.17,-18.22,,,-5.17,22.73,4.19,7.27,-14.59,1.035338,78
17-11-2025,NSE:CNXPSUBANK,IN,,8491.65,,,,,,,1.09,1.78,3.62,7.94,9.05,17.36,21.94,27.03,19.39,13.77,0,0,0,0,0,0,0,-1,-1,-1,-1,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,6.64,12.11,17.42,17.39,13.93,1.083599,,,,,,,,6.64,6.23,6.3,1.15,-5.84,1.021165,
17-11-2025,NSE:MARUTI,EQ,35000,15878,425377,67541.36006,1.6,1.62,4.56,2L,1.24,1.86,-1.94,-2.49,-2.1,19.17,18.16,17.81,28.81,26.5,-1,-1,HV2Q,-1,-1,-1,-1,-1,-1,-1,-1,0.74,-0.53,0.22,-0.14,0.08,15.95,19.06,0,0,0,0,0,0,-3.32,-3.32,-3.32,-3.32,-3.32,-3.32,-0.68,-1.24,-3.71,-3.31,-16.25,22.74,30.94,47.89,47.89,3.28,31.78,13.28,21.03,21.54,2.33,-4.51,13.92,13.64,8.17,23.35,1.06615,81,-2.58,29.04,-0.52,5.88,,,-4.51,17.93,-0.49,-5.78,18,1.032405,75
17-11-2025,NSE:SBIN,EQ,65000,973.35,10176261,99050.63644,1.54,1.56,5.96,,0.57,2.28,3.73,7.07,8.96,15.56,18.62,24.26,13.38,19.46,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,1.88,1.97,3.93,5.29,9.73,8.75,20.26,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.18,-8.69,-18.6,-6.9,21.37,23.98,41.31,41.31,9.74,11.6,19.32,15,1.85,16.49,6.55,10.31,14.1,14.62,7.92,1.065348,78,9.74,6.54,11.54,-2.52,,,6.55,4.34,4.38,1.57,-9.75,1.014538,66
17-11-2025,NSE:ASIANPAINT,EQ,32000,2887.9,1111918,32111.07992,1.98,2.28,8.37,,-0.64,8.22,13.06,13.38,17.76,13.42,18.5,21.36,4.1,2.34,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5.52,3.85,9.74,4.94,15.44,4.6,21.01,0,0,0,0,0,0,-0.64,-0.64,-0.64,-0.64,-14.64,-0.64,-8.21,-0.25,-30.43,-32.88,-18.14,24.58,30.75,35.45,35.45,19.84,2.46,17.26,10.39,2.5,2.19,15.35,8.17,13.98,11.72,-1.36,1.063624,75,19.84,-1.47,10.13,-22.91,,,15.35,-8.18,6.62,-1.85,-17.33,1.007999,51
