Date,Symbol,Series,Mkt Cap (₹ Crore),CMP,AVOL(50),₹AVOL(50),ADR(20),ATR(20),DV(50),RPS,Change_1D,Change_1W,Change_10D,Change_15D,Change_1M,Change_2M,Change_3M,Change_6M,Change_9M,Change_12M,Change_20M,Momo_10D,Momo_1M,Momo_3M,Momo_6M,Momo_9M,Momo_12M,Gap_10D,6EMA_10D,10EMA_20D,21EMA_40D,50SMA_100D,Off_10EMA,10_21_EMA,Off_21EMA,21_50SMA,Off_50SMA,50_200SMA,Off_200SMA,RSHigh_1W,RSHigh_1M,RSHigh_3M,RSNHBP_1W,RSNHBP_1M,RSNHBP_3M,Below_1M,Below_3M,Below_6M,Below_12M,Below_20M,NB_1M,NB_3M,NB_6M,NB_9M,NB_12M,NB_20M,Above_3M,Above_6M,Above_12M,Above_20M,NA_1M,NA_3M,NA_6M,NA_9M,NA_12M,NA_20M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (CNX500),RS_score,NC_1M,NC_3M,NC_6M,NC_9M,NC_12M,NC_20M,NRS_1M,NRS_3M,NRS_6M,NRS_9M,NRS_12M,Total_NRS (CNX500),NRS_score
19-11-2025,NSE:BGRENERGY,BE,1669.39,414.15,351352,1455.12431,5.98,6.37,28.37,M,0.05,3.16,0.34,0.64,2.5,35.98,70.16,71.99,70.72,90.63,88.28,-1,-1,HV2Q,-1,-1,HVQ,-1,-1,-1,10,-1,0.89,2.84,3.84,15.86,23.41,50.78,150.72,0,0,0,0,0,0,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,0,-1.91,-20.01,-16.36,-49.06,204.66,327.8,1066.62,1090.09,6.29,317.11,73.1,233.02,248.51,11.47,1.21,66.08,66.47,58.36,84.04,2.38813,98,-2.32,296.35,3.99,181.8,,,1.21,66.57,4.64,-11.8,74.61,1.435391,98
19-11-2025,NSE:IZMO,BE,1240.58,981.5,112071,1099.97687,5.33,5.88,8.39,,3.49,12.74,7.93,18.33,8.63,2.33,58.71,67.92,61.28,61.04,72.78,-1,-1,HV2Y,HV2Y,-1,HVQ,-1,-1,-1,-1,-1,9.53,0.39,9.96,-7.25,2.53,46.75,92.55,0,0,0,0,0,0,0,-27.23,-27.23,-27.23,-27.23,0,-33.51,-4.66,-50.33,-40.04,-28.32,140.56,231.14,306,306,25.72,149.53,67.65,30.24,52.85,53.77,7.34,54.63,62.4,48.92,54.45,1.583747,95,12.11,112.56,3.21,-21.43,,,7.34,51.99,20.81,-27.95,5.98,1.162834,95
19-11-2025,NSE:SJS,EQ,4662.6,1758.3,201450,3542.09535,3.95,4.05,5.69,,2.39,0.59,1.58,13.27,16.56,17.01,30.87,38.7,46.57,32.12,63.28,EEP,EEP,EEP,-1,EEP,-1,-1,-1,-1,10,-1,1.99,3.22,5.38,7.07,13.4,22.81,46.91,0,0,0,0,0,0,-0.35,-0.35,-0.35,-0.35,-0.35,-0.35,-5.08,-6.2,-17.27,-27.9,-5.48,35.78,63.02,115.03,192.49,17.75,27.36,48.65,31.81,56.27,98.54,15.27,26.79,33.18,34.21,25.53,1.211654,92,14.92,18.81,31.09,10.42,,,15.27,14.33,9.81,5.61,-20.46,1.049553,86
19-11-2025,NSE:JSLL,EQ,10165.31,706.9,241711,1708.65506,4.51,4.39,3.47,2L,-0.67,-6.17,-10.71,-4.26,-3.93,-18.54,0.06,39.57,49.05,49.26,76.73,-1,-1,-1,EEP,-1,-1,-1,-1,-1,-1,-1,-3.19,-1.53,-4.65,-3.58,-7.94,29.7,30.95,0,0,0,0,0,0,-10.97,-15.64,-15.64,-15.64,-15.64,-10.97,-12.32,0,-9.52,-23.72,-4.09,3.02,70.54,130.88,399.12,0,38.69,130.74,72.25,154.28,153.24,-5.22,-4.02,34.05,36.69,42.67,1.174828,89,-6.91,36.55,94.61,72.25,,,-5.22,1.03,38.02,8.45,7,1.064703,89
19-11-2025,NSE:ADANIPOWER,EQ,276195.4,151.61,69185589,104892.27148,3.02,3.02,7,M,1.38,-0.24,-4.47,-7.07,-9.48,16.83,21.01,26.63,34.29,26.4,25.22,-1,-1,HV2Y,-1,-1,EEP,-1,-1,-1,-1,-1,-0.84,-0.75,-1.58,2.53,0.98,20.1,26.37,0,0,0,0,0,0,-11.22,-11.22,-11.22,-11.22,-13.32,-11.22,-2.51,-1.77,-20.25,-43.04,-36.2,28.03,42.96,73.21,73.21,1.38,46.37,27.37,27.09,13.82,8.37,-10.77,16.93,21.11,21.93,19.81,1.094241,86,-10.97,39.56,19.33,-17.48,,,-10.77,25.03,5.6,3.2,-5.41,1.037161,83
19-11-2025,NSE:CNXPSUBANK,IN,,8576.4,,,,,,,1.16,2.53,2.85,5.7,10.93,14.7,17.75,22.32,30.02,21.34,14.4,0,0,0,0,0,0,0,-1,-1,-1,-1,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,9.64,13.67,16.8,17.66,14.75,1.09289,,,,,,,,9.64,4.84,4.04,2.68,-5.81,1.023205,
19-11-2025,NSE:FEDFINA,EQ,5555.45,140.79,1396217,1965.73391,3.81,3.84,3.49,2L,-2.89,3.54,-1.63,-1.53,-6.5,-4.94,4.31,35.4,34.21,28.38,12.67,-1,-1,HV2Q,EEP,-1,HV2Y,-1,-1,-1,-1,-1,-1,-0.85,-1.83,-3.27,-4.93,21.74,21.47,0,0,0,0,0,0,-7.28,-13.39,-13.39,-13.39,-13.39,-7.28,-7.76,-0.58,-25.92,-29.27,-22.99,4.8,50.92,70.63,70.63,3.67,21.55,63.28,10.23,1.76,0,-7.79,0.23,29.88,21.85,21.79,1.088836,83,-3.85,19.01,46.64,-22.47,,,-7.79,7.33,30.98,-9.08,-2.28,1.031833,74
19-11-2025,NSE:SBIN,EQ,65000,982.75,10280643,101033.01908,1.47,1.47,5.97,,1.06,2.6,2.56,5.34,9.52,12.78,15.78,20.06,25.61,15.88,19.81,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,2.06,1.99,4.13,5.29,9.95,9.19,21.08,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.49,-9.44,-19.27,-8.72,22.55,25.18,42.68,42.68,8.65,11.98,20.16,14.06,1.01,14.22,8.23,11.7,14.54,13.25,9.29,1.071003,80,8.29,7.99,12.89,-2.16,,,8.23,4.1,3.56,-0.3,-6.49,1.01604,65
19-11-2025,NSE:BHARTIARTL,EQ,65000,2159.8,6926767,149604.31367,1.68,1.93,7.03,,0.49,3.98,2.15,3.22,6.84,10.12,12.39,16.25,21.44,27.97,44.45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.76,1.6,4.43,3.82,8.57,6.39,15.98,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.96,-4.84,-4.2,-12.16,15.65,18.51,41.61,84.8,7.93,8.74,20.51,24.82,52.85,40.14,5.55,8.31,10.73,9.08,21.38,1.065197,77,5.28,5.84,10.56,22.91,,,5.55,3.13,2.9,-1.04,14.91,1.024694,68
19-11-2025,NSE:ASIANPAINT,EQ,32000,2893.7,1134327,32824.0204,1.8,2.07,8.37,,-0.42,4.28,14.07,13.28,13.34,13.83,10.59,20.67,22.56,14.47,0.8,-1,-1,-1,-1,-1,-1,-1,1,3,-1,-1,3.69,4.03,8.05,6.1,15.08,4.84,20.92,0,0,0,0,0,0,-0.44,-0.44,-0.44,-0.44,-14.47,-0.44,-3.08,0,-32.15,-33.77,-26.85,24.83,31.01,35.72,35.72,16.37,8.18,21.35,7.67,1.14,0,12.05,6.51,15.15,10.2,7.88,1.063433,74,15.01,5.26,16.12,-24.13,,,12.05,-5.99,9.77,-4.86,-3.85,1.012648,62
