Date,Symbol,Series,Mkt Cap (₹ Crores),CMP,AVOL(50),₹AVOL(50),ADR(20),ATR(20),DV(50),RPS,Change_1D,Change_1W,Change_10D,Change_15D,Change_1M,Change_2M,Change_3M,Change_6M,Change_9M,Change_12M,Change_20M,Momo_10D,Momo_1M,Momo_3M,Momo_6M,Momo_9M,Momo_12M,Gap_10D,6EMA_10D,10EMA_20D,21EMA_40D,50SMA_100D,Off_10EMA,10_21_EMA,Off_21EMA,21_50SMA,Off_50SMA,50_200SMA,Off_200SMA,RSHigh_1W,RSHigh_1M,RSHigh_3M,RSNHBP_1W,RSNHBP_1M,RSNHBP_3M,Below_1M,Below_3M,Below_6M,Below_12M,Below_20M,NB_1M,NB_3M,NB_6M,NB_9M,NB_12M,NB_20M,Above_3M,Above_6M,Above_12M,Above_20M,NA_1M,NA_3M,NA_6M,NA_9M,NA_12M,NA_20M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (CNX500),RS_score,NC_1M,NC_3M,NC_6M,NC_9M,NC_12M,NC_20M,NRS_1M,NRS_3M,NRS_6M,NRS_9M,NRS_12M,Total_NRS (CNX500),NRS_score
29-11-2025,NSE:MVKAGRO,ST,990.82,752.3,80190,603.26937,1.63,3.04,1.52,,2.00,9.42,16.64,23.31,30.31,35.26,55.4,86.66,95.6,94.9,91.88,-1,-1,-1,-1,HV2Q,-1,-1,0,10,-1,-1,8.02,6.5,15.53,12.92,32.67,56.02,201.63,100,76.19,88.89,100,66.67,80.95,0,0,0,0,0,0,-9.6,0,0,-60.1,-53.71,119.81,635.03,2225.5,2225.5,45.4,124.78,916.82,210.2,2.32,0,30.39,49.59,82.18,82.64,89.14,4.929015,99,43.3,124.78,916.82,74.67,,,30.39,30.11,71.51,58.14,-7.74,1.483384,99
29-11-2025,NSE:GRETEX,SM,303.92,200,17505,35.01,0.62,3.63,1.5,M,1.32,2,5,-7.78,-16.5,-17.63,-12.25,47.45,94.67,93.55,NA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.5,-4.02,-2.42,-8.75,-10.27,38.33,45.5,0,0,26.98,0,0,0,-15.25,-23.08,-27.6,-27.6,NA,-15.25,-15.66,-18.73,0,-56.71,NA,7.41,81.24,3746.15,NA,7.41,26.08,1978.7,1921.15,104.81,NA,-16.42,-18.06,42.97,81.71,87.79,3.585945,99,-9.91,26.08,1940.91,619.86,,,-16.42,-2.24,54.6,80.99,-12.86,1.832311,99
29-11-2025,NSE:BGRENERGY,BE,2979.55,428.75,296104,1269.5459,5.53,5.44,28.42,,1.48,1.1,5.38,5.42,5.77,47.52,61.83,73.33,76.42,91.23,90.79,-1,-1,-1,HV2Q,-1,HVQ,-1,-1,-1,18,-1,2.07,2.3,4.47,11.77,18.41,51.61,144.69,100,100,100,0,0,42.86,-2.18,-8.28,-8.28,-8.28,-8.28,-2.18,-13.57,-9.76,-21.14,-30.29,-32.42,149.53,342.88,1037.27,1132.04,10.03,317.32,129.19,228.28,190.46,8.02,5.85,56.02,68.85,63.46,85.47,2.443189,99,1.49,300.05,70.42,110.57,,,5.85,53.61,31.55,2.72,71.08,1.354552,99
29-11-2025,NSE:CUPID,EQ,8255.36,329.25,3481275,11462.09794,5.63,5.66,4.63,,0.12,-2.36,4.98,20.92,27.12,34.54,47.76,67.06,78.98,74.67,70.82,-1,-1,-1,HV2Y,HV2Y,HV2Q,-1,-1,-1,8,-1,2.6,6.48,9.71,14.65,28.54,43.36,126.95,100,90.48,93.65,40,57.14,65.08,-2.35,-2.35,-2.35,-2.35,-2.35,-2.35,-5.47,0,0,-48.22,-37.59,91.1,265.22,472.61,472.61,40.95,59.59,199.11,88.64,3.16,13.04,27.2,41.95,62.58,66.02,68.91,1.834881,99,39.37,59,151.26,24.71,,,27.2,22.44,38.35,27.31,-12.25,1.17311,99
29-11-2025,NSE:TAKE,BE,428.86,30.99,1321542,409.54587,3.76,4.88,13.75,,0.23,2.94,7,27.04,24.04,66.34,66.44,71.41,65.38,46.43,31.75,-1,-1,HV2Y,HVQ,-1,HVQ,-1,0,6,-1,-1,4.05,7.86,12.93,24.95,50.47,40.73,153.86,100,100,80.95,100,66.67,49.21,0,0,0,0,0,0,-5.61,-10.19,-60.23,-61.33,-40.18,208.97,272.03,363.23,363.23,43.07,161.56,55.46,32.44,10.05,0,24.12,60.63,66.93,52.42,40.67,1.686346,99,38.6,128.32,-7.39,-53.69,,,24.12,49.93,16.23,-29.99,-46.44,1.160143,99
29-11-2025,NSE:AKIKO,ST,313.5,282,23024,64.92768,3.15,3.62,5.71,,-1.40,-0.71,-3.12,8.48,9.38,6.91,45.41,67.94,71.08,73.83,NA,-1,-1,-1,HVQ,-1,-1,-1,-1,-1,18,-1,0.18,1.51,1.71,3.9,5.84,47.9,103.17,60,90.48,90.48,0,28.57,38.1,-4.28,-4.28,-4.28,-4.28,NA,-4.28,-8.21,0,-2.16,-12.64,NA,77.53,314.4,314.71,NA,9.26,164.13,126.4,42.59,28.63,NA,9.46,39.6,63.46,58.12,68.07,1.679743,99,7.27,164.13,92.2,20.05,,,9.46,33.87,42.7,0.91,17.77,1.163495,99
29-11-2025,NSE:APRAMEYA,SM,628.13,328.5,23290,76.50765,5.34,5.83,2.81,S,0.46,-5.04,3.23,16.59,16.59,12.12,46.27,54.49,65.3,78.02,NA,-1,-1,HVQ,HVQ,HVQ,-1,-1,-1,-1,14,-1,1.31,4.04,5.58,8.06,14.84,37.09,82.55,100,61.9,66.67,0,28.57,41.27,-6.87,-6.87,-6.87,-6.87,NA,-6.87,-5.52,-2.16,-5.41,-5.82,NA,78.34,121.96,429.84,NA,20.64,80.26,95.57,166.96,103.57,NA,16.67,40.46,50.01,52.34,72.26,1.620612,99,20.29,71.25,57.94,,,,16.67,29.69,16.72,14.87,44.94,1.16951,99
29-11-2025,NSE:OSELDEVICE,SM,1229.77,791.15,23504,185.9519,6.53,6.69,3.89,,-0.63,2.09,14.42,14.28,22.41,21.84,28.53,66.04,69.13,73.83,NA,-1,-1,-1,HV2Q,-1,2,-1,-1,-1,-1,5,5.07,5.05,10.66,9.45,22.2,37.99,97.07,100,85.71,66.67,40,42.86,22.22,-1.55,-1.55,-1.55,-1.55,NA,-1.55,-5.47,-8.4,-20.22,-27.49,NA,48.39,200.02,305.2,NA,28.64,46.09,188.72,52.19,38.32,NA,22.49,22.72,61.56,56.17,68.07,1.616272,99,28.64,46.09,136.24,,,,22.49,1.99,53.9,0.24,23.48,1.154933,99
29-11-2025,NSE:DHARIWAL,ST,267.15,359.4,156804,563.55358,6.19,7.52,6.65,,-1.99,14.97,14.5,16.49,45.88,42.42,54.65,59.56,64.94,60.21,NA,-1,-1,HV2Y,-1,-1,-1,-1,2,-1,-1,-1,9.58,10.03,21.8,21,54.17,30.95,123.26,100,80.95,66.67,100,42.86,19.05,-1.99,-1.99,-1.99,-1.99,NA,-1.99,-9.37,-10.88,-7.89,-20.15,NA,124.62,166.12,293.86,NA,92.35,28.64,78.63,59.29,2.48,NA,45.96,48.84,55.08,51.98,54.45,1.613686,99,92.35,28.64,30.4,,,,45.96,10.31,12.25,4.43,-5.22,1.134728,99
29-11-2025,NSE:INDOTHAI,BE,5143.69,424.75,851057,3614.86461,4.68,4.99,5.73,,-3.60,-2.8,5.14,10.39,5.03,39.14,62.34,55.59,53.16,74.52,93.11,-1,-1,HV2Q,-1,-1,HVQ,-1,-1,-1,11,-1,-2.24,4,1.83,12.4,16.24,36.62,83.4,100,80.95,65.08,60,19.05,33.33,-7.74,-7.74,-7.74,-7.74,-7.74,-7.74,-10.84,-24.56,-10.15,-5.23,-0.62,187.11,187.11,286.01,1602.75,16.21,172.68,0,415.13,697.59,333.93,5.11,56.53,51.11,40.2,68.76,1.594902,99,7.91,132.37,-19.73,415.13,,,5.11,54.46,-16.52,-14.35,53.86,1.230451,99
