Date,Symbol,Series,Mkt Cap (₹ Crores),CMP,AVOL(50),₹AVOL(50),ADR(20),ATR(20),DV(50),RPS,Change_1D,Change_1W,Change_10D,Change_15D,Change_1M,Change_2M,Change_3M,Change_6M,Change_9M,Change_12M,Change_20M,Momo_10D,Momo_1M,Momo_3M,Momo_6M,Momo_9M,Momo_12M,Gap_10D,6EMA_10D,10EMA_20D,21EMA_40D,50SMA_100D,Off_10EMA,10_21_EMA,Off_21EMA,21_50SMA,Off_50SMA,50_200SMA,Off_200SMA,RSHigh_1W,RSHigh_1M,RSHigh_3M,RSHigh_6M,RSNHBP_1W,RSNHBP_1M,RSNHBP_3M,RSNHBP_6M,Below_1M,Below_3M,Below_6M,Below_12M,Below_20M,NB_1M,NB_3M,NB_6M,NB_9M,NB_12M,NB_20M,Above_3M,Above_6M,Above_12M,Above_20M,NA_1M,NA_3M,NA_6M,NA_9M,NA_12M,NA_20M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (CNX500),RS_score,NC_1M,NC_3M,NC_6M,NC_9M,NC_12M,NC_20M,NRS_1M,NRS_3M,NRS_6M,NRS_9M,NRS_12M,Total_NRS (CNX500),NRS_score
09-12-2025,NSE:MVKAGRO,ST,990.82,786.6,79458,625.01663,0.82,2.23,1.49,,-2.00,0.51,9.87,17.06,23.19,30.73,52.08,85.37,94.08,95.02,93.64,-1,-1,-1,-1,HV2Q,HV2Q,-1,1,0,-1,-1,1.88,6.55,9.03,14.73,27.86,55.15,185.09,100,100,88.89,94.44,80,85.71,79.37,89.68,-3.96,-3.96,-3.96,-3.96,-3.96,-3.96,0,0,0,-31.07,-42.09,108.67,570.02,2331.53,2331.53,25.42,132.25,748.87,255.8,44.05,2.89,23.53,49.37,84.58,78.78,93.25,4.413179,99,24.83,132.25,662.96,117.37,,,23.53,34.58,71.44,44.88,31.96,1.445691,99
09-12-2025,NSE:GRETEX,SM,303.92,186,16935,31.4991,0.23,3.09,1.47,2M,0.54,-2.69,-0.11,-6.99,-15.89,-33.33,-23.12,32.9,93.01,94.11,NA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.69,-3.98,-5.46,-11.31,-15.06,34.81,30.29,0,0,25.4,54.76,0,0,0,23.02,-13.89,-28.46,-32.67,-32.67,NA,-13.89,-21.97,-17.1,-2.23,-47.15,NA,2.76,53.34,3476.92,NA,2.76,8.05,1577.66,2300,150,NA,-15.55,-25.83,32.11,77.71,92.34,3.296749,99,-13.89,-7.69,1577.66,576.42,,,-15.55,-9.28,47.48,74.95,31.74,1.803462,99
09-12-2025,NSE:BGRENERGY,BE,2979.55,362.45,236656,857.75967,4.85,4.83,28.95,2L,-4.34,-14.91,-14.42,-14.21,-7.5,16.02,39.23,68.87,80.3,88.59,89.93,-1,-1,-1,HV2Q,-1,HVQ,-1,-1,-1,-1,-1,-9.36,-1.09,-10.34,5.15,-5.47,51.74,95.88,20,80.95,93.65,57.94,0,0,33.33,25.4,-15.46,-22.46,-22.46,-22.46,-22.46,-15.46,-16.64,0,-22.18,-50.76,-25.67,65.82,274.39,735.14,940.63,0,246.79,197.34,223.97,105.17,18.79,-7.16,36.52,68.08,65,86.82,2.159594,99,-9.6,216.12,193.81,127.23,,,-7.16,40.43,50.75,22.09,58.07,1.267824,99
09-12-2025,NSE:CUPID,EQ,8255.36,391.55,3721648,14572.11274,5.29,5.32,4.63,,3.04,9.83,14.06,19.89,33.26,45.14,51.98,73.78,83.56,78.53,70,-1,-1,-1,HV2Y,HV2Y,HV2Q,-1,-1,5,-1,-1,8.54,7.22,16.99,17.06,41.05,44,151.85,100,100,93.65,80.16,80,76.19,65.08,61.9,0,0,0,0,0,0,0,0,-8.31,-51.84,-37.1,99.19,334.33,580.96,580.96,54.62,58.26,226.99,78.57,0,13.92,33.6,49.27,72.99,68.26,76.76,2.118549,99,54.62,55.6,190.65,18.94,,,33.6,25.01,47.37,22.68,-14.62,1.210433,99
09-12-2025,NSE:TAKE,BE,428.86,33.69,1586313,534.42885,2.75,3.67,15.26,,0.24,1.66,8.96,12.82,29.53,56.54,66.76,74.03,73.55,48.2,35.44,-1,-1,HV2Y,HVQ,-1,HVQ,-1,1,0,-1,-1,3.52,6.79,11.07,21.58,41.63,45.43,159.56,100,100,82.54,61.9,100,100,60.32,32.54,0,0,0,0,0,0,-4.81,-3.28,-60.73,-62.8,-27.14,225.19,304.44,403.59,403.59,35.19,163.78,67.41,30.79,0,5.12,29.87,64.05,73.24,58.25,46.43,1.82772,99,35.19,161.74,19.79,-52.42,,,29.87,49.78,23.85,-16.46,-79.88,1.171,99
09-12-2025,NSE:MAHASTEEL,BE,1275.64,775,52769,408.95975,1.77,2.53,4.32,,0.65,1.94,10.32,1.85,10.12,34.53,48.15,60.26,69.17,73.58,86.9,-1,-1,HVY,HVY,HVQ,HVQ,-1,-1,11,-1,-1,2.43,3.61,6.26,13.22,22.45,38.32,98.53,100,100,100,85.71,20,28.57,53.97,47.62,-2.15,-2.15,-2.15,-2.15,-2.15,-2.15,0,0,-6.36,-2.65,-8.82,100.15,151.58,318.85,706.45,11.51,111.99,72.06,68.76,148.65,113.08,10.46,45.44,59.47,53.87,71.81,1.633826,99,6,90.95,71,68.76,,,10.46,39.27,25.35,7.78,30.27,1.162704,99
09-12-2025,NSE:APRAMEYA,SM,628.13,325.4,22490,73.18246,5.76,6.18,2.91,2M,8.45,-1.84,3.3,-1.91,13.61,12.42,28.98,52.06,66.35,80.95,NA,-1,-1,HVQ,HVQ,HVQ,-1,-1,-1,-1,-1,16,0.89,1.73,2.67,7.53,11.03,36.1,73.75,60,85.71,63.49,53.17,0,28.57,30.16,22.22,-7.75,-7.75,-7.75,-7.75,NA,-7.75,-3.07,0,-4.44,-9.54,NA,33.33,114.08,405.28,NA,19.5,84.93,156.07,178.57,95.54,NA,13.95,26.27,51.27,51.05,79.18,1.622932,99,19.5,63.43,112.31,,,,13.95,14.75,34.48,15.18,59.35,1.175884,99
09-12-2025,NSE:AKIKO,ST,313.5,257,15872,40.79104,3.49,4.05,2.96,M,-4.01,-12.45,-5.49,-14.63,-5.45,-1.91,31.13,66.93,71.79,69.63,NA,-1,-1,-1,HVQ,-1,-1,-1,-1,-1,-1,-1,-6.38,-0.49,-6.84,2.8,-4.16,45.79,76.8,20,71.43,84.13,60.32,0,33.33,31.75,26.98,-12.76,-12.76,-12.76,-12.76,NA,-12.76,-2.66,0,-8.01,-22.34,NA,38.28,277.66,277.94,NA,0,120.33,160.29,34.07,14.35,NA,-5.11,28.42,66.14,56.49,67.86,1.588506,99,-7.92,110.57,160.29,29.28,,,-5.11,31.65,53.96,0.08,8.31,1.156907,99
09-12-2025,NSE:INDOTHAI,BE,5143.69,375.1,656869,2463.91562,4.91,5.26,5.64,,-2.19,-12.26,-22.74,-18.41,2.32,8.85,55.73,52.6,47.2,69.44,92.27,-1,-1,HV2Q,-1,-1,HVQ,-1,-1,-1,-1,-1,-7.97,-0.54,-8.47,4.6,-4.06,38.92,57.08,40,61.9,68.25,34.13,0,19.05,33.33,16.67,-18.53,-18.53,-18.53,-18.53,-18.53,-18.53,-19.02,-21.69,-15.32,-5.67,-2.14,115.15,153.55,240.57,1403.71,2.63,147.67,12.23,265.05,693.91,359.57,2.66,53.02,51.81,31.9,67.67,1.475248,99,0.6,98.37,-16.06,265.05,,,2.66,51.64,-5.09,-26.03,58.08,1.185971,99
09-12-2025,NSE:SABTNL,EQ,2613.81,1502.6,54373,817.0087,4.3,5.8,36.58,,4.80,12.82,9.69,28.01,46.28,41.7,30.96,62.3,71.04,-36.5,NA,-1,HV2Y,-1,HVQ,-1,-1,-1,-1,-1,-1,-1,10.82,8.29,20.83,19.26,49.64,16.53,79.28,100,28.57,9.52,26.98,40,9.52,3.17,12.7,0,0,0,-32.31,NA,0,-35.74,-27.13,-74.48,-80.4,NA,95.21,153.88,304.85,NA,77.28,4.87,133.75,52.65,904.85,NA,46.62,28.25,61.51,55.74,-38.27,1.472129,99,77.28,-35.74,133.75,-5.84,,,46.62,-31.55,47.37,8.57,-355.42,1.112813,99
