Date,Symbol,Series,Mkt Cap (₹ Crores),CMP,AVOL(50),PVOL(50),ADR(20),ATR(20),DV(50),RPS,Change_1D,Change_1W,Change_10D,Change_15D,Change_1M,Change_2M,Change_3M,Change_6M,Change_9M,Change_12M,Change_20M,Momo_10D,Momo_1M,Momo_3M,Momo_6M,Momo_9M,Momo_12M,Gap_10D,6EMA_10D,10EMA_20D,21EMA_40D,50SMA_100D,Off_10EMA,10_21_EMA,Off_21EMA,21_50SMA,Off_50SMA,50_200SMA,Off_200SMA,RSHigh_1W,RSHigh_1M,RSHigh_3M,RSHigh_6M,RSNHBP_1W,RSNHBP_1M,RSNHBP_3M,RSNHBP_6M,Below_1M,Below_3M,Below_6M,Below_12M,Below_20M,NB_1M,NB_3M,NB_6M,NB_9M,NB_12M,NB_20M,Above_3M,Above_6M,Above_12M,Above_20M,NA_1M,NA_3M,NA_6M,NA_9M,NA_12M,NA_20M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (CNX500),RS_score,NC_1M,NC_3M,NC_6M,NC_9M,NC_12M,NC_20M,NRS_1M,NRS_3M,NRS_6M,NRS_9M,NRS_12M,Total_NRS (CNX500),NRS_score
11-12-2025,NSE:MVKAGRO,ST,990.82,755.5,77820,587.9301,0.58,2.09,1.5,,-2.00,-6.29,2.38,11.57,13.57,27.47,49.11,84.16,93.03,94.59,92.98,-1,-1,-1,-1,-1,HV2Q,-1,-1,2,-1,-1,-1.74,5.23,3.68,14.08,20.68,54.76,166.75,100,100,88.89,94.44,40,76.19,76.19,88.1,-7.75,-7.75,-7.75,-7.75,-7.75,-7.75,0,0,0,-17.41,-35.92,92.68,519.01,2235.39,2235.39,20.47,141.27,765.88,270.02,62.75,7.36,14.78,47.09,83.26,79.85,93.58,4.021135,99,18.06,141.27,628.13,125.85,,,14.78,37.93,70,43.63,36.42,1.426721,99
11-12-2025,NSE:GRETEX,SM,303.92,186,16920,31.4712,0.23,3.09,1.51,2M,0.00,-2.15,-4.95,-2.15,-16.13,-26.88,-24.19,34.78,92.66,94.38,NA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.39,-3.78,-4.99,-11.36,-14.68,34.11,29.49,0,0,23.81,53.97,0,0,0,23.02,-13.89,-28.46,-32.67,-32.67,NA,-13.89,-21.81,-16.38,-4.97,-44.51,NA,2.76,46.63,3476.92,NA,2.76,8.27,1515.38,2232.69,162.5,NA,-14.92,-26.21,33.88,79.48,93.37,3.316855,99,-13.89,-7.49,1515.38,541.8,,,-14.92,-10.14,48.63,76.36,37.45,1.758251,99
11-12-2025,NSE:CUPID,EQ,8255.36,394.4,3733597,14725.30657,4.47,4.52,4.57,,1.23,5.21,16.62,16.45,29.15,37.56,48.61,75.25,82.92,79.2,70.29,-1,-1,-1,HV2Y,HV2Y,HV2Q,-1,-1,4,-1,-1,6.26,7.14,14.43,17.43,38.59,44.23,148.52,100,100,93.65,81.75,80,80.95,65.08,63.49,0,0,0,0,0,0,0,0,-12.84,-49.59,-38.62,98.87,337.49,585.91,585.91,36.96,69.22,252.49,69.74,4.66,11.18,30.36,46.59,74.35,69.74,78.19,2.112406,99,36.96,69.22,208.4,14.57,,,30.36,24.27,52.99,18.58,-7.77,1.213004,99
11-12-2025,NSE:BGRENERGY,BE,2979.55,327.15,230290,753.39374,4.75,4.82,14.1,2L,-4.99,-25.6,-29.15,-26.43,-22.59,-2.58,33.19,66.48,75.94,85.41,87.71,-1,-1,-1,HV2Q,-1,HVQ,-1,-1,-1,-1,-1,-13.54,-3.67,-16.6,1.19,-15.6,51.67,74.63,0,71.43,90.48,57.94,0,0,31.75,25.4,-23.7,-30.01,-30.01,-30.01,-30.01,-23.7,-14.2,-3.29,-24.37,-45.72,-14.17,45.39,237.93,523.86,839.28,0,256.93,195.06,214.84,126.18,37.18,-21.38,31.17,65.58,62.76,84.4,1.897506,99,-22.31,220.94,164.5,124.94,,,-21.38,42.3,50.97,15.83,53.36,1.245313,99
11-12-2025,NSE:TAKE,BE,428.86,34.44,1619668,557.81366,2.94,3.38,15.26,,1.35,2.82,10.22,13.73,24.04,53.16,68.67,73.72,71.52,49.1,32.64,-1,-1,HV2Y,HVQ,-1,HVQ,-1,1,0,-1,-1,4.04,6.33,11.07,20.25,39.27,46.53,160.48,100,100,82.54,63.49,100,100,63.49,34.13,0,0,0,0,0,0,0,-6.82,-59.38,-59.04,-26.81,232.43,313.45,414.8,414.8,25.42,190.67,61.29,35.28,10.1,5.6,25.25,66.65,72.82,58.34,48.09,1.822035,99,25.42,190.67,4.76,-50.79,,,25.25,55.55,17.27,-20.79,-64.69,1.188935,99
11-12-2025,NSE:MAHASTEEL,BE,1275.64,806.3,51103,412.04349,1.59,2.39,4.25,,2.00,5.49,10.32,9.39,4.89,35.17,51.98,61.06,70.27,73.98,87.27,-1,-1,HVY,HVY,HVQ,HVQ,-1,-1,12,-1,-1,4.62,3.8,8.76,12.54,24.35,38.93,103.61,100,100,100,85.71,60,28.57,55.56,49.21,0,0,0,0,0,0,0,-3.65,-4.52,-2.34,-6.59,108.08,161.74,335.77,739.02,16.01,133.38,65.79,69.7,149.43,118.3,6.1,49.96,60.16,57.09,72.97,1.672347,99,3.36,121.71,60.66,65.29,,,6.1,46.31,20.04,11.27,26.49,1.181547,99
11-12-2025,NSE:AKIKO,ST,313.5,260,14624,38.0224,3.48,3.94,3.02,2M,1.17,-9.62,-10,-10.38,-11.15,1.73,24.96,68.85,72.77,69.94,NA,-1,-1,-1,HVQ,-1,-1,-1,-1,-1,-1,-1,-3.45,-1.33,-4.71,1.69,-3.07,45.15,76.72,0,61.9,80.95,60.32,0,23.81,28.57,26.98,-11.74,-11.74,-11.74,-11.74,NA,-11.74,0,0,-12.34,-24.16,NA,26.92,282.07,282.35,NA,1.17,134.96,186.7,25.78,11.67,NA,-9.94,22.94,67.95,59.59,68.93,1.605178,99,-8.93,115.91,183.16,24.23,,,-9.94,29.29,59.62,0.2,3.63,1.170811,99
11-12-2025,NSE:APRAMEYA,SM,628.13,315,22220,69.993,5.6,5.97,2.71,2M,-2.39,-1.13,-3.81,-11.98,10.19,19.95,22.52,42.73,66.13,79.48,NA,-1,-1,HVQ,2,HVQ,-1,-1,-1,-1,-1,16,-1.92,1.23,-0.71,7.21,7.01,35.68,66.38,40,85.71,61.9,52.38,0,28.57,28.57,20.63,-10.7,-10.7,-10.7,-10.7,NA,-10.7,-2.45,-3.84,0,-11.85,NA,28.34,107.24,389.13,NA,6.38,86.12,170.42,222.14,90.54,NA,11.4,20.5,41.83,52.95,78.47,1.552326,99,6.38,82.22,133.32,,,,11.4,10.53,27.22,28.46,53.42,1.168569,99
11-12-2025,NSE:VENUSREM,EQ,741.87,833.4,110956,924.7073,7.12,7.09,3.72,,4.72,8.31,13.68,17.31,35.48,44.76,45.53,44.65,63.76,59.86,57.57,-1,-1,HV2Y,-1,HVQ,HVQ,-1,-1,4,-1,-1,9.49,7.92,18.91,20.29,49.18,20.96,88.74,100,76.19,25.4,42.86,80,57.14,19.05,19.05,0,0,0,0,0,0,0,-17.88,0,-28.25,-20.53,93.23,95.73,202.07,202.07,50.22,24.68,62.44,67.18,9.48,15.92,36.69,43.51,43.75,50.58,58.85,1.485893,99,47.87,13.46,48.59,28.41,,,36.69,12.38,-0.47,22.12,3.25,1.123856,99
11-12-2025,NSE:SABTNL,EQ,2613.81,1583.4,58939,933.24013,4.98,5.96,36.9,,2.23,17.83,11.52,24.71,43.79,44.95,36.64,60.56,71.41,-34.76,97.27,-1,HV2Y,-1,HVQ,-1,-1,-1,-1,5,-1,-1,11.04,8.86,21.83,20.82,53.86,17.55,86.61,100,38.1,12.7,28.57,80,19.05,6.35,14.29,0,0,0,-28.67,-28.67,0,-26.73,-29.52,-71.87,-79.61,0,105.7,167.53,326.62,3383.83,69.46,15.62,117.31,68.27,945.38,4827.94,45,34.62,59.66,58.23,-35.77,1.479672,99,69.46,-21.5,117.31,-0.22,,,45,-15.94,38.89,15.13,-357.39,1.10518,98
