Date,Symbol,Series,Mkt Cap (₹ Crores),CMP,AVOL(50),PVOL(50),ADR(20),ATR(20),DV(50),RPS,Change_1D,Change_1W,Change_10D,Change_15D,Change_1M,Change_2M,Change_3M,Change_6M,Change_9M,Change_12M,Change_20M,Momo_5D,Momo_10D,Momo_1M,Momo_3M,Momo_6M,Momo_9M,Momo_12M,Momo_15M,Momo_20M,Gap_10D,6EMA_10D,10EMA_20D,21EMA_40D,50SMA_100D,Off_10EMA,10_21_EMA,Off_21EMA,21_50SMA,Off_50SMA,50_200SMA,Off_200SMA,RSHigh_1W,RSHigh_1M,RSHigh_3M,RSHigh_6M,RSNHBP_1W,RSNHBP_1M,RSNHBP_3M,RSNHBP_6M,Below_1M,Below_3M,Below_6M,Below_12M,Below_20M,NB_1M,NB_3M,NB_6M,NB_9M,NB_12M,NB_20M,Above_3M,Above_6M,Above_12M,Above_20M,NA_1M,NA_3M,NA_6M,NA_9M,NA_12M,NA_20M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (CNX500),RS_score,NC_1M,NC_3M,NC_6M,NC_9M,NC_12M,NC_15M,NC_20M,NRS_1M,NRS_3M,NRS_6M,NRS_9M,NRS_12M,Total_NRS (CNX500),NRS_score
02-01-2026,NSE:MVKAGRO,ST,3787.79,727.05,54846,398.75784,3.97,4.52,1.49,,-3.00,-5.76,0.98,-3.91,-9.78,28.84,28.93,77.92,93.67,94.57,93.25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-2.98,0.75,-2.24,7.69,5.91,51.04,116.32,40,71.43,79.37,89.68,0,14.29,52.38,76.19,-11.23,-11.23,-11.23,-11.23,-11.23,-11.23,0,0,0,-27.76,-38.04,40.52,344.14,2147.45,2147.45,2.98,119.82,1034.47,396.14,42.35,3.81,-11.37,24.07,75.63,82.22,87.34,3.841983,99,-9.46,119.82,968.77,221,,,,-11.37,31.94,71.64,61.93,18.99,1.466898,99
02-01-2026,NSE:POLYSIL,ST,706.66,284.45,77110,219.3394,3.29,4.15,16.69,2L,-4.39,-8.19,-1.21,-9.67,-23.75,10.83,11.97,74.21,92.25,89.52,85.48,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-5.12,-1.48,-6.5,1.1,-5.45,49.01,85.44,0,23.81,60.32,80.16,0,4.76,41.27,70.63,-17.55,-19.19,-19.19,-19.19,-19.19,-17.55,0,0,0,-52.63,-35.98,15.44,280.28,1835.03,1835.03,0,108.04,1015.37,398.98,50,10.37,-25.34,7.11,71.92,80.8,82.29,2.848364,99,-17.55,108.04,1015.37,129.22,,,,-25.34,25.54,73.41,60.56,-30.38,1.408408,99
02-01-2026,NSE:CUPID,EQ,12742.79,419.95,4440764,18648.98842,4.68,4.45,3.2,,-19.99,-14.18,-5.1,6.08,12.25,41.76,48.26,74.51,85.09,81.76,74.76,-1,-1,2,2,EP,EP,-1,-1,-1,-1,-1,-1,1,-1,-10.83,6.7,-4.43,20.02,19.5,46.48,123.27,80,95.24,92.06,92.86,80,90.48,69.84,74.6,-19.99,-19.99,-19.99,-19.99,-19.99,-19.99,0,-2.09,-4.39,-50.97,-40.04,95.57,289.06,630.35,630.35,15.02,110.31,277.91,86.19,0,3.81,10.66,43.4,72.22,73.64,74.53,2.165357,99,12.33,104.13,252.76,28.94,,,,10.66,37.71,53.43,32.12,-17.54,1.231041,99
02-01-2026,NSE:TAKE,BE,576.35,40.51,2026075,820.76298,2.5,2.57,11.78,,0.42,5.92,13.23,14.98,17.82,43.87,70.23,75.61,83.49,60.45,42.11,-1,2,-1,2,-1,HV2Y,HV2Y,HV2Y,-1,-1,1,0,-1,-1,4.61,5.63,10.86,15.11,30.59,50.7,164.91,100,100,100,75.4,100,95.24,82.54,45.24,0,0,0,0,0,0,0,0,-55.66,-72.07,-33.11,219.98,350.11,505.53,505.53,21.03,221.33,71.79,47.68,0,0,16.23,65.37,73.32,72.04,53.22,2.092482,99,21.03,202.36,71.79,-49.95,,,,16.23,60.45,20.78,22.91,-134.69,1.252417,99
02-01-2026,NSE:MAHASTEEL,BE,1526.76,1011.6,20448,206.85197,4.38,4.58,3.59,,-0.31,12.79,19.14,20.29,24.77,40.5,55.12,66.19,73.8,80.57,88.95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,7.43,6.58,14.99,13.4,32.78,41.57,127.25,100,100,100,85.71,100,71.43,63.49,51.59,-0.31,-0.31,-0.31,-0.31,-0.31,-0.31,-3.91,0,-2.56,-1.31,-12.47,120.3,207.85,446.72,952.65,32.76,96.72,94.39,84.83,175.78,104.55,23.18,50.26,63.9,62.35,73.34,1.87179,99,32.76,96.72,76.07,71.95,,,,23.18,37.02,27.37,13.13,30.6,1.194349,99
02-01-2026,NSE:BGRENERGY,BE,2265.87,359.1,187519,673.38073,5.55,5.77,5.33,,-1.39,8.81,12.27,8.9,-15.85,-19.77,30.26,70.57,76.89,72.26,89.7,-1,-1,-1,-1,HV2Q,HV2Y,HV2Y,HV2Y,-1,-1,-1,-1,-1,-1,2.94,-1.24,1.68,-9.78,-7.38,46.85,74.26,0,0,66.67,57.94,0,0,22.22,25.4,-12.61,-23.18,-23.18,-23.18,-23.18,-12.61,-11,-5.55,-27.1,-42.76,0,36.56,270.93,402.94,931.01,17.33,118.52,238.07,203.47,138.3,185.99,-17.44,25.4,68.28,65.44,65.03,1.686786,99,-12.61,118.52,207.89,109.72,,,,-17.44,36.48,60.49,12.1,-15.24,1.185339,99
02-01-2026,NSE:SOMATEX,BE,408.62,138.21,23404,32.34667,2.06,3.76,1.28,,-2.00,6.03,24.2,21.5,17.92,-5.83,47.28,68.1,72.76,66.61,72.36,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5.38,4.97,10.89,0.3,11.22,37.99,79.37,0,0,34.92,36.51,0,0,12.7,13.49,-3.95,-10.01,-10.01,-10.01,-10.01,-3.95,-26.14,-30.48,-32.99,-42.78,-29.86,100.62,208.85,277.83,320.09,34.55,74.34,93.93,20.53,25.08,53.32,16.33,42.42,65.81,61.31,59.38,1.663586,99,24.32,40.21,93.93,11.31,,,,16.33,32.45,42.19,5.23,-17.81,1.144121,99
02-01-2026,NSE:DIVINEHIRA,ST,301.19,239.2,29952,71.64518,3.52,4.45,9.21,,1.92,2.47,20.57,31.06,27.22,51.51,57.27,77.42,66.03,NA,NA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,6,-1,7.29,7.8,16.38,18.37,42.56,,,100,100,100,82.54,80,52.38,60.32,52.38,0,0,0,NA,NA,0,-5.53,0,-36.84,NA,NA,127.81,338.9,NA,NA,45.06,97.95,132.27,22.73,NA,NA,25.63,52.41,75.13,54.58,0,1.639241,99,35.14,94.63,32.38,,,,,25.63,37.98,49.86,-59.84,104.77,1.172123,99
02-01-2026,NSE:IFBAGRO,EQ,1236.46,1593.6,90666,1444.85338,6.64,6.68,6.74,,7.40,13.1,23.34,20.87,20.73,9.36,46.2,53.91,71.09,64.03,70.28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13.71,3.15,17.4,0.28,17.74,36.31,84.85,0,0,58.73,38.89,0,0,28.57,17.46,0,-0.83,-0.83,-0.83,-0.83,0,-21.39,-6.74,-10.79,-24.55,-6.12,81.97,128.52,255.63,305.29,33.38,66.9,89.4,63.93,17.17,45.79,19.14,41.34,51.62,59.64,56.8,1.548303,99,29.55,59.09,77.86,29.48,,,,19.14,28.81,17.02,27.9,-19.66,1.132852,99
02-01-2026,NSE:INFOBEAN,EQ,1861.05,905.7,188952,1711.33826,8.05,8.04,3.29,,11.66,13.81,16.68,28.33,35.85,30.48,45.52,58.09,67.84,54.81,56.97,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,12.68,6.38,20.36,12.93,38.23,25.1,84.56,100,71.43,23.81,36.51,100,52.38,17.46,19.05,0,0,0,0,0,0,-11.13,-28.12,-18.97,-41.64,-17.98,87.22,146.48,223.64,223.64,49.37,22.78,76.33,35.63,0,7.17,34.26,40.66,55.8,56.39,47.58,1.528917,99,49.37,-5,66.17,-12.23,,,,34.26,11.76,25.78,13.88,-35.76,1.112449,99
