Date,Symbol,Series,Mkt Cap (₹ Crore),CMP,AVOL(50),PVOL(50),ADR(20),ATR(20),DV(50),RPS,Change_1D,Change_1W,Change_10D,Change_15D,Change_1M,Change_2M,Change_3M,Change_6M,Change_9M,Change_12M,Change_20M,Momo_5D,Momo_10D,Momo_1M,Momo_3M,Momo_6M,Momo_9M,Momo_12M,Momo_15M,Momo_20M,Gap_10D,DA_EMA5,DA_EMA10,DA_21EMA,DA_SMA50,DA_SMA200,Off_10EMA,10_21_EMA,Off_21EMA,21_50SMA,Off_50SMA,50_200SMA,Off_200SMA,RSHigh_1W,RSHigh_1M,RSHigh_3M,RSHigh_6M,RSNHBP_1W,RSNHBP_1M,RSNHBP_3M,RSNHBP_6M,Below_1M,Below_3M,Below_6M,Below_12M,Below_20M,NB_1M,NB_3M,NB_6M,NB_9M,NB_12M,NB_20M,Above_3M,Above_6M,Above_12M,Above_20M,NA_1M,NA_3M,NA_6M,NA_9M,NA_12M,NA_20M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (CNX500),RS_score,NC_1M,NC_3M,NC_6M,NC_9M,NC_12M,NC_15M,NC_20M,NRS_1M,NRS_3M,NRS_6M,NRS_9M,NRS_12M,Total_NRS (CNX500),NRS_score
28-02-2026,NSE:BGRENERGY,BE,1669.39,324.65,108938,353.66722,4.91,4.84,8.91,S,-0.51,-1.6,-3.74,-1.29,-7.45,-9.69,-32.07,49.59,64.78,68.86,88.42,-1,-1,-1,-1,HV2Q,HV2Q,HV2Y,HV2Y,-1,-1,0,0,0,0,231,-1.52,-1.09,-2.58,-1.13,-3.68,24.48,27.54,0,0,4.76,52.38,0,0,0,21.43,-7.39,-24.28,-30.55,-30.55,-30.55,-7.39,-20.41,-8.28,-9.76,-21.14,-30.29,6.08,88.95,354.69,832.1,1.33,13.98,342.88,334.06,228.28,190.21,-7.83,-28.76,46.89,63.46,58.78,1.362353,98,-2.26,-17.42,282.64,334.06,,,,-7.83,-19.2,56.02,31.55,2.72,1.14874,95
28-02-2026,NSE:IZMO,BE,1240.58,741.55,221148,1639.92299,8.45,8.47,4.75,S,-3.94,-17.61,-9.25,-13.47,19.18,-9.7,-21.05,4.79,59,59.79,57.38,-1,-1,-1,-1,HV2Y,HV2Y,-1,-1,-1,-1,0,0,0,0,19,-6.32,1.49,-4.9,3.09,-1.87,10.24,9.33,0,0,0,21.43,0,0,0,13.49,-14.97,-18.33,-45.02,-45.02,-45.02,-14.97,-40.24,-33.44,0,-52.04,-52.96,29.26,29.26,206.74,206.74,29.26,0.29,200.22,192.06,25.75,0,18.8,-17.74,2.09,57.68,49.71,1.239305,95,29.26,-23.24,189.52,48.11,,,,18.8,-46.08,15.53,58.36,-6.96,1.120655,92
28-02-2026,NSE:SBIN,EQ,65000,1201.7,11703539,140641.42816,2.22,2.43,5.27,,-0.64,-1.2,0.26,11.26,10.36,18.99,18.53,33.27,33.65,39.28,30.71,-1,-1,EP,-1,-1,2,2,-1,-1,-1,0,0,11,118,174,0.11,2.89,3.09,7.97,12.02,15.04,31.86,100,100,85.71,82.54,60,80.95,69.84,74.6,-2.13,-2.13,-2.13,-2.13,-2.13,-2.13,0,-0.5,-7.56,-10.77,-18.34,26.75,49.74,74.46,74.46,18.02,15.28,24.7,16.43,15.76,1.05,9.98,21.84,30.57,32.33,29.2,1.169478,92,18.02,15.28,20.52,-4.46,,,,9.98,12.81,12.27,1.99,-0.4,1.045915,86
28-02-2026,NSE:SJS,EQ,4662.6,1759.7,133165,2343.30451,4.04,4.06,5.05,S,-3.29,-4.36,-2.49,0.13,5.19,2.6,3.67,23.67,38.71,50.51,54.08,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,19,204,-3.14,1.12,-2.05,2.98,0.96,15.07,18.88,80,61.9,44.44,62.7,0,9.52,12.7,31.75,-7.55,-7.55,-7.55,-7.55,-7.55,-7.55,-9.34,-4.14,-2.59,-17.22,-33.15,12.15,35.88,115.2,129.22,7.32,6.32,53.76,64.27,40.49,13.45,4.81,6.98,20.97,37.39,40.43,1.160698,89,6.93,5.5,53.76,13.19,,,,4.81,2.09,14.95,21.12,10.37,1.059197,89
28-02-2026,NSE:CNXPSUBANK,IN,,9820.45,,,,,,,-0.60,1.57,6.66,9.62,8.16,14.14,13.3,30.97,30.95,38.38,25.31,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,-0.6,-0.6,-0.6,-0.6,-0.6,,,,,,,,,,,,,,,,,7.78,16.61,28.27,29.63,28.3,1.145754,,,,,,,,,7.78,9.3,14.57,1.39,1.87,1.042108,
28-02-2026,NSE:CNXMETAL,IN,,12240.65,,,,,,,-1.67,2.05,3.01,2.43,3.37,10.07,15.91,24.75,23.6,30.37,18.9,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,-1.67,-1.9,-1.9,-1.9,-1.9,,,,,,,,,,,,,,,,,2.99,19.22,22.05,22.28,20.29,1.107165,,,,,,,,,2.99,16.67,4.71,-0.11,-0.02,1.031518,
28-02-2026,NSE:AXISBANK,EQ,45000,1383.9,6177603,85491.84792,1.94,2.11,4.28,,-0.83,1.13,3.73,3.06,0.98,9.96,7.53,23.99,13.17,26.5,11.26,-1,-1,-1,-1,-1,2,2,-1,-1,-1,0,4,5,25,116,0.44,1.33,1.79,3.58,5.57,7.81,14.51,100,100,66.67,53.97,100,61.9,50.79,41.27,-1.36,-1.36,-1.36,-1.36,-1.36,-1.36,0,-0.81,-14.72,-8.78,-22.78,13.47,32.41,38.14,45.97,5.52,12.6,22.44,10.95,26.75,7.29,0.6,10.84,21.29,11.85,16.42,1.070259,86,3.25,10.64,7.34,-8.11,,,,0.6,10.32,11.99,-12.82,6.47,1.024054,74
28-02-2026,NSE:LT,EQ,45000,4278.3,1925031,82358.60127,1.87,2.02,10.17,,-0.19,-2.39,2.44,4.91,8.09,5.29,4.88,16.79,14.56,23.43,17.45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,9,19,146,0.1,1.75,1.88,3.23,5.28,6.28,12.33,100,57.14,53.97,59.52,20,38.1,41.27,50,-3.16,-3.16,-3.16,-3.16,-3.16,-3.16,-5.55,-0.29,-9.81,-7.4,-17.01,14.28,21.37,40.08,40.08,12.17,5.03,18.92,16.57,19.68,1.73,7.71,8.19,14.09,13.24,13.35,1.063909,83,12.17,-1.38,10.73,-3.85,,,,7.71,0.21,6.71,-1.25,1.5,1.018076,71
28-02-2026,NSE:ADANIPOWER,EQ,276195.4,140.11,16780229,23510.77885,3.4,3.59,12.41,,-0.87,-1.85,0.15,-9.01,3.38,-3.24,-5.27,15.07,21.21,30.87,-5.41,-1,-1,EP,-1,EP,EP,EP,EP,-1,-1,0,0,0,0,171,-1.7,-0.42,-2.12,0.19,-1.93,6.17,4.51,0,0,0,33.33,0,0,0,13.49,-9.78,-9.78,-17.96,-17.96,-17.96,-9.78,-16.73,-13.64,-2.4,-28.29,-37.08,5.46,16.63,49.02,60.07,5.46,1.82,39.08,35.94,26.12,10.66,3,-1.96,12.37,19.89,20.79,1.061691,80,5.46,-16.73,35.61,35.94,,,,3,-5.25,13.51,8.65,3.38,1.024668,77
28-02-2026,NSE:KCK,SM,260.77,25.4,214450,54.4703,12.1,10.99,5.12,,0.99,5.31,15.55,14.96,23.62,-8.66,-16.14,-60.24,-59.45,60.24,24.06,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,4,6,4,0,4.97,3.23,8.48,-2.6,5.73,-44.26,-26.71,0,0,0,3.17,0,0,0,1.59,-2.12,-27.01,-48.48,-48.48,-60.31,-2.12,-45.51,-40.16,-30.53,-36.72,-84.22,32.29,32.29,266.52,266.52,28.93,1.04,15.69,487.3,484.42,5.54,23.24,-12.83,-62.94,-60.77,50.16,1.060396,77,28.28,-45.51,-25.32,-29.34,,,,23.24,-48.36,-43.78,1.91,66.18,1.189039,98
