Symbol,Series,Date,Mkt Cap (₹ Crore),ExchangeTried,Avg_Vol,Price_1D,Price_1M,Price_3M,Price_6M,Price_9M,Price_12M,RS,RS_score
KCK,SM,22-08-2025,260.77,NSE,2.38,42.2,41,39.5,10.02,57.6,41.5,1.2572272873606676,98
MARUTI,EQ,22-08-2025,35000,NSE,4.42,14349,12627,12421,12762.9,10959.3,12214.95,1.075632572094066,93
AGARWALTUF,SM,22-08-2025,262.47,NSE,1.25,147.25,126.95,132.5,116.4,135,135,1.060152192888115,89
BHARTIARTL,EQ,22-08-2025,65000,NSE,92.47,1933.3,1943.8,1847.4,1675.55,1525.5,1449.15,1.0554100662816264,85
BAJFINANCE,EQ,22-08-2025,45000,NSE,79.66,894.5,968.3,926.95,842.66,659.53,672.22002,1.0360324064390394,80
ULTRACEMCO,EQ,22-08-2025,29000,NSE,2.58,12589,12372,11689,11490.1,10769.55,11349.7,1.0317830742400103,76
HINDUNILVR,EQ,22-08-2025,60000,NSE,16.84,2629.9,2450.4,2394.1,2329.4,2410.35,2751.05,1.0261114852374196,72
HDFCBANK,EQ,22-08-2025,120000,NSE,73.97,1964.6,2024.3,1940.2,1717.35,1742.25,1637.7,1.0253177682087775,67
ICICIBANK,EQ,22-08-2025,90000,NSE,77.48,1436.4,1488.6,1460.6,1251.15,1249.1,1179.45,1.0246650730495122,63
SRD,EQ,22-08-2025,496.57,NSE,3.36,77.01,80.58,63.92,69.39,59.19,112,1.0213225804927193,59
RELIANCE,EQ,22-08-2025,200000,NSE,96.87,1409.2,1424.6,1434.8,1224.9,1241.65,1495.94995,1.005952487230761,54
LT,EQ,22-08-2025,45000,NSE,18.41,3595.8,3484.9,3648.7,3221.85,3505.9,3572.7,1.0039823270517756,50
SBIN,EQ,22-08-2025,65000,NSE,82.13,816.25,820.65,794.4,727.7,803,820.29999,1.0034272242633835,46
ASIANPAINT,EQ,22-08-2025,32000,NSE,10.66,2504.5,2375.4,2327.2,2250.85,2483.7,3103.2,1.0014010192302727,41
KOTAKBANK,EQ,22-08-2025,50000,NSE,38.89,1986.6,2170.4,2089.3,1945.3,1727.75,1805.65,0.9947864583965509,37
SUNPHARMA,EQ,22-08-2025,33000,NSE,23.58,1641.8,1682.5,1676.1,1714.2,1777.25,1766.35,0.9680933753814599,33
AXISBANK,EQ,22-08-2025,45000,NSE,65.49,1070.9,1104.8,1215.2,992.95,1133.95,1168,0.966436227618703,28
TECHM,EQ,22-08-2025,22000,NSE,15.54,1505,1546.6,1601.4,1664.95,1699.65,1628.6,0.9544723051050323,24
WIPRO,EQ,22-08-2025,25000,NSE,78.8,248.64,261.4,250.24,305.35,281,262.32501,0.9523605858101338,20
ITC,EQ,22-08-2025,60000,NSE,129.58,398.3,414.95,442.9,408.6,441.14889947,470.83570481,0.9496689317958293,15
HCLTECH,EQ,22-08-2025,34000,NSE,31.97,1466.3,1529.8,1673.6,1709.9,1820.55,1686.75,0.9297846325519731,11
INFY,EQ,22-08-2025,70000,NSE,84.24,1487.5,1574.5,1580.5,1842.3,1824.75,1872.2,0.927083773679998,7
TCS,EQ,22-08-2025,145000,NSE,27.99,3054,3179.1,3537.3,3904.5,4039.55,4523.2998,0.9032751204453692,2
NIFTY,IN,22-08-2025,,NSE,2834.06,24870.1,25219.9,25001.15,22959.5,23518.5,24698.85,,
NIFTYJR,IN,22-08-2025,,NSE,,67540.1,68363,67372.3,59446.55,67775.5,73971.297,,
BANKNIFTY,IN,22-08-2025,,NSE,1063.04,55149.4,57210.45,55572,49258.9,50626.5,50803.148,,
CNXMIDCAP,IN,22-08-2025,,NSE,,57629.75,59307.1,57067.25,49849.85,54548.25,58247.852,,
CNX500,IN,22-08-2025,,NSE,,22991.3,23428.4,22908.3,20652.35,22004.35,23280.35,,
CNXSMALLCAP,IN,22-08-2025,,NSE,,17919.5,18893.2,17707.8,15413.1,17677.35,18839.949,,
NIFTYMIDSML400,IN,22-08-2025,,NSE,,19868.6,20504.95,19422.95,16989.6,19076,20203.051,,
NIFTY_TOTAL_MKT,IN,22-08-2025,,NSE,,12940.85,13195.65,12888.4,11609.6,12406.05,13118.45,,
NIFTY_MICROCAP250,IN,22-08-2025,,NSE,,23634.85,24503.05,23276.5,20551.3,23716.8,24732.15,,
