Symbol,Series,Date,Mkt Cap (₹ Crores),ExchangeTried,Avg_Vol,Price_1D,Price_1M,Price_3M,Price_6M,Price_9M,Price_12M,RS,RS_score
NACLIND,BE,23-08-2025,5439.53,NSE,3.32,283.85,302.11,185.12,63.31,50.56,59.209999,2.0298224686605204,99
CCCL,EQ,23-08-2025,665.67,NSE,7.05,17.88,17,20.2,12.03,15.92,1.4,1.9072683361011833,99
BGRENERGY,EQ,23-08-2025,1186.91,NSE,5.1,172.7,101.49,121.4,108.43,37.05,46.27,1.6989560008694142,99
UNITEDPOLY,BE,23-08-2025,811.34,NSE,4.65,34.64,22.81,16.54,16.023,13.129,9.0839996,1.639570161367906,99
KRISHANA,EQ,23-08-2025,3660.19,NSE,2.19,601.95,493,396.9,187.01,212.42,253.45,1.5330309362757724,99
GABRIEL,EQ,23-08-2025,17208.54,NSE,5.23,1192.9,1005.35,653,462.35,426.6,534.25,1.4980512805795743,99
APOLLO,EQ,23-08-2025,6835.75,NSE,104.11,235.16,180.73,138.81,113.3,92.9,107.05,1.4265406479068563,99
MANGCHEFER,EQ,23-08-2025,4252.32,NSE,7.75,354.5,320,259.84,149.24,142.52,132.74001,1.4191568211880907,99
JSLL,EQ,23-08-2025,8949.65,NSE,3.28,720.1,537.4,429.88,333.85,383.66,274.82,1.4108174147249475,99
ZUARI,EQ,23-08-2025,1585.59,NSE,42.14,376.4,218.3,214.97,194.59,212.46,201.62,1.3834326659334721,99
CUPID,EQ,23-08-2025,4569.85,NSE,54.71,171.94,147.42,106.66,69.72,84.04,89.919998,1.3704064433896854,99
PARADEEP,EQ,23-08-2025,17856.3,NSE,161.66,220.12,200.15,159.36,99.32,105.18,86.160004,1.3637492327294258,99
GARUDA,EQ,23-08-2025,1823.62,NSE,21.37,192.25,188.64,102.55,108.64,82.65,105,1.34262158193285,99
BLACKBUCK,EQ,23-08-2025,11092.56,NSE,44.24,644.2,443.4,464.7,447.8,280.9,280.9,1.3386791807249436,99
MANAKCOAT,EQ,23-08-2025,1433.33,NSE,2.49,152.19,156.42,98,90.59,63.61,63.25,1.3378011228580742,98
TFCILTD,EQ,23-08-2025,2895.46,NSE,14.53,309.05,283.05,215.09,129.21,145.43,183.05,1.3233544007976037,98
IXIGO,EQ,23-08-2025,11216.3,NSE,53.14,280.67,222.07,171.57,145.67,143.76,164.67999,1.3152195438922034,98
CARTRADE,EQ,23-08-2025,11539.64,NSE,7.36,2346.7,1962.7,1623.7,1535.55,1306.35,894.5,1.303412957783899,98
MIRCELECTR,BE,23-08-2025,779.63,NSE,40.45,27.34,17.87,13.7327421,14.90188096,18.35362424,24.51480043,1.3002848346886455,98
COMSYN,EQ,23-08-2025,563.33,NSE,3.11,137.75,128.58,102.36,71.85,69.75,64.550003,1.2885366114283998,98
QPOWER,EQ,23-08-2025,5893.5,NSE,8.62,788.7,869.8,433.25,430,430,430,1.2852762117799954,98
VIMTALABS,EQ,23-08-2025,3162.12,NSE,66.28,657.75,513.25,486.85,489.975,371.225,249.675005,1.2849848295209265,98
GANESHIN,SM,23-08-2025,1115.03,NSE,2.92,264.55,197,183.75,134.9,157.7,157.7,1.2779368234135877,98
YATRA,EQ,23-08-2025,2457.46,NSE,83.84,152.24,89.96,96.94,80.2,106.68,128.31,1.2737573716252115,97
JMFINANCIL,EQ,23-08-2025,18178.56,NSE,136.13,193.02,179.59,122.12,100.48,132.06,94.040001,1.2678592768923318,97
PAYTM,EQ,23-08-2025,79618.33,NSE,70.66,1264.6,1071.15,870,733,814.25,572.84998,1.2677156202145698,97
IZMO,EQ,23-08-2025,729.23,NSE,2.8,587.55,419.1,302.3,347.6,458.15,428.5,1.2671759056053218,97
DATAMATICS,EQ,23-08-2025,5523.2,NSE,6.44,980.2,846.25,610.7,610.5,531.55,567.70001,1.2628320720322601,97
MBAPL,EQ,23-08-2025,3846.38,NSE,2.35,444.5,424.85,321.15,285.7,216.36,217.49001,1.2590943192363573,97
AIIL,EQ,23-08-2025,48937.47,NSE,4.1,2983.1,2889,2205.3,1600.3,1601.95,1506.25,1.2588644094602874,97
LAURUSLABS,EQ,23-08-2025,47955.34,NSE,31.67,879.1,822.5,595.05,555.5,489,437.39999,1.2509929968162041,97
STALLION,EQ,23-08-2025,1159.34,NSE,24.31,147.51,117.53,75.13,79.4,120,120,1.250832453406735,97
JAYNECOIND,EQ,23-08-2025,6071.65,NSE,1018.37,60.8,42.98,39.97,33.47,38.72,46.400002,1.2478339623729202,97
ROSSTECH,EQ,23-08-2025,2539.99,NSE,2.78,682.1,604.25,385.9,300.8,559.7,559.7,1.2447805581092592,96
STLTECH,EQ,23-08-2025,6427.33,NSE,39.71,130.49,117.95,71.78,70.66008397,85.60726691,100.42105162,1.2442337376964216,96
SHAILY,EQ,23-08-2025,9242.03,NSE,3.09,2103.4,1635.6,1898.4,1450,1105.6,969.45001,1.2416854858854585,96
GALLANTT,EQ,23-08-2025,15171.75,NSE,4.98,615.35,630.35,468.25,315.15,316.75,366.29999,1.2394588305220517,96
PROSTARM,EQ,23-08-2025,1220.35,NSE,17.5,203.26,222.83,120,120,120,120,1.2355884533577446,96
HIRECT,EQ,23-08-2025,2807.79,NSE,3.46,1653,1309.8,1181.05,983.2,1161,895.09998,1.2293443497790226,96
TI,EQ,23-08-2025,9476.52,NSE,28.46,489.25,473.25,364.8,260.3,343.85,234.95,1.2284655705668455,96
SHANKARA,EQ,23-08-2025,2776.55,NSE,2.94,1032.5,1028,782.35,555,590.15,593.84998,1.223296172409114,96
KRBL,EQ,23-08-2025,10922.63,NSE,30.07,473.3,409.55,364.25,269.05,287.4,294.5,1.2120769603656587,96
