Date,Symbol,Series,Mkt Cap (₹ Crores),AVOL(20),ADR(20),Price_1D,Change_1W,Change_1M,Change_3M,Change_6M,Change_9M,Change_12M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (CNX500),RS_score
07-09-2025,NSE:CCCL,EQ,820.25,12.98,9.25,20.48,10.30,20.85,9.18,30.96,9.08,92.68,20.72,10.65,18.12,9.92,96.76,2.0271668972430383,99
07-09-2025,NSE:BGRENERGY,BE,1239.88,6.74,5.62,209.79,18.10,49.13,45.11,64.60,81.23,75.55,49,46.58,51.76,82.07,79.63,1.978510034782701,99
07-09-2025,NSE:NACLIND,BE,5595.46,2.43,5.48,264.1,-5.21,-21.07,34.19,77.07,79.91,79.12,-21.2,35.66,64.23,80.75,83.2,1.9547614712412942,99
07-09-2025,NSE:APOLLO,EQ,8738.55,247.55,6.7,304.7,13.75,41.30,32.73,63.83,66.62,65.87,41.17,34.2,50.99,67.46,69.95,1.6103029825299668,99
07-09-2025,NSE:IZMO,BE,1003.78,7.05,9.31,749.85,10.47,52.07,59.33,67.76,31.10,47.90,51.94,60.8,54.92,31.94,51.98,1.5983899926824823,99
07-09-2025,NSE:UNITEDPOLY,BE,732.84,2.14,1.11,32.94,3.07,-5.10,53.40,60.09,56.82,73.08,-5.23,54.87,47.25,57.66,77.16,1.5757313954281322,99
07-09-2025,NSE:KARNIKA,SM,251.71,1.27,6.36,189.4,-6.65,27.19,28.97,39.14,68.62,71.73,27.06,30.44,26.3,69.46,75.81,1.5239962583221052,99
07-09-2025,NSE:GABRIEL,EQ,16510.43,6.09,4.76,1201.7,4.10,16.51,47.08,62.23,62.12,55.08,16.38,48.55,49.39,62.96,59.16,1.5041106629402217,99
07-09-2025,NSE:SMLISUZU,EQ,6112.82,1.31,5.16,3765.1,-11.48,4.93,49.46,70.04,57.12,46.55,4.8,50.93,57.2,57.96,50.63,1.5038925928862992,99
07-09-2025,NSE:STALLION,EQ,1170.05,29.28,8.58,189.11,21.27,27.19,60.45,67.09,36.54,36.54,27.06,61.92,54.25,37.38,40.62,1.4983372536985096,99
07-09-2025,NSE:JSLL,EQ,8800.49,4.03,6.17,770.3,8.07,25.61,42.17,60.25,44.33,63.21,25.48,43.64,47.41,45.17,67.29,1.454324493637793,99
07-09-2025,NSE:VIMTALABS,EQ,2957.39,38.28,6.86,877.2,24.05,24.92,46.47,53.56,47.34,63.78,24.79,47.94,40.72,48.18,67.86,1.4506155011167836,99
