Date,Symbol,Security Name,Mkt Cap (Millions),AVOL(20),ADR(20),CMP,Change_1D,Change_1W,Change_10D,Change_1M,Change_3M,Change_6M,Change_9M,Change_12M,Momo_10D,Momo_1M,Momo_3M,Momo_6M,Momo_9M,Momo_12M,Gap_10D,6EMA_10D,10EMA_20D,21EMA_40D,50SMA_100D,Below_3M,Below_6M,Below_12M,Above_3M,Above_6M,Above_12M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (NDX),RS_score,NC_1M,NC_3M,NC_6M,NC_9M,NC_12M,NRS_1M,NRS_3M,NRS_6M,NRS_9M,NRS_12M,Total_NRS (NDX),NRS_score
26-09-2025,NASDAQ:SBET,"SharpLink Gaming, Inc. - Common Stock",3105,23494725,7.14,16.31,-7.22,-5.58,-0.31,-22.13,38.20,78.52,41.21,38.93,0,0,HV2Y,HV2Y,HV2Y,HV2Y,-1,-1,-1,-1,-1,-56.37,-79.41,-79.41,74.44,535.72,535.72,-25.7,30.21,60.16,28.47,20.3,1.392846,98,-22.13,49.40,65.24,-173.63,-3.88,-25.7,44.82,53.97,-166.74,-10.63,1.144807,98
26-09-2025,NASDAQ:INTC,Intel Corporation - Common Stock,165794,124455139,3.83,33.99,8.87,10.06,27.60,28.36,33.80,31.10,42.57,33.63,HV2Y,0,0,HV2Q,HV2Q,0,27.63,-1,-1,3,-1,0,0,0,76.02,87.48,87.48,24.79,25.81,12.74,29.83,15,1.178901,93,28.36,7.60,-4.09,16.65,-15.57,24.79,3.02,-15.36,23.54,-22.32,1.106708,93
26-09-2025,NASDAQ:GOOGL,Alphabet Inc. - Class A,2985903,40097000,2.21,245.79,-0.55,-2.54,2.21,15.72,29.40,32.85,22.12,34.15,0,0,0,0,0,0,-1,-1,3,-1,-1,-3.51,-3.51,-3.51,41.63,69.86,69.86,12.15,21.41,14.49,9.38,15.52,1.109655,88,15.72,16.22,4.89,-15.96,15.44,12.15,11.64,-6.38,-9.07,8.69,1.066442,83
26-09-2025,NASDAQ:TSLA,"Tesla, Inc. - Common Stock",1464396,95029017,3.88,423.39,-4.38,1.54,12.89,16.94,23.05,35.74,0.55,40.95,0,0,0,HV2Q,HVQ,HV2Y,-1,-1,-1,-1,-1,-4.38,-4.38,-11.77,44.04,90.84,98.17,13.37,15.06,17.38,-12.19,22.32,1.092943,83,16.94,7.36,16.49,-54.77,40.63,13.37,2.78,5.22,-47.88,33.88,1.058984,79
26-09-2025,NASDAQ:NVDA,NVIDIA Corporation - Common Stock,4330017,185171899,2.72,177.69,0.41,0.82,0.29,-2.30,12.76,35.98,24.19,34.57,0,0,0,0,0,HV2Y,-1,-1,-1,-1,-1,-3.22,-3.22,-3.22,15.91,88.41,88.41,-5.87,4.77,17.62,11.45,15.94,1.062979,79,-2.30,14.72,26.62,-18.41,13.69,-5.87,10.14,15.35,-11.52,6.94,0.991485,45
26-09-2025,NYSE:JPM,JPMorgan Chase & Co. - Common Stock,869087,8553594,1.65,313.45,0.01,0.07,2.52,4.75,7.88,19.91,24.20,32.54,0,0,0,0,0,0,-1,5,-1,-1,2,-0.42,-0.42,-0.42,10.85,49.06,52.73,1.18,-0.11,1.55,11.46,13.91,1.035372,74,4.75,3.29,13.06,5.35,11.01,1.18,-1.29,1.79,12.24,4.26,0.98605,31
26-09-2025,NASDAQ:NFLX,"Netflix, Inc. - Common Stock",514420,2917108,2.2,1208.24,0.36,0.04,0.39,-1.48,-8.15,19.66,24.76,41.62,0,0,0,HVQ,HV2Q,HV2Q,-1,-1,-1,-1,-1,-9.77,-9.77,-9.77,5.26,41.17,75.71,-5.05,-16.14,1.3,12.02,22.99,1.025657,69,-1.48,-6.57,25.72,6.35,22.41,-5.05,-11.15,14.45,13.24,15.66,0.937721,2
26-09-2025,NASDAQ:AMD,"Advanced Micro Devices, Inc. - Common Stock",258779,44176851,3.42,161.27,0.24,2.08,3.47,-3.32,10.91,31.67,26.08,2.80,0,0,HVQ,HVQ,0,0,-1,-1,-1,-1,-1,-12.55,-12.55,-12.55,19.64,106.2,106.2,-6.89,2.92,13.31,13.34,-15.83,1.018557,64,-3.32,13.77,23.31,-8.19,-31.49,-6.89,9.19,12.04,-1.3,-38.24,1.014981,60
26-09-2025,NASDAQ:AAPL,Apple Inc. - Common Stock,3791126,61354516,1.87,256.87,1.81,7.39,10.45,10.73,21.75,13.76,0.93,11.83,0,0,0,HV2Q,0,0,-1,-1,-1,4,-1,0,0,-0.83,27.8,48.98,48.98,7.16,13.76,-4.6,-11.81,-6.8,1.008912,60,10.73,12.35,-10.21,-14.88,11.01,7.16,7.77,-21.48,-7.99,4.26,1.056499,74
26-09-2025,NASDAQ:META,"Meta Platforms, Inc. - Class A",1868272,10900632,1.94,748.91,-1.54,-4.18,-0.27,-0.69,3.05,18.42,21.85,24.64,0,0,HVQ,HVQ,0,HV2Y,-1,-1,-1,-1,-1,-5.2,-5.2,-5.2,7.72,54.52,54.52,-4.26,-4.94,0.06,9.11,6.01,1.006277,55,-0.69,3.71,15.85,4.21,3.56,-4.26,-0.87,4.58,11.1,-3.19,0.976402,17
26-09-2025,NYSE:JNJ,Johnson & Johnson - Common Stock,432803,8378752,1.29,177.73,0.59,2.01,-0.43,0.70,14.47,9.01,18.71,8.16,0,0,0,0,0,0,-1,-1,-1,16,-1,-0.87,-0.87,-0.87,16.92,21.43,25.11,-2.87,6.48,-9.35,5.97,-10.47,0.992847,50,0.70,13.87,-6.39,10.67,-12.98,-2.87,9.29,-17.66,17.56,-19.73,1.021283,69
26-09-2025,NASDAQ:MSFT,Microsoft Corporation - Common Stock,3801767,20381400,1.4,507.03,-0.61,-0.28,1.19,0.98,1.89,23.09,13.89,14.50,0,0,0,0,0,0,-1,-1,-1,-1,24,-5.34,-5.34,-5.34,3.25,43,43,-2.59,-6.1,4.73,1.15,-4.13,0.99214,45,0.98,0.91,21.61,-11.96,0.71,-2.59,-3.67,10.34,-5.07,-6.04,0.988159,40
26-09-2025,NYSE:HD,"Home Depot, Inc. - Common Stock",408198,3794750,1.39,407.45,-0.57,-2.46,-3.92,-0.02,10.79,11.12,3.64,3.80,0,0,0,0,0,0,-1,-1,-1,6,-1,-3.77,-3.77,-5.55,14,21.54,21.54,-3.59,2.8,-7.24,-9.1,-14.83,0.969195,40,-0.02,10.81,0.38,-8.41,0.16,-3.59,6.23,-10.89,-1.52,-6.59,1.0153,64
26-09-2025,NYSE:MA,Mastercard Incorporated - Class A,510884,2685619,1.64,567.3,-0.27,-3.31,-3.78,-4.29,3.79,3.21,6.92,12.37,0,0,0,0,0,0,-1,-1,-1,-1,-1,-5.29,-5.29,-5.29,3.94,18.21,18.21,-7.86,-4.2,-15.15,-5.82,-6.26,0.957433,36,-4.29,7.74,-0.60,3.83,5.85,-7.86,3.16,-11.87,10.72,-0.9,0.986064,36
26-09-2025,NYSE:XOM,Exxon Mobil Corporation - Common Stock,499738,16465739,1.59,115.59,0.90,1.44,2.98,3.55,4.84,-2.32,8.41,-1.53,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,-2.9,-7.8,9.22,15.67,15.67,-0.02,-3.15,-20.68,-4.33,-20.16,0.95377,31,3.55,1.35,-7.53,10.48,-10.85,-0.02,-3.23,-18.8,17.37,-17.6,1.009854,55
26-09-2025,NYSE:DIS,Walt Disney Company - Common Stock,204012,8531693,1.76,112.99,-0.39,-1.66,-3.62,-4.12,-7.50,10.81,0.85,17.72,0,0,0,HVQ,0,HV2Y,-1,-1,-1,-1,-1,-8.89,-8.89,-8.89,0.66,38.26,38.26,-7.69,-15.49,-7.55,-11.89,-0.91,0.951848,26,-4.12,-3.24,17.03,-11.16,17.01,-7.69,-7.82,5.76,-4.27,10.26,0.962096,7
26-09-2025,NASDAQ:AMZN,"Amazon.com, Inc. - Common Stock",2343934,44929648,1.97,218.15,-0.94,-6.00,-5.41,-4.84,0.47,7.80,-3.10,11.13,0,0,0,0,0,0,-1,-1,-1,-1,-1,-8.43,-8.43,-9.88,3.07,30.38,30.38,-8.41,-7.52,-10.56,-15.84,-7.5,0.947292,21,-4.84,5.07,7.36,-11.83,13.80,-8.41,0.49,-3.91,-4.94,7.05,0.981901,21
26-09-2025,NYSE:V,Visa Inc. - Class A,649977,6000111,1.55,334.93,-1.11,-0.97,-2.56,-4.85,-3.31,-2.76,5.14,13.82,0,0,0,0,0,0,-1,-1,-1,-1,-1,-6.67,-10.28,-10.28,0.86,8.65,24.22,-8.42,-11.3,-21.12,-7.6,-4.81,0.943206,17,-4.85,1.47,0.53,7.69,9.15,-8.42,-3.11,-10.74,14.58,2.4,0.969749,12
26-09-2025,NYSE:KO,Coca-Cola Company - Common Stock,282622,18775427,1.22,65.98,-0.71,-0.73,-2.49,-4.17,-5.29,-6.12,5.20,-8.71,0,0,0,0,0,0,-1,-1,-1,-1,-1,-7.94,-10.72,-10.72,0,0,8.5,-7.74,-13.28,-24.48,-7.54,-27.34,0.92239,12,-4.17,-1.08,-0.79,10.67,-14.68,-7.74,-5.66,-12.06,17.56,-21.43,0.984591,26
26-09-2025,NYSE:PG,Procter & Gamble Company - Common Stock,356924,7166807,1.34,152.15,-0.18,-3.40,-4.26,-2.51,-4.26,-9.48,-10.46,-14.21,0,0,0,0,0,0,-1,-1,-1,-1,-1,-5.63,-11.74,-15.33,1.12,1.12,1.12,-6.08,-12.25,-27.84,-23.2,-32.84,0.907538,7,-2.51,-1.71,-5.01,-0.89,-3.40,-6.08,-6.29,-16.28,6,-10.15,0.992994,50
26-09-2025,NYSE:UNH,UnitedHealth Group Incorporated - Common Stock,311624,13627052,2.84,345.56,-1.78,3.11,-2.33,13.06,12.43,-49.96,-44.73,-65.94,0,0,0,0,0,0,-1,-1,-1,-1,-1,-2.28,-42.36,-44.73,45.33,45.33,45.33,9.49,4.44,-68.32,-57.47,-84.57,0.892404,2,13.06,-0.73,-71.24,3.49,-14.65,9.49,-5.31,-82.51,10.38,-21.4,1.099534,88
26-09-2025,NASDAQ:NDX,NASDAQ 100,0,0,0,24397.3106,-0.43,-0.24,1.66,3.57,7.99,18.36,12.74,18.63,0,0,0,0,0,0,0,-1,-1,-1,-1,-1.47,-1.47,-1.47,8.69,42.75,42.75,,,,,,1,,3.57,4.58,11.27,-6.89,6.75,,,,,,1,
26-09-2025,SP:SPX,S&P 500,0,0,0,6604.73,-0.50,-0.41,0.26,2.10,7.02,13.51,10.20,13.42,0,0,0,0,0,0,0,-1,-1,-1,-1,-1.33,-1.33,-1.33,7.55,32.55,32.55,,,,,,0.983323,,2.10,5.03,6.98,-3.83,3.58,,,,,,1.000081,
26-09-2025,CBOEFTSE:RUI,RUSSELL 1000,0,0,0,3611.92,-0.53,-0.60,0.07,2.04,6.95,13.45,10.01,13.53,0,0,0,0,0,0,0,-1,-1,-1,-1,-1.41,-1.41,-1.41,7.47,32.79,32.79,,,,,,0.98299,,2.04,5.01,6.98,-3.97,3.91,,,,,,0.999781,
26-09-2025,NASDAQ:VTHR,VAN RUSSELL 3000,0,0,0,290.7277,-0.54,-0.96,-0.21,1.90,7.08,13.47,9.53,13.00,0,0,0,0,0,0,0,-1,-1,-1,-1,-1.73,-1.73,-1.73,7.63,32.93,32.93,,,,,,0.982049,,1.90,5.29,6.87,-4.55,3.84,,,,,,1.000445,
