Date,Symbol,Series,Mkt Cap (₹ Crores),CMP,AVOL(50),PVOL(50),ADR(20),ATR(20),DV(50),RPS,Change_1D,Change_1W,Change_10D,Change_15D,Change_1M,Change_2M,Change_3M,Change_6M,Change_9M,Change_12M,Change_20M,Momo_5D,Momo_10D,Momo_1M,Momo_3M,Momo_6M,Momo_9M,Momo_12M,Momo_15M,Momo_20M,Gap_10D,6EMA_10D,10EMA_20D,21EMA_40D,50SMA_100D,Off_10EMA,10_21_EMA,Off_21EMA,21_50SMA,Off_50SMA,50_200SMA,Off_200SMA,RSHigh_1W,RSHigh_1M,RSHigh_3M,RSHigh_6M,RSNHBP_1W,RSNHBP_1M,RSNHBP_3M,RSNHBP_6M,Below_1M,Below_3M,Below_6M,Below_12M,Below_20M,NB_1M,NB_3M,NB_6M,NB_9M,NB_12M,NB_20M,Above_3M,Above_6M,Above_12M,Above_20M,NA_1M,NA_3M,NA_6M,NA_9M,NA_12M,NA_20M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (CNX500),RS_score,NC_1M,NC_3M,NC_6M,NC_9M,NC_12M,NC_15M,NC_20M,NRS_1M,NRS_3M,NRS_6M,NRS_9M,NRS_12M,Total_NRS (CNX500),NRS_score
12-01-2026,NSE:SWANDEF,BE,8465.49,1840.5,3921,72.16601,0.55,5.25,1.11,,-1.05,16.85,34.84,48.94,61.89,86.31,95.08,NA,NA,NA,NA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,15.9,17.32,40.18,43.12,146.45,,,100,100,100,98.78,100,100,100,98.78,-1.05,-1.05,NA,NA,NA,-1.05,0,NA,NA,NA,NA,1836.55,NA,NA,NA,149.92,1755.56,NA,NA,NA,NA,62.06,94.34,0,0,0,3.556533,99,149.92,,,,,,,62.06,86.18,100.57,-12.74,9.09,2.032432,99
12-01-2026,NSE:MVKAGRO,SM,3661.53,648.05,57660,373.66563,5.01,5.62,2.15,L,5.00,-12.27,-14.08,-8.94,-16.58,-0.76,15.44,72.13,92.62,93.83,92.68,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-5.85,-3.25,-8.81,1.19,-7.71,49.46,82.61,0,42.86,69.84,84.92,0,0,42.86,71.43,-16.72,-20.87,-20.87,-20.87,-20.87,-16.72,-7.75,-0.35,0,-24.94,-37.25,25.25,251.82,1903.25,1903.25,5,92.68,1103.07,458.27,47.91,5.12,-16.41,14.7,71.96,79.73,88.86,3.408742,99,-15.9,92.68,1103.07,294.75,,,,-16.41,26.56,67.61,60.76,25.5,1.454902,99
12-01-2026,NSE:CUPID,EQ,10443.37,431.15,8217259,35428.71218,7.27,6.93,3.37,S,1.57,9.53,-12.86,-3.84,8.52,35.19,42.88,74.58,86.05,81.74,77.69,2,2,2,2,EP,EP,-1,-1,-1,-1,-1,-1,7,-1,-1.01,1.14,0.13,13.4,15.63,46.71,116.97,0,66.67,82.54,91.27,0,66.67,65.08,74.6,-17.86,-17.86,-17.86,-17.86,-17.86,-17.86,0,0,-2.13,-46.53,-29.98,84.58,263.78,649.83,649.83,10.54,98.87,311.12,90.61,4.57,6.71,8.69,42.14,74.41,73.16,76.77,2.198808,99,9.43,95.85,311.12,37.17,,,,8.69,36.65,56.06,32.4,-21.86,1.241568,99
12-01-2026,NSE:POLYSIL,ST,608.2,209.4,66980,140.25612,3.87,5.06,15.26,,-4.93,-29.06,-39.92,-37.25,-48.97,-47.52,-32.62,60.63,88.23,86.99,85.67,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,-16.97,-8.73,-23.64,-8.58,-29.68,46.26,30.87,0,0,50.79,75.4,0,0,31.75,65.87,-33.73,-40.51,-40.51,-40.51,-40.51,-33.73,-11.38,0,0,-44.61,-38.76,0,149.14,1324.49,1324.49,0,64.05,1006.37,460.88,67.69,0.93,-48.8,-33.36,60.46,75.34,82.02,2.181363,99,-32.88,64.05,1006.37,155.26,,,,-48.8,10.07,70.88,57.36,-1.46,1.370016,99
12-01-2026,NSE:TAKE,BE,601.8,43.46,2026965,880.91899,3.24,3.27,6.09,,1.99,6.58,11.85,18.68,20.75,39.81,62.89,76.07,81.59,63.44,51.1,-1,-1,2,2,-1,-1,HV2Y,HV2Y,HV2Y,-1,-1,1,-1,-1,4.65,5.68,10.96,15,30.53,50.99,166.36,100,100,100,76.98,80,90.48,80.95,48.41,-1.65,-1.65,-1.65,-1.65,-1.65,-1.65,0,0,-47.66,-66.6,-33.65,156.7,382.89,549.63,549.63,25.61,232.43,120.66,55.46,19.58,1.34,20.92,62.15,75.9,68.7,58.47,2.005115,99,25.61,215.96,97.67,-46.31,,,,20.92,52.25,36.09,10.34,-89.54,1.203476,99
12-01-2026,NSE:DIVINEHIRA,ST,317.04,240,29440,70.656,2.45,3.58,9.16,,-1.11,-1.25,4.17,16.88,31.29,43.98,55.79,76.31,75.08,NA,NA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,0.71,6.48,7.69,17.58,30.66,,,100,100,100,87.3,60,71.43,63.49,55.56,-5.03,-5.03,-5.03,NA,NA,-5.03,-10.53,-4.29,-33.51,NA,NA,125.35,328.57,NA,NA,43.76,87.49,141.14,29.2,NA,NA,31.46,55.05,76.14,62.19,0,1.729588,99,43.76,84.56,86.63,,,,,31.46,34.75,46.99,-17.93,109.09,1.189412,99
12-01-2026,NSE:BGRENERGY,BE,2504.01,331.2,126324,418.38509,5.29,5.41,5.38,S,-0.45,-5.18,-2.4,0.48,1.22,-21.09,-1.32,68.97,76.7,66.14,87.95,-1,-1,-1,-1,HV2Q,HV2Y,HV2Y,HV2Y,-1,-1,-1,-1,-1,-1,-2.97,-1.68,-4.57,-8.65,-12.17,43.3,54.9,0,0,57.14,57.94,0,0,12.7,25.4,-11.42,-29.14,-29.14,-29.14,-29.14,-11.42,-30.01,0,-29.12,-46.79,0,8.22,242.11,363.87,850.9,8.22,45.39,353,195.09,121.53,221.99,1.39,-2.06,68.8,63.81,61.17,1.60058,99,-3.58,42.55,343.83,108.69,,,,1.39,-3.49,69.94,12.19,-36.26,1.193943,99
12-01-2026,NSE:SUNLITE,ST,388.69,369.95,63468,234.79987,4.2,5.04,12.82,,4.73,3.43,18.95,20.02,18.88,35.95,54.29,52.98,70.54,57.25,NA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,5.3,6.35,12.44,12.28,28.18,35.82,99.73,100,90.48,76.19,47.62,40,33.33,36.51,21.43,-5.47,-5.47,-5.47,-5.47,NA,-5.47,-4.79,-11.47,-5,-47.96,NA,116.98,158.71,303.22,NA,36.14,81.71,84.31,89.59,1.87,NA,19.05,53.55,52.81,57.65,52.28,1.558454,99,25.32,81.71,48.33,5.26,,,,19.05,42.74,-2.3,24.6,-36,1.144358,99
12-01-2026,NSE:SILVERTUC,EQ,1737.3,1583.7,265700,4207.8909,7.34,7.63,5.58,,-5.00,14.66,42.64,46.35,49.95,48.17,53.21,54.79,58.05,54.79,52.53,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.75,1,1,-1,-1,13.09,14.39,32.1,23.35,72.33,15.1,102.97,100,85.71,44.44,22.22,80,61.9,28.57,14.29,-5,-5,-5,-5,-5,-5,-4.56,-9.1,-12.17,-17.9,-11.52,127.76,132.62,151.64,151.64,98.26,13.99,9.64,13.76,5.56,7.49,50.12,52.47,54.62,45.16,49.82,1.557344,99,98.26,9.61,9.64,-1.37,,,,50.12,5.6,3.95,-5.53,1.32,1.130051,99
12-01-2026,NSE:IFBAGRO,EQ,1419.12,1582.4,76871,1216.4067,6.66,6.89,5.01,,-5.00,4.13,14.93,16.59,20.31,-1.55,38.53,54.02,70.01,64.75,71.25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.83,5.48,7.74,4.71,13.06,35.98,76.59,80,19.05,55.56,42.06,40,9.52,25.4,19.05,-9.74,-9.74,-9.74,-9.74,-9.74,-9.74,-21.53,-1.45,-11.63,-22.29,-8.65,71.07,126.92,253.14,302.44,29.88,62.68,112.67,62.37,20.68,41.86,20.48,37.79,53.85,57.12,59.78,1.527981,99,25.97,59.81,112.67,34.21,,,,20.48,21.95,25.77,22.05,-8.47,1.126018,99
